,UKF259,UKF269,UKF275,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916inf
IGFL3,,-0.018557937582922974,,,-0.015090845548576363,,-0.006682302727030988,
BMP1,-0.00010272287689754299,0.12151305594190148,0.005943625347074901,0.05337199521037321,-0.019632261943101408,0.03722587402559933,-0.04801254175757949,-0.029140879506775613
NDP,-0.043831511368091984,-3.245962091906678e-05,0.03358205683376736,0.028067424911505413,0.008139401488577641,0.028528992602997294,0.1161922325830301,0.060367051898338506
TNFSF18,,-0.027557980186087475,-0.010176854652504733,,-0.015562922645180338,-0.051560341199434125,0.055925406299762774,
RTN4,-0.023357195452360747,-0.13596802603792205,0.012780000726375989,0.0007092431803673642,0.05527282306937797,-0.027131530529782514,-0.05265573193296376,-0.01630013317846666
HEBP1,-0.030775991021616617,0.043668512819058716,0.00324633560803002,0.00531617349262583,-0.02209973074086445,-0.027865012284956196,0.06784080922840463,-0.033812327847313736
WNT7B,-0.02912802189473044,-0.03447808604626671,0.04903972191072162,-0.028016771866787925,-0.03254333025875427,-0.05156028773523351,0.05106480322814111,0.07994406759028738
PTMA,-0.06665132459905862,-0.010415136947975679,-0.040983200155972295,-0.05821862826990267,0.03395983411900138,-0.025367852033933103,-0.1054149518247358,0.05971211883265989
FASLG,,,,,,,0.020071938638466513,
CEACAM1,-0.015180680011726767,0.009070085842547211,-0.01600576789521785,-0.025125889764526694,0.021530209449853666,,0.0914552391869649,
PDAP1,0.002404315828012988,0.12275903752416342,0.04496613318442667,-0.015153489429486978,0.06899834415710329,0.04786210917792683,-0.006488389640182382,-0.06949288361829209
QDPR,0.013354088994561197,-0.07903276917530001,0.02940918264261083,-0.020860618233727722,0.02485757665194124,-0.040432666191162515,-0.00426379718466922,-0.06612646688680242
POMC,0.023853389003265286,-0.028385228175089854,0.011171483481892607,-0.03484361432907004,-0.0072706169732797265,,0.03716446111640848,0.11699247415139959
CCL18,,,,-0.017814668952305143,,,,
CCL17,-0.004243071543655722,,-0.012692519124414325,,0.08167008424306918,,-0.018782459928797363,
VEGFD,0.005908894007498088,0.08286884035484281,-0.01352280557902569,,-0.02098456956730468,,,
TNFSF13,0.1566785864239693,,,,0.0018622703946984808,,-0.0023518744163508764,
WNT5A,-0.0038343329063072118,0.13370243194262565,0.009156532563714391,-0.001445052388068768,0.0288693124108976,-0.04953385250924465,0.005481751312246085,-0.005186595310265185
CXCL8,0.030306760324387002,0.11824451738980105,0.031785298012865795,-0.031365529489611875,-0.0282485624376843,-0.021626582461423946,-0.03412353838222532,0.08043918601813267
GRN,-0.024497415071635505,0.0775184418106569,-0.015960479265364612,0.03900315183493063,0.0024081218238720405,0.0753566704755229,-0.026039910907381142,-0.007665997978718701
MIA,0.028876166268740695,-0.005185676981670976,0.11754276866288876,-0.0021569284031866007,-0.02854889162847693,,0.040433078286137486,
COL4A4,0.006491724623720163,-0.01828747002195189,-0.013251382655568222,-0.0225233078073082,-0.014121841915840328,,0.08211749651558913,
TAC1,-0.023794650389929724,-0.06250001036603119,-0.03381479793880143,,,0.048880142576247586,-0.02469145345731675,-0.02416611330481793
RARRES2,0.03572081459331093,0.1262971818423511,-0.030649434025201275,-0.015156992720856268,0.04624857972178663,-0.039074370460909155,0.11575825929657202,-0.02737654401166083
FGF7,0.01600672544640972,0.1104399462849751,-0.030208221011416413,-0.04129741841437351,0.006095296588144126,-0.0670757069353974,0.05674277826484096,-0.007914820683526788
HBEGF,0.06128203527683187,0.022037895105663702,0.01784913584932055,0.14479580507297757,0.04275751824054434,-0.04838224476525062,0.017177500413013913,0.041647014804045805
CSF3,0.026660263786801513,-0.019347791293136317,,,,0.07398736249682011,0.0013593874284787747,
PI3,0.01480254100645496,-0.021785868359275904,,,-0.016905243739682548,,0.01589495664498069,
PCSK1N,-0.03788733767066563,-0.03858338845844112,-0.020414108293548474,0.01612834775820805,-0.006134842728816321,0.08525616405943871,0.06454212061778823,-0.019973281318742677
NTS,,-0.006850526700993313,-0.01513816430943511,,,,-0.029284126982733024,
SFRP1,-0.017010124089169704,0.049530398746963626,-0.006964845317657641,-0.00015394558916383545,-0.02698618609764944,-0.0947784621769111,-0.028603638061287965,0.024534383848009676
MICA,0.029127789374608044,0.07078251074295008,-0.0052409700008767945,0.026485499402592396,0.026129754596986472,-0.01751447388476567,0.05796969754507368,-0.006740767315097782
TG,-0.018356618878356944,-0.02335105308310066,-0.01278723268858449,0.0893948509970144,,,-0.03856508583554932,
ADA,0.04258314895900398,0.07552323235814692,-0.0036949752890090867,-0.04134201769719414,-0.0039070865274470215,0.12469302472590442,-0.03610509626064919,-0.029508908783129534
LAMC3,-0.03614850669133213,0.01316129495489016,0.004672661827641734,0.02901886014227621,0.025259424882390406,0.035728833488379054,-0.022501571622009584,0.03806125259237
CCL7,0.15817410091046066,,,,,,-0.020722317454802547,
NGF,-0.0304090975996883,,,-0.026473722795082977,,,0.017524070323689467,
TNFSF15,0.0043881312174147815,,,-0.026736221709768925,,,0.002818864567718687,
HMGB1,0.02515293812400353,0.11644057990957087,-0.01581362481032721,-0.05237408838284062,-0.0005023870254167633,-0.041471692363991265,-0.045716633638761786,-0.0317353008449983
