,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.0016168123135999065,,,,,,,,,,,-0.020719500735843402,,-0.015437486834426622,
BMP1,-0.0051713119942487186,0.10870862968189347,0.05105660422075146,0.021861328558612187,0.02056088176307856,-0.005520119418552458,0.02470416272660281,0.05411894143565115,-0.009628671448524338,0.016361017309675648,0.03794580160285931,-0.030944539750360038,-0.06568992716462241,0.036129028278416624,-0.007932317686442742,0.06230928985584953,0.07034940737695612,0.059403775928284136,-0.0176943066807361,0.26601173310592335,0.10697903726569798
NDP,0.06956295273789784,0.03290034629814315,0.025017253883812908,0.04297221728242755,0.017370049144753822,0.0063627548404419755,-0.0004738901470664489,-0.016627094438269298,-0.050631632404241275,0.026630383818512373,0.06396661107130318,-0.0598486980077702,0.028890406884387442,0.04432101239632312,0.03749213695102969,0.06016932362546047,0.03236957934334501,0.05953132467654785,0.05338223128921894,-0.07289417235811324,0.028942108878929708
TNFSF18,0.015637672806674194,0.035335018576044076,-0.008325061078314109,,,-0.014292935809918817,-0.028580048581306694,-0.021358268411532492,,,,,0.04542596655870567,,0.012330179588711356,,,-0.021367655388210352,,0.039119793479304985,0.018637368557387474
IL36G,,,,,,,,,,,,-0.01681036109340218,,,,,,,,,
RTN4,0.007203102162092477,0.000990387788974877,0.010780521643084004,0.03587445913933683,0.0014864222864234423,0.0009280643600756936,0.008568366814942562,0.036988621358131156,-0.015857644354200513,0.014312848534559485,-0.0519179322468156,0.0406121898071955,0.0348406861206589,0.058986110370008366,-0.07406433908472497,-0.02337078359497034,-0.09539815073221394,-0.07192582018184711,0.010531861788427344,-0.09197525425239053,0.03478890454004918
HEBP1,-0.02115118504184663,0.03531935491262063,0.0022213297104188255,-0.0018620600316705015,-0.04386245445784187,0.01768418495149816,-0.020003240612896295,0.049671120061302365,-0.019577244933515196,-0.043204486009241996,-0.0320799716042449,-0.03908805678717081,0.025678236404132308,0.07765790930305651,-0.02383062952316938,-0.006565910507485226,-0.058556834042195104,0.027929065600476376,-0.0032243902979982985,0.03827539094185657,0.02320171268159617
WNT7B,0.042233350725421996,-0.02292152422783483,-0.0051329161142026885,-0.016513327750231867,-0.011631404513454747,0.05896901497408963,0.0010076990662564614,-0.01148336033045801,0.17076080333998922,,-0.02158629410719286,-0.01847652409118725,0.04567541442351642,0.023424670222343968,,-0.0012126045348474436,0.10736748904961944,0.02975633758807805,0.025212562450653772,0.004159986318656482,-0.06203514769621135
PTMA,-0.03697306129632346,-0.0038637952453735797,0.007105659478038406,0.0032810687981276233,-0.008199020384903456,0.006258390595185872,0.007328714472025361,0.05788767964903717,0.04201851792438053,-0.012371393933583542,0.03471546108042285,-0.04507236502826138,0.03577607175345743,0.01785897275766224,-0.012012349265292533,-0.0835040532008688,-0.03743065664518084,-0.1040174086212036,-0.06385629816878513,0.2039240747220259,0.01636991094360327
FASLG,-0.027739807165087307,,,,,,,,,,,,,,,,,,,0.040771706872407096,
CEACAM1,-0.014145800061375245,-0.00927389494028019,-0.021830967154425545,0.04709991553824509,0.06753989950984036,,0.027477430102752734,-0.009415953954277398,,,,,,-0.04449316691222827,0.029104982605249474,-0.02047536336943932,-0.0049355543912779866,0.07118266167825692,-0.01895503899139223,0.050474504838910764,
PDAP1,-0.021444520440947776,-0.05529003246340606,0.024814294100211007,0.04720680044240125,0.031677515273797495,0.02369419976659596,0.041741536100171395,0.01700830184940307,-0.012246497801551993,-0.0396694798163355,0.04847741152612073,0.026826581111239874,0.03651654758431609,0.000910213514586962,0.020286241812865733,-0.04108998598749623,-0.11326564991560423,0.07675173457243573,-0.005593289219405248,-0.057655549221073,-0.07630477087060716
QDPR,0.08141070154509505,-0.06771290645460616,-0.0017899839711028813,0.041594401026255154,0.06491821103862072,-0.04949536624352292,-0.038381497295602085,-0.012946445405590857,-0.01942334809734244,0.01958688624380908,0.00788605449308945,-0.017215383403375025,0.09443586939058814,0.06277017759304719,0.01898627185838315,-0.0913878149789437,-0.008044894503672132,-0.07276521616990418,0.01889141403822204,-0.017255780391916012,-0.006123102719226615
POMC,-0.06327941865189012,0.03789642171665571,-0.03044052742874163,-0.00977663444031308,0.01249557065093493,0.045009021017594374,0.003182220295021419,0.057271743555826496,-0.03135553743360612,-0.05026909103101504,-0.005082506177053775,0.0049692017126005605,0.12306187830202539,0.014921534255442652,0.024194835103961452,0.07418489511158832,-0.02331955029618363,-0.035916575902103405,-0.019105272416160474,0.10759814179744784,0.06364396468385312
CCL18,,-0.038925902557775865,,,,,,,,0.02840986957602577,0.03989921340336145,,,0.1715685387729388,,-0.03523903575292961,-0.023289133753589174,,-0.028897062258870922,,
CCL17,,,,0.037398272561145765,,,,0.04739652192966859,0.09228479975326435,,,-0.01535674210481252,,,,,0.035446380677430805,-0.02731746485785378,,0.09827289044747632,
VEGFD,,-0.002553715130553062,-0.03126848051561271,0.008989582871738606,0.01618753354395142,,0.11430669895092982,-0.018684467142458246,0.05973615007157375,-0.025007597707635543,0.005070706865405517,-0.016458296163272334,,-0.04298087546548488,-0.06924377912048181,,,0.056641364264005976,,,
TNFSF13,,0.017190396339142766,,0.09044312552890982,,-0.013861166061015005,,,,,,,,,,,-0.005775921635422166,0.05747157445581292,0.049452993782993976,0.09822502398630656,0.0674747478236729
WNT5A,-0.042919344927937454,0.0907324022939885,0.03820509482471526,0.05943025234957482,0.027389590786527803,0.029868817869622966,-0.015955153277997184,0.06092350802504518,0.01502650188704276,0.00011743430339527102,0.039302303223217615,0.01801186152752219,0.025815481661452814,0.05373848546247829,-0.02780185357242695,-0.06415644258278197,0.06493376286906236,0.025477532971320316,0.015513616004980272,0.15257391515920596,0.06943388292491227
CXCL8,,-0.036876620463652844,0.04185579309977635,-0.01506082420208077,-0.028875595882151446,-0.019716609698267582,-0.0398974232351306,-0.047438282266362354,-0.014186526229080808,-0.04685814625859746,-0.05549234504373115,-0.022316009501880802,,0.013385204372369392,-0.03446056508759101,-0.062043870590757215,0.08565147870308196,-0.013067760624023145,-0.05960721450353078,0.0017994693718201371,-0.060844111882630524
GRN,0.08086132985960695,0.08440536931704005,-0.04049522578289063,-0.013619289349154845,0.019662798229903803,0.035170071665131204,0.04359546970122849,0.046623150078812854,0.03190965219531355,0.05623346511900879,0.03987890874025517,0.04679841121790379,0.08759802198694851,0.04611321864648468,0.0362287622884034,0.1810504156520913,-0.003910089869859247,0.09271340713400424,-0.04197559969942964,0.19498863108434095,0.09172003957633043
MIA,0.01749142032580296,-0.03756844895184777,-0.003807329153632427,0.011135693637985005,0.031261179714657854,-0.02506366151960991,-0.003088889411532397,-0.035267837346790454,0.11618453346092246,,-0.03442965321605366,-0.022540390839160523,0.1471388743265733,0.12449262611150835,-0.0129392330632123,0.06810236629279066,0.00489195860431588,0.011167228432317928,-0.04245311946844131,-0.04466796034375281,0.098015971995928
COL4A4,0.04189896016172329,-0.046749692708038984,-0.018922993540746818,-0.020252236412931602,-0.04157567590782361,-0.013188287114974953,-0.018965714400231544,0.023302168338038255,0.000887976911821932,,,-0.021865015342163587,,,-0.05421924275434796,-0.04455315174370786,-0.0038240636664229554,-0.042080346405544325,-0.03820095503550437,0.06969555955848804,0.02703571512544706
TAC1,-0.02773979207299961,-0.06468457389060192,-0.0031708879299877204,0.020439867202944044,0.044545249344124814,0.04034279032817249,0.020812188791747746,-0.008385548212561834,-0.0004960825471799269,0.03365806896622087,,0.1014555975624482,,,,,,,0.050479981186465156,0.010962848684021443,0.03862697944632158
RARRES2,-0.054338553850169745,-0.01650614189509666,0.028532831556663845,-0.005681483060158739,0.0011499902253422649,0.108862121944195,-0.023489900308479073,0.03987165140876963,0.040951818856757666,0.00212263124731095,0.009494277759038971,-0.026383401210357888,-0.0257243094865863,0.0070235244130570276,-0.056389487894100275,0.004468673093037172,0.06535984022632547,0.02963170381877342,0.02321133115742001,-0.05806982052464048,-0.11196269724795424
FGF7,0.04370750472452123,,-0.035292262051942004,-0.02504088934583316,0.0630139488093737,0.08390614646170555,-0.047109184451236845,-0.05410862328373011,0.030967345817759083,0.012059968810164806,0.036617254735410894,-0.022497685680714613,0.003555561861198727,0.11572463400752593,0.02716032572936042,0.09593077623415772,-0.03436005490756825,0.03464139923544561,-0.013971665990562418,-0.001974498425015998,-0.0028702239753874217
HBEGF,0.05198190818298527,0.0916435831400454,-0.009589045522063125,0.03907900176992044,0.014606351690857661,-0.004958037488115228,-0.01516431668981682,0.014963728698438896,-0.024701103987939902,-0.015150304253017836,0.04144840111945993,0.04533877351617799,0.048241593434976714,0.06366520302432244,0.09185342103431066,0.026876373279067677,0.039588340656389935,-0.0008318580557095049,-0.008410335328292337,0.04742449917618202,0.05853131044584156
CSF3,,,,-0.0033565877034934916,-0.015572586566370023,,-0.020065360790772993,,,,-0.038139911127032286,,,,,,0.11044146225632884,,-0.02717463762719882,0.00011838043031121449,-0.04256681042643145
PI3,,-0.023912430609205036,,0.009033631489928641,0.0011324513524773746,,0.027984771275578763,,,,,,,-0.06106908036136537,,,0.05752191431432485,0.13227080729080148,-0.029961315526704477,-0.04825124442314125,-0.06839482834622528
PCSK1N,-0.006680439941007806,0.029661500292502373,-0.004778946362056079,-0.0267504794181636,-0.03829392980464064,-0.019386182720526734,-0.006788332654179139,-0.01643160738562858,-0.02743858561019481,0.013989185624916568,0.09418618794367942,0.06912162730242603,-0.049626640034311616,0.010016007438766536,0.09498512591822958,-0.025246450529369933,-0.04839059643171442,0.01018256093301293,-0.058028780694146076,-0.14060107682851528,0.07598733014517733
NTS,,,,,0.027049492060262574,-0.01609990208070126,-0.024662742101494658,0.03776176433633164,0.04273250081737762,-0.022514871054887794,,,,,,,0.018341770901640683,,0.024194121747019928,-0.02090432633098129,
SFRP1,0.07062194536925616,-0.01183159188291565,0.048695187599192266,0.017589846018517135,0.025467182773972245,-0.0013190153508602599,0.03746565948349659,0.018547215424349315,-0.020768519828500434,-0.03565124254622727,0.044621265353046224,0.07451877054919007,-0.02553429212522985,0.016557766440848404,0.03078624621454839,0.04911047186310666,0.0220475251304793,-0.0496470395279549,0.04587601232759956,0.06412781572491721,0.039238659486392
CXCL13,,,-0.0009741707920173293,,-0.02257976407368699,,,,,,-0.009366904884482602,,,,,,0.1750954550862089,,-0.027333020464747785,,0.037627127017471604
MICA,0.07920571030574301,0.07942144297480516,-0.03270555552661494,-0.009289347318103176,0.0066646196935253605,0.0020160054393782143,0.015790180379905917,0.04777309090427603,-0.015919273716552555,0.10210515682980349,0.06511125766262696,-0.008396989911305212,-0.005040798600469198,-0.0307098486580646,0.03485389355345775,0.11910752518044243,0.03273115968612863,0.19173105427624806,0.0017702610237604445,0.14745039239290927,0.032040167040146214
TG,0.02508808257132304,0.026518174864557015,0.03670209013448753,-0.008042794315107078,0.020057116105765393,-0.01858353114904193,0.008086072850550258,-0.026836695357174138,0.023650689789119335,,-0.037541200565283844,0.0365401857741445,-0.0195092755517187,-0.060281134838412236,0.020531620698541454,-0.03151616350286342,-0.02247356859706981,,-0.022365144348449953,0.07513367446676479,-0.014954041677366567
ADA,0.04150898972241,0.03645441237820419,-0.04925973128339255,0.01024490624601277,0.011350741713318789,0.004362385161728304,0.035836722696386505,-0.007809323668323719,-0.001137687169322274,0.016173468203392532,0.06824605921266978,-0.014682489145097207,0.09611969704489721,-0.01456407015411253,0.10375516297975351,0.08940222853495586,0.03835500072243315,0.013973026149370365,0.012118909200191768,0.19186884221593326,-0.005971601088333667
LAMC3,0.002183605842525849,0.1059824345269398,0.0056927929208512185,-0.01105931299843156,0.013792260709582357,0.0031872513058544298,0.061910108365258835,-0.0235343790183974,0.02716645488543437,0.00584281860249849,0.029537180105379045,0.0395829336176873,0.008101403128847339,0.10742676469051825,0.02220608525472016,0.11051343085715945,0.01927103783629869,0.09242423457744303,-0.016453691215188554,0.20034873798327665,0.1354010979968951
CCL7,,-0.024760162400002863,,-0.02057272384372715,-0.02993659832518827,,,,,,,,,,,,0.0940817628929882,,,0.02224275673484168,-0.06454327314439155
NGF,,0.007035128338273255,,-0.022096713836429444,-0.009054194074069584,-0.017733673135601584,,,,0.0007338996414482412,0.04548981464346494,,,,-0.08084069459045122,-0.009107956836290643,0.1043391668912631,,0.009602224545502414,0.16556548780731595,-0.013129919253905015
TNFSF15,,,,-0.022908734199024137,-0.02216495581244039,-0.021532566994004118,,,,,-0.007828973673027487,,0.07549475892084806,,0.04325604872517559,-0.05288667868323696,0.045389958082927846,,-0.016874983435525574,0.10468480664000132,-0.010703974151317346
HMGB1,-0.013009711296955393,-0.02173400284083441,0.051239557077976255,-0.020985779009183508,0.018765576391339522,-0.03763062914336117,0.000933437274583281,-0.010500244212388066,0.01499152982833781,0.002800958815639503,0.07990882218022113,-0.015061936427873306,-0.03734244083732603,0.022652780998857258,-0.05709064532322999,-0.028057577169716717,-0.022930397999842617,-0.05740502085526746,-0.040734690039255485,-0.11061993652563532,-0.028793107964383856
ITGB3BP,0.07795155880504856,-0.055987859571561015,0.027282388452591063,0.016001446841359294,0.041870328663945675,-0.0385411136752501,0.008571666778756188,-0.0031037206595363525,0.07757165474293788,0.001115316270018822,-0.008932488213118712,-0.017953038222251208,-0.0019712111383141206,0.10818220840171705,0.01973716406035566,0.11556560912356849,0.0353522184180438,0.06173911244598341,-0.04525632798163073,-0.00299551714670771,-0.031767174907757746
AANAT,,0.0026825207543021705,,-0.006440909571368073,-0.01997195077893492,,-0.01809949844047707,-0.024134396968842543,0.0824881583157851,-0.021167303905302297,,0.011341423944125583,,0.06045717004589752,,0.04192493542352921,-0.022238368055956758,-0.0035411861364666535,,-0.04076587046901718,0.08765443374601356
