,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.013572652800104007,
BMP1,-0.08129164297054109,0.04659066251752508,0.06334996118534762,0.000887948720692619,0.051769602894457915,0.005478023978921162,-0.06082454487964908
NDP,-0.05708088648735569,-0.06797211501102683,-0.039366827425096104,-0.03755839059548387,0.01870712804097005,0.0071415346383565835,-0.02995134663895891
TNFSF18,,0.0637781110295505,,,,0.009915397299755649,0.12294401092407131
RTN4,0.11273111349305628,-0.06554549674063531,0.026436216722794493,-0.017780237351954213,0.016671219322010777,0.049121023308866335,-0.08253082920844297
HEBP1,0.06024599440911706,-0.007972859783935428,-0.03526537402066691,-0.016472825967096455,0.0025887700078526736,-0.016794939545043675,0.02742539393006655
WNT7B,-0.006577971714525636,,-0.030467326426722965,-0.015122617675944755,0.005858487373080201,-0.022492584801425755,0.037288239536264284
PTMA,-0.04413404225556025,0.07144245383636334,-0.024331745268868728,0.0774088971047158,0.0002151169412595668,0.08282083163050485,0.02293261808682867
FASLG,,,,,,0.001253628037279255,
CEACAM1,-0.0634795799404655,0.11487361617729536,0.02344590194939668,0.008279075358926562,-0.01647939079299018,-0.027414713451552438,
PDAP1,-0.01264733629900944,0.03986313384336697,-0.03654714894494773,0.04143048826852462,-0.010629014254238364,-0.006307629786708824,0.028338753498891152
QDPR,-0.04696396743375481,0.044555339161592204,-0.08045704876243531,-0.008317800182901436,0.008348520879829208,-0.005810689205806688,-0.025952782840687014
POMC,0.025289882827666157,-0.03058909049449147,0.05404171574406107,-0.041667141775999963,0.026305988777274334,-0.030196230391925535,0.08181155777545221
CCL18,-0.06640858104236672,,-0.019372871961644555,-0.0013205105655557665,0.10578384277366326,,
CCL17,,,,-0.012311527503113507,-0.023789035176506206,-0.017859131557773033,
VEGFD,0.20309902218712494,-0.03709439743650198,,,-0.01647939079299018,,
TNFSF13,,,,-0.023623972058673292,0.006195738705806229,0.02760782588459689,0.07500969641832944
WNT5A,-0.0005502173687905259,-0.0846565720086577,-0.03558257077783953,-0.0589014828326752,0.07482466193280242,0.036639251314017025,0.08951510996656867
CXCL8,0.11650102519763793,0.05322661504170794,0.045773871194496475,0.03127828122319304,-0.0020478357604055844,0.05056411252917155,0.06634331076128769
GRN,0.008646350121891928,0.11397548053832984,0.08043960882952911,0.03587245815888229,-0.0063249274746076676,0.07890969891585822,-0.012083145204633244
MIA,0.12964757344179453,0.030401822904240303,0.00858326738038251,-0.07670624646608827,0.02011848366373933,-0.051118667858398005,-0.016959411832636908
COL4A4,,-0.02904564373842871,0.004410687126835524,-0.01753135120832078,-0.026386081359203197,-0.0007391442151916676,0.03531601026646916
TAC1,,,,,,-0.023477644425624743,-0.0265311776934861
RARRES2,0.09323980799247389,-0.035711114660027,-0.011896044976356442,-0.002291760565224783,0.033966174618298164,0.01116870571658923,0.10287834156125684
FGF7,-0.03487162449045225,-0.06328538547124336,0.055707152119584324,-0.04855743500084577,-0.016344986384620657,0.03420009786667545,0.11120607062074479
EFNA2,,,,,-0.01566255809719529,,
HBEGF,-0.028647004341373176,0.03948115661848893,0.10055697188945334,0.024684792759101532,0.032286194672029776,0.06131614642196317,0.11035050260834998
CSF3,,,,0.03197488443427507,0.021227661945970207,-0.018802910434111537,-0.02537532603253931
PI3,0.09384991163854632,,,0.04380039650631917,0.017502436157552117,-0.0009750989979084996,0.12479577945348383
PCSK1N,-0.0053487602948492155,-0.08275335434443076,-0.004782670815193776,-0.024066447290367055,0.00827807968723728,0.005146911496448748,-0.08625817235342353
NTS,,,,0.02149058904345626,0.023376640316085173,-0.027844546365160112,
SFRP1,-0.06232175664292827,-0.019934922755720102,-0.02403254141131679,0.003773341629825044,0.059719558687429966,0.0365745389355164,-0.047939581122166716
CXCL13,,,,-0.027654214988806346,0.0014080119401507238,,0.049670559068590296
MICA,-0.011315124572879335,-0.015570123541755567,0.08993438419942795,-0.018569727853445447,0.06737187662242712,0.021697534574544056,-0.03315350331690995
TG,-0.015329703975847993,0.02032706287246055,0.05889228075880014,-0.016358941993352943,-0.0061261438177164325,0.0715393170127229,0.008835618172180055
ADA,-0.1036197976402102,0.0480301234388853,0.009038628892191992,0.047050541442728785,0.013813902544381194,0.08728634029839333,-0.0020885204145164498
LAMC3,-0.11813315716588581,0.10400313189892536,0.11393845710028962,0.005553306260076052,0.020652642990875006,0.06996791493847354,-0.017313036429173295
CCL7,,,,-0.018452141912421616,,-0.019703627480649785,0.07780272707680039
NGF,,-0.01792906532209907,0.06679687973309938,-0.021310746703196246,-0.015452026965908628,-0.007430258345008147,0.11124032906637679
TNFSF15,,0.006434692093286818,0.1456305449994641,-0.017988766367778204,,0.02697277989030008,0.07353180770197405
HMGB1,-0.15514294265120532,-0.021578846478458123,-0.042512407597042196,0.00413342338706524,0.04986533306119012,-0.03976434391865744,-0.025406334127611223
ITGB3BP,0.06508869573126198,0.013546021595457742,0.02528191965195898,-0.10279393707941713,-0.015442171333343907,0.08527872230782715,-0.026378100623529258
AANAT,0.04758100035951344,,-0.020177658222818314,-0.016187735004473777,-0.021077561063342864,-0.020847259558711778,0.021173264389594527
RELN,,-0.05541306760972731,,,,,-0.04598584674079341
IL15,-0.05476371613809951,0.04707123268531254,0.1319923244767815,-0.02965659376695866,0.03146390397395602,0.0517783111110717,0.0011619184772090187
UTS2,0.12164280320774488,,,-0.013785041097594446,,,
BSG,0.14956467553933422,-0.014551246129313668,0.045819772559240496,-0.05711385493209941,0.052992810247409525,-0.04393352879338363,-0.0005316328757736438
ADAMTS3,-0.10307895752165627,,-0.024160691551068633,-0.026845414296526152,0.0012354214334751935,-0.06818779480724745,0.0033445542198782554
CD34,-0.0813653549599798,0.11759232230805672,0.10880464747991758,-0.007376823223498539,-0.006354204758796605,0.06738464930921018,0.003934447839604489
PLAT,-0.12928691825621863,0.02415544392986149,0.03199102824696233,-0.03219781013808158,0.015616125383591004,0.033541686478109775,-0.06567057742085071
