,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.0033960760706620015,,,,,,,,0.07232908395153562,,,
BMP1,-0.03973028296441495,0.015989470345479578,0.028133911548319807,0.02267586487665552,0.056550774910285005,0.07531725817099749,0.009830248785702867,-0.06064727923644885,0.039869302582544376,-0.0009639352592220591,0.04969092574614244,0.0342694853936875,0.019087836736909947,0.036869897229462024,0.14429198393530673,0.020491693789359618,-0.0758801537582583
NDP,-0.055372767633023186,-0.0032562308025477975,-0.01392008854979597,0.1250097471556419,0.04419151866021447,0.020681460769382275,0.0035409592298303585,0.08351595722561658,0.04195117514425178,-0.01569622293698234,0.08320430832998287,0.05512861574450141,0.046940327042589124,0.04441597022272131,-0.044504893529219866,0.07187418031405177,0.05541768828255724
TNFSF18,-0.024096564695814598,-0.017314838242244713,,,-0.02174269684483604,-0.00768304715910802,0.009426158356143084,,,0.04695259518773342,,,,-0.028659615487329163,-0.03145498268562924,-0.03593493545590736,
IL36G,,,,,,,,,0.021060327243739664,,,,,,,,
RTN4,0.03363997333372444,0.014250062705273547,-0.028832080438001128,0.012606649279590565,-0.053222725186961826,-0.08125211815530636,-0.06777072767982144,-0.027795843202717385,-0.04321326096412323,0.12306254992719001,-0.09577742315119359,-0.08922785420424116,-0.03132572507080455,-0.011532229678529914,-0.014920510618041269,0.039800127716965374,0.05763745961083004
HEBP1,-0.004224062649617945,0.01629018128175934,-0.02184075726405845,0.0008829913860533447,0.004254812242605585,0.021238871463274335,-0.019696137074841438,0.03641170755094672,-0.023029879796941825,0.025712306201065592,0.0163972204461528,-0.009432764538013054,0.03906223094656599,-0.10748829548369886,0.021663953411918926,0.011142119322327714,0.010205111990124562
WNT7B,0.07920237740668631,0.009140883986876822,0.04158145318645831,0.04799538034391411,0.049746742770885935,-0.08284021468277174,-0.0001062540492943995,,0.03754413707634179,,-0.03927292620953784,-0.0017935499269575467,-0.008927831343285004,0.03161133669787921,-0.051215974666620534,0.05283969939091213,0.22485324894777473
PTMA,0.009093425856562138,-0.006485284748456651,0.04918460088609097,-0.03542227699539362,0.09038152499368159,-0.06297587665083652,0.01941056508492955,-0.005411251224116798,0.05359715244051277,-0.047316288540934164,-0.09755838896564456,-0.043594169971332385,-0.08773896031386845,0.08271262988337132,0.019926965523624985,-0.06671071351971189,-0.0660155456552681
CEACAM1,,-0.024333369717010098,-0.036517390112535894,-0.018066804155197045,,0.024281955008531024,0.007901995675973321,,,0.09477781264883742,-0.031885507706557736,0.08330228605270772,0.07252514149032044,-0.0448947223454494,,,
PDAP1,0.041373311833827774,-0.03197945651453454,-0.021174954061868177,0.004332642749906906,0.034577062404001484,0.07716074092028183,-0.0073083946118088355,-0.02598629319832417,-0.03547295832121505,-0.016908561083703182,0.022843178776206223,-0.06352133530881338,-0.047915715693520704,0.003047582517896692,0.025769656573984633,0.03226145687619363,0.10136017830898947
QDPR,0.03206138695262645,0.008744513797026909,0.007501622412635319,0.08309532982703804,-0.029315336450876167,-0.07066562015997985,0.0149088854134152,0.06977539207266804,0.003496204623795283,-0.02648386981015707,0.02314469170924827,0.061840203275799074,0.05019656844824509,0.03540736692798259,-0.04605733883107107,0.02265679228866668,-0.05733777687919348
POMC,0.046329408089347844,0.0022476469319609245,0.034529193383524254,0.13574200650925392,0.028286161799319764,-0.002098637021714852,-0.014645674462481979,0.038627432301082336,-0.03477094005726636,-0.03176529679242226,0.0013578091466175338,0.038994976069856434,-0.024266379203603045,-0.029599103794313603,,0.11707149045088061,-0.051061642668848425
CCL18,-0.03231547457848242,,,,,,,-0.055124358630189906,,,-0.011351175470345445,0.01232600348931289,0.11953722990032213,,,,
CCL17,,,0.006478145791251509,,,,0.001918149833934065,,0.029052071869859763,,,-0.019921019514902192,0.07581229207081813,-0.02424642775712581,,,
VEGFD,-0.03641009452941594,0.012613835561294924,0.060926324339356484,0.17146934471149425,,0.04240645808564619,0.016341030149558056,0.07379006136854248,-0.0013343489491634023,-0.01910443642139035,,,-0.02539481707699979,0.005976561795728542,,,
TNFSF13,,,-0.014599785476753236,,0.013766370507220288,,,,,,,0.005988502247854252,-0.01684414414787138,0.04733079089072505,,0.01392855892668827,
WNT5A,-0.0882344940888738,-0.013757761661794614,-0.01510964814968754,-0.05132772792573607,0.1109361718974937,0.08223188862472637,0.0009304398342315911,0.03288504392831213,-0.013131065341000505,0.04870040753935481,0.056438111717624605,0.04286499362043401,-0.03633302474210384,0.0643633445939676,0.07808763095187307,-0.020908555093133104,0.016340271888818557
