,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.02739651598899191,,,,,,,,,,0.028936023791493497,,,0.09449235076085265,,
BMP1,0.05271746043208621,0.040498786996526225,-0.006719727396189557,-0.03691490771752186,-0.0031550680752659155,0.032776573271211265,-0.011105822567658777,0.010859217767483196,0.006049033805693431,0.004562932088101655,-0.018708521490322247,0.055468011717580104,-0.01629033525788522,0.03995001762645731,0.04471517015803227,0.021318030861502156,-0.001390653317176232,-0.043339124923200655,0.05188840226169873,-0.015549918366305903,0.10316172176112999,0.012519461744992735,-0.014484440778980485,0.005346668335069783
NDP,-0.015298404912498578,0.023099781223321698,0.03702342842910748,0.023788620283130536,0.042966290948463194,0.06495805481113659,0.05473874492971312,0.027784674495010396,-0.025029331884677042,0.0013319798802053843,0.04095249954369526,0.0007987124711343331,0.033303991343853444,-0.033603243468401996,0.002145321373635371,-0.006238837939036553,0.03659334004456719,0.1223497294553228,-0.08799739661796045,0.0413695115623727,0.11169721290423143,0.11020886517428828,0.07669769248895893,0.13315755952987685
TNFSF18,-0.006838622884608552,0.07453473719268146,0.07908726941418907,0.013177205026204413,,,,0.0373078575281529,-0.021024562091959333,-0.0069333665558235814,,,,-0.024124895318364783,-0.015148947701264374,,,,-0.0667052701996058,,0.05342391414949956,0.041044202994961115,0.016010365307356698,
IL36G,,,,,,,,,,,,,-0.0273180907064897,,,,,,,,,,,
RTN4,-0.03230350373322492,0.06254958376092751,0.08106928605733761,0.04460827955155525,0.030711171539797574,-5.443049553064036e-06,0.0293536027116603,-0.0531404681416953,-0.03399391101152211,-0.01601107302830717,-0.04728207161996575,0.10580845017142919,0.061413276649387886,0.006608204527780732,0.09076445222722508,-0.06445837669903393,-0.0351097520958689,-0.033859598546952994,-0.005603430982532085,0.10431522244315107,0.045331164343021056,0.0044286769128450915,-0.014033003218610342,0.12681093706464194
HEBP1,0.04069043045170351,-0.07378020204719642,0.08993622649805617,0.024531482282606567,-0.030652187587753163,-0.003690511907252608,-0.042181193114707936,0.046307551278176505,0.017007205306426475,0.06035679351443737,-0.0024763857677252135,-0.028585813825298366,-0.02434185289323135,0.020226386826197006,0.07844745413372589,-0.020061557137279848,0.05653937339515696,0.09323447492238904,0.024666779888374797,-0.04052755477184811,0.045863919308495996,0.1279312276173503,0.014224008229812684,0.11221219327729089
WNT7B,-0.03004207409497013,0.010571733551998327,-0.038049420202673614,0.07409955774447907,0.08003461443121632,-0.044203060323547975,0.06738173058092971,0.0015636110653286857,-0.031041469278079745,-0.05677212598471868,-0.01942236272594576,,0.06723606878998376,-0.02655915502522416,,-0.034297009199071096,-0.034525626223799934,0.03920369483918833,-0.04909633614101101,0.035525233794959386,-0.0017751209613272073,-0.019872175375301587,0.00019917185333085798,0.013656559931887023
PTMA,0.02081383480042173,0.008233334542259722,0.030049965136726843,0.03592666959472448,0.05898170265053335,0.035166503371614394,-0.06363874710075973,0.07933254442330274,-0.07484941632242215,0.004402319144153775,0.011809296159560202,-0.08751085972976766,0.02413790634179952,0.10417906734194644,-0.020844768965428487,-0.11492662123685098,-0.016357160188866522,-0.0399874160439519,0.037862697387726324,0.0010154346027795918,0.12923572920050422,-0.15456425022449555,-0.028986827004565074,0.14021020747024635
FASLG,-0.03004208258778752,,,,,,,,,,,,,,,,,,,,,0.020341825612714325,,
