,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.026891149486894965,,,,,,,,,,,,-0.01636014647749378,-0.01860240429178979,
BMP1,0.029507127258783145,0.016363361975793682,0.0009693632679618548,0.0033982117007234046,-0.017542559561938835,0.07480562203430892,0.128924651607147,-0.05191457876415167,0.0060578616040733125,-0.004025338992689233,0.06198560146668253,-0.036209397786961514,0.032331713656790814,-0.07976142544995073,-0.016470579405317314,0.0320525888623907,0.0040098750868089025,0.022756930952032458,-0.030308267241530008,0.006574435067443569,0.09161622442838498
NDP,-0.007444910905128607,-0.030247198592724737,0.029368471040956554,0.014541949118611145,0.011270417961308695,-0.02182051963799593,-0.039212813224709646,0.007122417808660438,-0.02704744307669776,-0.024208672108555655,-0.015146998802720555,-0.017963416205400266,-0.0038708154838154236,0.0034971564183721156,0.12834529998316618,0.052085005213538364,0.0385740355831131,0.0496682147179695,0.042175640921410025,-0.012643253248360561,-0.019285709100855267
TNFSF18,0.0023176571535490705,0.06155812609267342,-0.03543491358359214,,,0.130004991807043,0.030510093842898982,0.05307398553431594,,,,,-0.031588940965273954,,-0.04016149192337182,,,,-0.01687193028869577,-0.018223027502210873,0.0802035414650208
IL36G,,,,,,,,,,,,-0.020947216512146084,,,,,,,,,
RTN4,0.0010440300564405359,0.04322972876177784,0.02862774007526014,-0.01118600217284376,0.012628374804077415,-0.139493327626738,-0.14676510267568998,-0.023207215708738172,-0.011452037708689815,0.004481695607618602,-0.02590145056803156,0.004948702168454964,0.051412173621821995,-0.015931905554564564,0.00812068742830447,-0.013689038823187238,-0.09563276739404242,-0.10026989765810283,0.06360052727830148,0.024701137574673064,-0.032223273508840224
HEBP1,0.0005653289409121507,0.08719989233512737,-0.013472210161073526,-0.03967717458364783,-0.01630906386106621,0.05310182021767078,0.14717319613956634,-0.003116017243965144,0.001841750619173168,0.056686875427767805,-0.015633360965779917,0.061637167587362,0.052780499366746336,-0.06242562873119937,0.059615779529237835,-0.027260429177150602,0.033419867176333024,0.013842045196679193,-0.02519223052027691,-0.004802250549424989,0.014875202764272377
WNT7B,-0.05393045324819635,-0.014983380449908762,0.14219091602621262,-0.019835078997534873,-0.0012551423757527237,-0.030632239937146616,0.017514324636491344,-0.014113782541601162,-0.020429737345820705,,0.033851459115943866,-0.023023404933394723,0.05400408037113562,0.006883425367906355,,0.055852511528517265,0.06642508296289676,0.0026979662313000945,-0.02140069600229267,0.08049303228103942,0.030430058576209618
PTMA,-0.008316300071119316,-0.053734843504019164,0.06821809577672967,-0.065148395386049,0.01236316665918021,0.18591509111434884,-0.1114799200821624,-0.024606730189196954,-0.0036070481279712693,0.018194618059491425,0.14636260509586257,0.04334965483995109,0.07041784765077902,-0.06802090504478635,-0.016790026041760758,-0.054296156189495695,-0.038269364272276375,-0.10845449063778342,0.09643613201595327,-0.017021006397945113,-0.008629618247828758
FASLG,,,,,,,,,,,,,,,,,,,,0.03388592239930196,
