,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03594126368357003,,,,,,,,,0.07141125013595764,,,0.024664027027184142,,
BMP1,-0.023156962115903942,0.03252267540516781,-0.03269843870113339,0.016029310888276922,-0.00015915695750146026,0.015485228624175838,-0.11609103702423083,-0.015734684333468703,-0.15880238638537503,0.03336667391338449,0.04712769003926159,-0.1100469951930937,-0.10166971099040617,-0.05481185614183737,-0.09693263305166734,0.12158645299968109,0.011197169760859235,0.041897278328412405,-0.0852289873101892,-0.06199913816863299,0.12740601644798613,0.004487696008104145,0.018855312878371114
NDP,-0.0013302023527563456,0.30712119531020843,-0.009641361829004868,0.03860213680447461,0.03909012944165992,0.05448827281783987,-0.09247494026939006,0.03740845138549461,-0.011067775729028834,0.010853145031332747,0.07549292167270467,-0.0397904308215161,0.015059571803254157,-0.11083905096260105,0.2153260151193223,0.17016659569815787,0.07290813021415685,0.06594994339360973,0.060741056475752855,0.015852334999534028,0.042318017444624254,0.19567065504068828,0.08531404395871062
TNFSF18,0.01699301594923634,-0.05230581250826179,0.00036967785557999564,0.007479738224442577,,,,-0.022041218143418587,-0.03845436275316188,-0.02526458637934111,,,,-0.03423132236036558,-0.029507613630987924,,,0.01628421043465199,,-0.05751039957952788,0.1063196434685552,0.001241887256150677,
IL36G,,,,,,,,,,,,,-0.022854636384509935,,,,,,,,,,
RTN4,-0.0227172959049826,-0.26338317430905517,0.00829755695040314,0.013471437063864366,-0.07688730327253152,0.04805959840428985,-0.08366518599925686,0.1846510883926492,0.22953299773097358,-0.0018106034538574484,-0.01903254535956965,0.24251977950583783,0.13575778722421605,0.04087406735740292,-0.011010864988486321,-0.2522927546707763,-0.041397532530676254,-0.0021179809600884686,0.07107749541079877,0.12245295438436027,-0.07438444517658648,0.020974736612816257,0.05724023766103551
HEBP1,0.0650003208296317,0.005109062230385805,0.01946447984568016,0.01166137257811194,-0.030630429455356198,-0.0077622865970232,-0.028025758932323702,-0.05736928598645716,-0.11179439108639998,-0.057395540955408046,0.0018174695583515093,-0.03613963923317298,0.023684775049530156,0.05140205312689495,-0.02594746653454311,0.010184725621015944,0.023829800444676252,0.003913947150034991,-0.025809467874652495,-0.00855282998234054,0.09606499149215378,0.044028347800015216,0.010672815749952626
WNT7B,0.10330282987295272,-0.06364622531474595,-0.02935982632755377,-0.01408395792757348,-0.012863229339922077,-0.04326117649622899,-0.006249542028529913,0.0008008647622452276,0.07559071216318376,-0.022441584470195914,0.035320729907473314,,-0.005746000940842458,-0.037685344756513355,,-0.004606235366353992,-0.04000709920585201,0.036548133242754,-0.013374624271565386,0.11461115535871699,0.15978720749970257,0.0788127048491743,0.03640331033121788
PTMA,-0.0023815862824970446,-0.17356040474016254,0.009605838239594714,0.038630539562032024,0.03278884226064351,0.0641192539365871,0.0746333612937509,-0.20932922436361437,0.0230238247394102,-0.03671788014710073,-0.027712830565606337,-0.3154941633988238,-0.057092345663665084,0.06279694595194821,-0.13058328063968336,-0.33340332322079613,-0.05370802715510763,0.06032456140079078,-0.10116366198640116,-0.1111101996379589,0.012628097169797351,-0.09703722124965787,-0.054335664939430615
FASLG,0.05034129500560674,,,,,,,,,,,,,,,,,,,,0.050305609011093794,,
CEACAM1,-0.035920642212542035,,0.015570843089703827,-0.020375597116876382,,0.009224666646421888,-0.002481277081267939,,-0.07023411419567997,0.017848134514504448,,,,,-0.019917004617004495,0.0072143835620916775,0.06670729054503399,-0.0034754923083844284,-0.014740136525510922,,0.06069844665217563,,
PDAP1,0.006313304647485653,0.02844643523547286,0.008969579085938482,-0.01565510930393522,0.08378671921398531,0.02618519345595038,0.1445229488852816,-0.14743136394259374,-0.08743035406705997,0.016353465097168358,-0.01618611872984451,0.04985664633816296,-0.09109875166747228,-0.05421511887097085,-0.11982323144322732,0.15945951475622233,-0.036421721586966195,0.025917417469853776,-0.012381804399688782,-0.007514922926422052,0.018802368450224736,-0.016740650317789974,0.002218210740687413
QDPR,0.0956666716803924,0.04355312080412264,0.01610713109554345,-0.00324136725270564,0.005404897048371539,0.06992987559131465,-0.10522509639911162,0.0688146632699071,0.11094726576687723,0.006619013375546525,-0.040132053156654225,-0.19072093082027766,0.03642796016434604,-0.038417986253052275,-0.0252796857802006,-0.393909965614182,0.022237819663888485,0.043540403141385464,0.023709158742172134,-0.08486072547240091,0.030847060190525476,0.03408549682912311,-0.03127034991709065
POMC,-0.004962466958776645,0.0690215663960354,0.014664261081787696,-0.036204185300998164,,0.02882245012063908,0.012235092756653814,0.07722721225527783,-0.023930097150690985,-0.029315028158157896,0.05048962165908663,-0.00805667206411245,0.03983777935980127,-0.017769007709389703,-0.11850036423863017,-0.033941353325175144,-0.04540411500886358,0.011314912100762133,0.006392186247038173,,0.023407164305906118,0.03489891592259146,0.05541849852594474
CCL18,,-0.0153612871456343,-0.0045532218479028925,,,,,,,,,-0.12654184099896318,,,,-0.1271496391044231,0.06058427957163624,,-0.031080027918558895,,,,
CCL17,,,,,,-0.04306008535184549,,,,0.0671343578409272,0.01621441725771461,,-0.026314037146149886,,,,-0.027978523142050182,-0.0071083343218291874,,,0.11252399812275939,,
VEGFD,,-0.05005732852897085,-0.01341939815094679,0.027822460808241616,,0.029310808857041862,0.006462251349619233,,-0.04063574450331096,-0.00011837215673318573,-0.004100075707931519,0.06733896732515277,0.04744973138048075,,0.03358855049780125,,-0.019381576984841793,0.012410855454086805,,,,,
TNFSF13,,,0.03439463304337398,,,0.06459937047817127,,0.002767011121818941,,,,,,,,,0.0631792988278775,0.022611116674762902,0.03074390693650874,,0.10808632148914832,0.050393117872731236,
WNT5A,-0.0013584855853283194,0.04085226730410033,-0.024171782895777826,0.025596619382896278,0.06212142385107186,0.048466383717946794,0.027431135205715326,-0.08813070000866076,-0.13372475474640963,0.004008604883982501,0.04661838864609803,0.02451491693529377,0.0006757150893636657,-0.09867418330046504,-0.05517558627270247,0.11306542366700909,-0.009131122916021885,-0.04573843807229643,-0.025591731183258457,0.04468404057014631,0.031968201727255584,-0.026106121573510756,-0.006519456960527605
CXCL8,,-0.28743554407722627,-0.045816418392307066,-0.02732612560527308,-0.042559577457712536,-0.08839782963541323,-0.028979865754611624,-0.02063695643428453,-0.03138067856896094,-0.062420978490028194,0.054162873058009875,-0.13439124992375284,-0.011112865691100456,,-0.2588552320400375,0.1437113692164975,-0.06271143352278627,-0.005437437678214262,-0.0496387723829518,-0.02216034815295621,0.03125123759817724,-0.0650645839855477,-0.06206225900143729
GRN,0.019722003596530695,0.011331259043043884,0.03986165414294197,-0.04215417731365545,0.04562622485187461,-0.027812632245098997,-0.1001244229953793,-0.06198628707950738,-0.1731402772947216,0.0374051875338035,-0.031248233836454958,-0.1622409345518778,-0.08225370202188043,0.06632727741901673,-0.1661407739547323,0.027249575182976285,-0.007381777086090167,-0.062229027868512664,-0.07570131129086646,-0.06339900909060775,0.06206474023608793,-0.027564206627108987,0.061323595301095817
