,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,-0.01223877827745393,,,,,,,-0.043087732603071,
BMP1,0.015147500290962424,0.030479180035197298,0.04416500179079455,-0.008688549603488702,0.00011332609999286286,-0.0417956567719065,0.02311187854519561,0.034470700718949795,0.11627754768534591,-0.01729630203145505
NDP,-0.07364176328073573,0.0755011269454261,-0.03118809988868389,0.03982401679973068,-0.01369647022361883,0.13449914248109335,0.034530325825206286,-0.05344986034070375,0.06717032442178317,0.003335793446358346
TNFSF18,,-0.018174218323826822,-0.010176853565965342,,,-0.02202267959402541,,,0.02738997604088959,-0.026674486459535084
IL36G,,,,,-0.01314381258090781,,,,,
RTN4,0.007858576123789833,-0.07143813753500584,0.0032982234873571337,-0.010840526749063814,0.024448057457841215,-0.006418463794502942,-0.03333809664744421,0.0037643065640925568,-0.057642050247435773,0.09102665687191017
HEBP1,0.02732149997976119,0.0182520434764108,-0.03078624462543209,0.04352208949363441,-0.012801119002944865,-0.003481448422245329,0.08163541269484394,0.018822408216619138,0.00791474437483,0.041454837927119056
WNT7B,0.148878558383673,-0.035713199491184594,-0.0199481633084216,-0.014267906196542817,-0.01444656473777408,,-0.03692434461997213,0.03223069349296842,0.029434080665107,0.015466812723617562
PTMA,0.07138644744292753,-0.021770388401626803,-0.00937876954902263,0.059624214003842976,0.04148743857654703,0.021019409682275714,-0.05600295224421457,-0.008447275393988518,0.01989629531122004,-0.0411360381657847
FASLG,,,,,,,,,0.06768648286930493,
CEACAM1,0.0025329281669225004,0.008502120964906145,-0.016005766186350235,,,-0.030603826927535167,0.005704932925986332,-0.0168485176413829,0.05830670083617176,
PDAP1,-0.007450681100128438,0.08413730858054795,-0.06467430892501101,0.002313984467124964,0.019763973005909218,-0.01987134404162772,-0.0045154026936000645,0.01795911226840344,-0.0031229442891963304,-0.03381226108948072
