,UKF259,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.017474395857736347,-0.01776087336523394,
BMP1,-0.017940555892400196,-0.03405090073633657,-0.05430262655167659,0.01908323049105963,0.04938490921302163,0.07110575261422683,0.043375446002128275,-0.03806309418288468
NDP,-0.03450358509926095,-0.013449708654427319,0.07833516995532235,0.03604969718180199,0.029738462013556323,0.009638512571614155,-0.01552267945583281,-0.004348859325358122
TNFSF18,,-0.010336036015386987,,0.16158957231817062,,-0.034606186138817684,-0.002876445250549515,-0.02430872483716642
RTN4,0.053665981842463926,0.0006833084880654846,-0.04154959644009809,-0.09549338751396196,0.0252182661758085,0.053042791997944885,0.04710917606902611,-0.05390588335301812
HEBP1,0.0666406970811233,-0.020061945865148208,-0.05116071839269842,0.015876807405799904,0.046460509819849595,0.026087392779672158,-0.019885084617838562,0.008623459986552366
WNT7B,0.13313852867417772,0.03915536575492922,-0.01947754985387214,,-0.03489714521802693,0.049920159135339634,0.12482623820305251,0.018300181668961222
PTMA,-0.025124900077224777,0.051570078796154814,0.016942172778307257,-0.050520565950464995,-0.05773516436373622,0.030837106870710826,-0.034989510448369905,-0.017206087009012598
FASLG,,,,,,,0.03698664664294728,
CEACAM1,-0.04389179585922833,0.01738830344316179,,0.05501329725295701,0.014523866887666015,0.09928680159036335,-0.021432402743952035,
PDAP1,-0.01609796714799835,-0.008106156475237892,0.021276918753617823,0.006843235163087645,0.030145061283645663,0.019182898285968277,-0.012928795095776623,0.0038112243584648557
QDPR,0.011572044323549368,0.06852954396974499,0.03594617701601073,-0.032090643265097946,-0.04848742993815754,-0.010951638317387689,0.047364928582542376,-0.04306637606461993
POMC,0.020866689877254704,-0.011993118837780311,-0.0020152462234642025,0.02562681836378479,0.0016271533974044385,-0.0008104317338955687,0.006642647350478452,-0.05819558884315286
CCL18,,,,,-0.022189604583839697,,,
CCL17,-0.025440227752237518,-0.012891049275587908,-0.02410774661731617,,,0.006974024117463907,0.10208717464298706,
VEGFD,-0.028343223073232005,0.0653351707456486,-0.017683323689040138,0.04879198928560523,,-0.000151132059139229,,
TNFSF13,-0.01754809973438377,,,,,-0.013623466831405506,-0.022749905971562002,-0.026444425233954533
WNT5A,-0.012772966585496724,0.001508617022158822,0.08354116357736999,-0.034298086308274064,-0.025817948561869485,-0.016901098487818744,0.01528189479655659,-0.031604895552870965
CXCL8,-0.029122898132348137,0.002179782086946222,0.05255751191271763,-0.011457784541948296,-0.03906829247293942,-0.011222355132129947,0.03747038649110793,0.0327715602906571
GRN,0.04201582637557227,0.0201747507156577,0.032379487355247635,-0.026264499694676893,0.03266424586258657,0.001253860205135649,-0.02908526368058955,-0.10064748550112812
MIA,-0.02649238604128516,-0.025337527872791622,0.05107524188383343,-0.0333820670042105,0.0965808473160375,-0.01604664722392626,0.10172648339045587,0.06493893885400018
COL4A4,0.01786874105065928,-0.01345865427565257,-0.01606478181372742,0.07155831120817442,-0.02805459340851846,0.09274069470296756,-0.03053865931729985,0.0862341071039722
TAC1,-0.003061043828863228,0.015892191298706067,-0.04726843690665818,,,,-0.01835446252971124,-0.017915164130885383
RARRES2,-0.05354727221113546,0.09163411577611112,0.010028022407299823,0.07081659269207131,-0.002460340076662022,-0.004438000785602438,-0.018907390622075245,0.061581523684385665
FGF7,0.06732640880693315,-0.030680723169994668,0.014153878372837662,0.01885710005417592,0.03450599923497389,0.09177405146124376,0.01688484588623509,-0.005303476391553365
HBEGF,-0.012044660307140347,-0.017868168660095985,-0.01361676479013925,-0.014773118670351207,0.008137856520095715,0.06272545685072499,0.03872745974970718,0.047725005129070776
CSF3,-0.020331351791447613,,,,,,0.09828858541129756,0.0954504537988899
PI3,-0.04103800250986258,,,,,-0.024247190174212854,-0.03193784086429375,0.018705276128255635
PCSK1N,0.09375444947669218,-0.03405218372232056,-0.03888243140244414,-0.004109761080625394,0.007453742953464262,0.012623644975863945,0.01568520920863885,-0.049116290022601254
NTS,,-0.015374948041599184,0.03855900272292288,,,,-0.02176843952702205,
SFRP1,0.031231493170575702,0.0300669326994566,0.047633171502929623,-0.0532931145764344,0.07961172053018359,0.0034208297255317365,0.05503903349052914,0.040991309674364665
CXCL13,,,,,,,,0.052862273931327024
MICA,0.030047228836807386,-0.0019245514457849472,0.006734707711095218,-0.08216560905259744,-0.018955277287802313,0.12596760391350414,0.04445699524502105,0.0043259976212947976
TG,-0.02395470791062455,-0.01298724430281742,-0.017446671536141888,0.10196917326372472,0.002534414145223917,,-0.028667466828038637,-0.0277898519585211
ADA,-0.05963411606553087,-0.035686149216115313,-0.007943363725362201,0.042048195539142776,-0.055737739025945574,0.08983668876567627,0.08263708133384247,0.08266748184390711
LAMC3,-0.0013092220957023944,-0.00831918903282468,0.0009697886749647065,0.01779762397930097,-0.007362829794389464,-0.013371167428893178,-0.03696085229089537,-0.025722141645828624
CCL7,-0.017319215546242706,,,,,,-0.015403993932979568,0.05260564820994452
NGF,0.046180360620865224,,,0.027928045026204575,-0.0329751533558002,,-0.0007635738655841262,0.05544633226506844
TNFSF15,0.010203500790097663,,,-0.05744910490452921,0.09431620704935334,,-0.040700018912992984,0.02444914732018686
HMGB1,-0.011641663687275242,-0.012718422731506494,-0.00693987673980758,0.002141645253197048,-0.038196200143327766,-0.04523364084023824,0.017854093295574698,-0.03280625191051786
ITGB3BP,-0.05044687752462794,0.009232181026900968,0.031964091234073885,0.021201546624996917,0.04883644390811744,0.05327416394894476,0.010889223174037923,-0.022297740982053924
AANAT,-0.017548101607259056,-0.011679504699215656,-0.02011105774161842,,-0.023111403321027887,-0.016881018159809375,-0.016298067961192306,-0.01898300371343453
RELN,-0.010761871272123528,0.02027697156253716,-0.024520001692992555,-0.029976882435880457,,-0.06060929222971362,,0.11323966801967753
