,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,-0.022286139636824676,,,,,,,
BMP1,-0.002626629457828271,-0.005942346340241296,0.01918964331396716,0.1141790277512154,0.05731844164486278,0.03190574852583851,0.019289218894877124,-0.038578293637793776,0.05624282897000536,0.09799317556721597,-0.08963113336107453,0.04515401393201552
NDP,-0.011402575792456635,-0.03750000015118626,-0.01582997234856698,0.0650170753564359,0.05975921372086538,0.019332567334759625,-0.042923770978878756,0.08387368011968865,0.06086919686790783,0.005187757877928419,-0.029115374319599582,0.05265228575139828
TNFSF18,0.00010433495695896256,0.033935443971752285,,-0.015079728462832979,0.013604565983023979,-0.015882542521870806,,0.05576651155328651,,,,0.05921296232084347
RTN4,0.06275479446382094,-0.010848361825441953,-0.06241011208171167,-0.06025344891274884,-0.09017255783222122,-0.037518632281020384,0.020138699381425637,-0.03455812391993086,0.021350295877592476,-0.03574332447543685,0.056168149013366205,0.05204724347340528
HEBP1,0.0041706212831608795,0.0472888632064351,0.00922838893524542,-0.02228097811122529,0.02744527109661218,0.015912293648330425,0.023437239519825206,0.004659048903752949,0.026733821505813382,0.05722645636519278,0.055618509446319006,0.008418556608631928
WNT7B,0.011968647833569442,-0.025265472213400083,0.0703710229655145,0.0506739797612778,-0.07373604916341414,-0.04552582967016275,0.0756748926388337,,-0.017157996903779886,0.013862227033839684,0.07205593980297934,-0.01478034205425795
PTMA,-0.07732601750544761,-0.05376213168808997,-0.000831817879990118,0.09353646705798176,-0.008000864505204645,0.015375504528972293,0.01621113371108283,0.06360005165752372,-0.12258034936703206,-0.009417887974688706,0.03412358928438852,0.016950137311177046
CEACAM1,0.03328237577951817,-0.019389730307956883,0.002115683082510776,,-0.015365190721061442,-0.002840392598568701,,0.012002090407690683,-0.03446613313225568,-0.0335357244001994,0.009614864908088898,
PDAP1,-0.03598896277552069,-0.010932262254820795,-0.030003396741762722,0.03830336145329804,0.07446070448578537,0.011206563111482038,-0.022834982961051683,-0.027962360809313237,-0.0345712024522688,0.011954460014462305,0.015629877007536423,0.005207914400598069
QDPR,0.050176721804117905,0.04588189807582247,0.014426976219987486,0.009518746175090919,-0.0425068002305557,0.015140329727519272,0.018199310797895992,0.009591387865967922,-0.04913833926511066,0.001983327013171366,-0.0718758851846806,-0.018624481440423068
POMC,0.026400433482595114,0.022357558443952347,-0.03599698248220306,-0.019453438863212588,0.03472742767626343,-0.018428846380501296,-0.04142115428497283,0.07995934604473218,0.054030320475420675,0.09202110859274729,-0.022772596327781797,0.019896739654673402
CCL18,0.03206109811009048,,,,,,0.0488131524882846,,0.029524223311800185,0.06227649658962223,0.04759858770313851,
CCL17,,,,,,-0.01980862276082066,,,0.10385652560849848,-0.01268334970263917,,
VEGFD,0.07364465463037477,-0.02777189851684739,-0.017115222407024042,,-0.026873161657204582,0.005663575745675644,-0.027985806221011194,-0.029438608930964668,,-0.009577409545490799,,
TNFSF13,-0.006912413828201775,,,-0.014624190800135531,,,,,-0.01608873580016914,-0.017573362977231364,-0.021870160891805632,0.002167309755723965
WNT5A,-0.012919267956272129,-0.02476395501832377,0.03810497848218803,0.08358602407348731,0.04589878584950228,0.04472568051418245,0.0029665525124314344,0.05692349681886186,0.0735990642083543,0.06896097782968749,0.0038467311666071126,0.05088933193567892
CXCL8,0.03807313032589536,0.012949165034615394,-0.030811355311921196,0.04894986483085117,0.05882170991809322,-0.06621057322500966,0.021539523269144028,-0.025303949540450617,0.04545348019924266,-0.05057848039351933,-0.01975516778718708,0.08330304358546695
GRN,-0.006213093963802027,0.04207385409879991,-0.04774744322099907,0.04185893374268306,0.08091638691392472,-0.006966742284063477,0.02397038021225318,-0.04026057802007079,0.047127247103900226,0.12504480911504046,-0.07589029167021892,0.027593035099162673
