,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.020814925857806324,,,,,,,,
BMP1,-0.018404288721177865,-0.012944776899928383,-0.0005161359110786869,0.03487331180494901,-0.058428017424749346,0.1430566338896365,-0.14810263621567213,-0.03191405179575061,0.00939771275848024,-0.04070999449573935,-0.013524518060541816,-0.06157815728233363,-0.07017529234611364,-0.04345941405530498,-0.02182519759438471
NDP,-0.028614660942244668,0.02403924050114122,-0.01459374480489279,0.041347372596291114,0.057991182317933695,0.04533103541962933,-0.05022963124020821,-0.013079967301599705,0.010016348559011195,-0.03767550736479856,0.00040099509458739577,0.004484577895017155,-0.01785087379549859,-0.049860601351339476,-0.05894850810012927
TNFSF18,-0.02154480015568601,0.03382102333380788,0.047726041610883785,,,-0.04503707041691081,-0.0309095400176445,-0.008269110643258488,,,,,-0.00025398388121352635,-0.06332172889905166,
IL36G,,,,,,,,,,,-0.014899817885752486,,,,
RTN4,0.20875623783661348,-0.04137313051844716,0.08447357206991778,0.04238252198085638,0.0612359621182486,-0.0616762867497444,0.1812775943544894,0.04382466241693534,0.04025234727251699,0.18119170011745692,0.14337277164223086,0.012930965351552354,-0.02793285116130554,0.15558294738832135,-0.04490687368782831
HEBP1,-0.05296445681547353,-0.009749367130813992,-0.012518479523873189,-0.01688460373526017,0.04734523196985566,0.0741056056808631,-0.05844255325577392,-0.0021334156173209366,0.003547647130848834,-0.11036343737409987,-0.06393669128402396,-0.0028843614514706757,0.009543884699330473,-0.02579349521264828,-0.09242580631246619
WNT7B,0.23729466551692063,-0.022407803634090968,-0.01722763511723837,0.041997261792952996,0.040245438916603954,0.0666623735200579,0.08546954238568279,-0.060756465673249285,0.08991202318155435,,0.10769289853110148,-0.0108273053210902,-0.042135237321254404,0.11707451854772916,0.04355714723784095
PTMA,0.04760865860671008,0.01680161942069114,-0.010994421556282701,0.14610710241407948,0.021434250729525713,0.2124605323350431,0.05196717463913453,0.033952326293930433,-0.0699435020509363,-0.2771862330510001,-0.14352604082158318,0.02391337347747659,-0.0416538345244733,-0.11112848987190344,-0.17991329938871697
CEACAM1,,-0.020060548091604093,-0.013221173780000608,,0.030151684756194428,,-0.04067519418745628,-0.033336315871505824,,,,-0.02214439424818566,,,
PDAP1,-0.08618640717050528,0.06262989762513681,-0.03969869644241354,-0.0660904091114669,0.0035092985966469524,0.1340367231872053,-0.11879092618653678,-0.03413233863856715,0.0057218101133393,-0.022885497501987116,-0.038781882061432245,-0.04998996770143461,-0.060813944767964916,0.008584910939136539,-0.03525265742866921
QDPR,0.12705968465490147,0.06600771400165584,-0.0317176337580154,0.09363994530211739,0.09518309758807324,-0.09591125141085205,0.06244626273521863,0.051430339184933484,0.0020435184861968955,-0.12463476049548679,-0.009756812332901625,0.035325700639049176,-0.0067482193648948675,0.13374633370518643,-0.09590292174455396
POMC,0.0783104076109326,0.0036187172595970474,-0.02349191646665323,,0.04680910196918489,0.03222303178395056,-0.01167291296904603,-0.024594204666375026,0.041319749538751366,-0.0435481634683159,-0.03192301951846074,-0.014933123648584207,,0.014689366345432204,-0.04652420539707044
CCL18,-0.028893348513304287,0.03064174851982885,,,,,,,,-0.1149946184571286,,-0.02673242073871566,,,
CCL17,,,,,,,,-0.026435584316015445,-0.017466126350159542,,-0.01361140664432125,,,,
VEGFD,-0.0325543586892349,-0.025033676566313296,0.04944520550567595,,0.02716992331746803,,-0.034870584285898745,-0.008891302413293936,0.021831603290053625,0.06424765658579806,-0.014587766091400861,,,,
TNFSF13,,-0.018891215662908863,,,,0.07114448183404516,,,,,,-0.010052290979149486,,-0.017904875606809208,
WNT5A,-0.08395204081748132,-0.03520169008770827,0.0565322877765211,0.09555546566521125,0.047959037417979695,0.161481855633535,-0.13631909249944724,-0.008346256210614958,-0.002122017074198718,-0.0078788316104025,0.018605243763061614,-0.05193149754241296,-0.003722627399039467,-0.0466991103361343,-0.008235232734547645
CXCL8,-0.06673945481592586,-0.010103557248400947,-0.017731183694351782,-0.19793749990668513,-0.13732829842073016,0.04830337778964712,-0.041401458841389925,-0.03749156471931506,0.024708361010063087,-0.07944628942497364,-0.0438598308318525,-0.07836456408943673,0.014724305324147043,-0.1329091249341822,0.13351540333042666
GRN,-0.016799593893267913,0.006778331827636796,-0.00869132037434213,0.023396060329114697,-0.027203977492100073,0.02714286873752217,-0.1599894938705075,-0.004705122327281996,0.0017073409551569912,-0.22258846981091124,0.025942559907992255,-0.06421086915299246,0.07772491815630087,-0.03331426677000431,-0.015716533179679734
MIA,-0.05222869066118938,-0.021416285934522144,-0.016840957904128973,-0.025408559289433294,-0.04467586532517201,0.12173348373996017,-0.059459756792001314,-0.03387520441277998,0.16556984232002028,,-0.019978614183902968,-0.010336742557005198,,-0.01732558639309449,
COL4A4,-0.013620150739553236,-0.03006523261625839,0.03287585036188776,0.03541963862456441,-0.008254812005723975,0.09682800910988502,-0.02051156444151751,-0.006903308478266699,-0.0014630446009942036,,-0.019379996946959535,0.05134739723250795,,-0.06267962409052862,
TAC1,0.29675403890847485,0.02033580969183639,0.07453842437142517,0.09058507941889002,0.08025926711374608,-0.06701872271322785,0.15930209724971126,0.15516597564274684,0.0180637761429011,0.10087842885688322,0.0377705289268658,0.06745269853362301,0.0046113897955291265,0.15666581005572297,0.13264114641441332
RARRES2,-0.03401819691169773,0.03284618863992902,-0.015593397805618126,-0.039993540278644296,-0.12296170132341983,0.03235325690576345,-0.1776070382371863,0.06889442021967403,0.02492860350373123,-0.11601767301535382,-0.02989581136542125,0.030681434990442506,0.0075859118252685894,-0.0975557166727508,-0.033505174188030847
FGF7,0.04317247131274907,,-0.021373543662881498,-0.00021278501412945523,0.07558241334433008,0.05371368324130456,-0.05845483560215378,0.017194764211617204,-0.026757830980296854,-0.024791788366134663,-0.03762504687982104,0.003839436343510163,0.050809060026954955,0.01552516907526511,0.06036997308366758
HBEGF,-0.04289346936772738,-0.004908126591802199,-0.021451951122607105,0.033827339637401414,-0.03647051006606529,0.13045379268328383,-0.11569937642470977,-0.11143715132009847,0.05400931231389174,-0.17604926562804504,0.010272738044092355,-0.01635745301381952,0.09587995002908942,-0.06633673031697541,-0.0496151598585224
CSF3,-0.03277161749335989,,,0.07369668357140413,-0.09501795981779566,,-0.02170084038053501,,,,,-0.031747014049485316,-0.055058150805000955,-0.038265452745187827,
PI3,-0.03882286785671041,0.040873231409489084,,-0.08723766218395133,-0.061406950681462395,,-0.024435432688573167,,,,,-0.027434568289615872,,-0.04387334095639625,
PCSK1N,0.21485791900993667,-0.06046750690107796,-0.0013309942332198775,0.07858814179872689,-0.01770766407365012,-0.015162004496261624,0.10820404144587639,-0.10254021326373614,-0.0033615224817364793,0.2415566991083515,0.10382637452000401,0.025093264998360523,0.06804139441407753,0.19571955377423134,0.1455979627620773
NTS,,,,,-0.030485591737348314,0.05131402636237404,-0.026672943251384123,-0.03152929809040044,0.029977685841279102,-0.05697734802084832,,0.10943395045917113,,,
SFRP1,0.10508422161656328,0.06056412820426845,-0.018213387768520106,,0.01825407074184372,0.05013180857102215,-0.009104992641845173,0.019633729526245855,0.03543518692784123,-0.08807880171750751,-0.028726926451713618,-0.0025370172409748004,-0.020886883953947055,0.03222557637824021,0.0003039152715712553
CXCL13,,,0.03354507170877058,-0.023113794931442794,0.0023423126853636908,,,,,,,0.11873376952557109,,-0.016321505389265238,
MICA,-0.08626635940786404,-0.015656239390492564,0.015685268623208074,-0.06868056368596476,-0.0411059438784341,-0.006080421218474631,-0.07031599661243225,-0.011852232069815713,0.021780330072645855,-0.06665958692512731,-0.0436569612829118,-0.027234739685613078,-0.04234895187683146,-0.039269734659719925,0.055216362170673626
TG,-0.02612420987846975,-0.019873271133371843,0.07291123968501861,,0.04100430935769075,0.059977397743407775,0.03394227576970622,-0.026632850783526583,-0.02021730199306504,,-0.020446253389249106,-0.026128280405783567,,0.09820995907364756,
ADA,0.08900211946736619,0.013284034943372753,-0.03714042805041398,-0.0005092941599081725,0.08756517239981455,0.11350800215495194,-0.13461531637870827,0.025474210814154512,-0.03283452431324606,-0.11411051036136227,-0.007423929602656873,-0.07533314456155363,0.05906985680222898,0.007476371138607462,0.06748798936127282
LAMC3,0.04359469530462049,0.026528192651438406,0.054241924139814726,0.055315075220054945,0.04155132535191936,0.1447000136917352,-0.10948914857226344,-0.023063792617622793,0.05423516085420326,-0.07120479029921996,0.08507249395579199,-0.013926820843281116,-0.05870287457184163,0.022756639685312205,-0.042546521142628455
CCL7,,0.06960731311866179,,,-0.004878477301545371,,,,,,,,,-0.08355596063892491,
