,UKF269,UKF296,UKF334,ZH1019T1,ZH8812bulk,ZH916T1,ZH916inf
IGFL3,-0.014158629793344923,,,,-0.01799641477845912,-0.017325834350753754,
BMP1,0.04206680291308375,-0.05289605718257441,0.006247926723765189,-0.04954489364386767,0.0008102078136163998,0.05041921844573699,-0.12082960624654378
NDP,-0.04135918744513867,-0.06411655425496002,0.0017623905723958505,0.053965087637311,0.011537030553292948,0.012144421610524687,0.05922360773885716
TNFSF18,0.05091898138963968,,,0.03392142584404391,-0.018559384905649724,0.040621982116737926,
IL36G,,,0.011739809995155526,,,,
RTN4,-0.018225554794591946,0.046738573546336516,0.0155213212585758,0.07519166564593645,0.009684074719732578,-0.013900615346700056,-0.026722291884247077
HEBP1,-0.02765777407349075,0.018931291294977177,-0.02594925991508662,-0.013551970068755642,0.011532320682912416,0.057514456513005525,0.03902763842198307
WNT7B,0.015206906777588913,-0.013194807193713565,-0.01467296639883578,,0.042879554246567975,0.04349264217506244,0.01112321502685393
PTMA,-0.022289073704228734,-0.0016734725186937686,-0.02737452624772939,0.03657845954823307,0.01864158360178889,-0.02407744877883842,-0.00027779547583415377
FASLG,,,,,,-0.015026690221614928,
CEACAM1,-0.0005737093064975784,,,-0.03908445855276946,-0.02666789848340883,-0.020907432424309844,
PDAP1,0.03991463847802478,-0.023322191836417382,0.058214138855499115,-0.048139514747884436,0.009023555788335538,0.004489224870800356,-0.09250913676194501
QDPR,-0.07992648938964439,-0.01998046514047625,0.03569414398962338,0.08370089520830996,0.07985817495100296,-0.008674635172053757,-0.02388198607099347
POMC,-0.03566544022658057,-0.019596550163054456,0.08486088563342808,-0.01828753574873502,0.0048754430671901165,0.040097233222324974,-0.04597746436600922
CCL17,,0.0015862458293298728,0.04298599492318032,,-0.0021052325719972944,-0.013620006893774583,
VEGFD,0.008722988235523307,-0.011979332532655627,-0.013070208735904353,0.019851233997376684,-0.0250249077604715,,
TNFSF13,,,,,-0.004526481517803722,0.07209417799031763,
WNT5A,0.0625895056649598,-0.025687123966698297,0.0027617524718116064,0.03277632593202189,0.08348830481655528,0.06560521956802094,0.08311130416583153
CXCL8,0.028144397514864816,-0.011155675333104196,0.0004949207118432707,-0.10749915176298643,-0.03368749914558138,0.01225638495423232,0.03076441765911617
GRN,0.027724289715649338,0.049515112499789196,-0.015367081233185673,-0.04808813102961275,0.013672796777991316,0.0013497697884647809,0.08622495922088431
MIA,0.07441427821003453,-0.013623967931955097,0.0008103097377488486,0.03713780883516477,-0.004454334620968992,0.05671714111866825,
COL4A4,-0.013952278734678662,-0.010637819931279123,0.02147077851294355,0.1432313393891141,0.03323737817271703,0.04671340948534142,
TAC1,-0.005438733373108199,0.027829919082667336,0.036168256761079036,,,0.14261780393165072,-0.0366634009537233
RARRES2,0.003545661242921865,-0.029380162698894634,-0.019789501987016612,0.020854459238082174,-0.03464927542426373,-0.02836008113167841,0.15732144529471356
FGF7,-0.009425811166517917,0.04570813540396903,0.04648684946387671,0.12381792479418754,0.0023731531265947774,0.09256284498018764,-0.08200107766941792
HBEGF,-0.06584493427746846,-0.011071044213523234,-0.01588360955864208,0.07224223203037915,0.009724926615939674,-0.007773469822374087,0.1338922409136972
CSF3,-0.01476124235327192,,,,,-0.014339766125086957,
PI3,-0.016621353717095024,,,,0.0054587369820852235,-0.031155547869545823,
PCSK1N,-0.005350757297544602,0.037923409643927375,0.06455850250369032,-0.004262264089403259,-0.027506238871297807,-0.002660765219916309,0.060092506819641484
NTS,-0.018143342502159952,8.773511195235044e-05,,,,-0.021235238243286502,
SFRP1,0.0417421847238945,-0.016331472596931813,-0.014639369282731986,-0.03639858163146463,0.06471968968855626,-0.0012981309906989994,-0.04663611140208185
MICA,-0.01101385222778951,-0.026468809771205266,-0.02297803784208947,0.04371884465150844,-0.04119842226083779,0.05758375620787391,0.1626768650318504
TG,0.026632110050585526,-0.011819015677974398,0.05876930921647337,-0.02086760800925199,,0.0022670494416458745,
ADA,0.023990201587435773,-0.019195031946903873,0.02231109050698436,-0.055825628644315624,0.019605874286439926,0.05186581168308492,0.004198328545463385
LAMC3,0.08744429825345555,-0.02321948312934933,0.044619711862565754,0.012310030779597822,-0.022965915557473956,0.03236483209007753,0.049220961786873
CCL7,,,,,,-0.01502668487830325,
NGF,,,,0.006229018179258355,,0.04429549482347047,
TNFSF15,,,,-0.04296585671437836,,-0.018262402267206632,
HMGB1,0.04843126045114478,0.018617407840468093,0.0292749052774555,-0.08769277429604047,-0.01124625459092644,-0.03395595764569202,-0.06800493920628954
ITGB3BP,0.010549959975807998,0.0036841591134415637,-0.009717400102694446,-0.003238262995081516,-0.04252710308386661,0.023939063130726933,0.05343443371603899
AANAT,0.015602364581270827,-0.01362396868975498,-0.016358988660802237,,-0.02934982640055467,-0.01589885924673533,
RELN,-0.007223804737218871,-0.02872966264200736,-0.01811081244972968,-0.026547655107486995,-0.036703767644454335,,0.0008530362006489981
IL15,-0.03473105032613497,0.019200076804663565,0.007430346801016263,0.005456305145419093,-0.02149717617520584,0.03834991125813461,
UTS2,0.12491117906364754,,,,,,
BSG,0.012154459817922243,0.07060599779820462,-0.059533959840252004,0.07591234031354749,-0.02461731545949185,-0.002160258858641443,-0.0060842014761272245
ADAMTS3,0.0479039912692014,-0.03196498633593418,-0.025211309463840325,,-0.04547562446256612,0.039865801580877915,
CD34,0.024464326783029466,0.05902714409412641,0.020421736328169068,-0.022504376800994378,-0.014605067184501976,0.03907364061262315,-0.08160100309714058
CCL23,0.11163817134450374,,,,,,
PLAT,0.06117010971568974,0.0222768125335431,0.002425409435424527,-0.03269401180833357,-0.03358959452465058,0.017217568373702207,-0.01635026809130386
NTF3,,-0.021992335524612442,,,,,
LTA,,,-0.015172207755601916,,,-0.021397468530512703,
CKLF,0.04949858578712241,0.03558957863263663,0.002578814201949362,-0.09531989156696026,-0.05028892576719533,0.020277383423982883,-0.028235349044650603
