,UKF243,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.013865688219195265
BMP1,0.0029092477781469585,0.15614545238800392,0.11077260234641456,0.06390420777609301,0.06930151126644195,-0.03296776580408933,-0.01904481988297526,-0.03655787518256152,0.058465840537919395
NDP,0.02105021319043436,-0.009753864615105521,0.0886897513749838,-0.0983519017822967,-0.02452412642902152,-0.023872997949181376,-0.02414010320342311,-0.017656199111499397,0.06936083927538376
TNFSF18,-0.02335742084189645,-0.0252577245950281,,0.11943189723766266,,,,,0.013036543901312193
RTN4,-0.0364277165278124,-0.06492509159341348,-0.03920521432714683,-0.037470080501030734,-0.0897898812658184,-0.03527587663088174,0.020245344401092463,0.048951069556551284,-0.0464092876974506
HEBP1,0.04300901257797466,0.010209186703008542,0.07130918960606508,-0.005108967588801848,0.0013908064208070063,0.018999676101688553,-0.04717158023056062,0.002618099975896091,0.051279487134191996
WNT7B,-0.054516479889997076,-0.027806289488564614,-0.07271810619312843,,0.14666329281558188,0.04126971620712746,-0.030854027996856884,-0.003106776438913331,0.09953857131655121
PTMA,-0.04539991378686609,-0.027503523772808437,-0.06264994638564005,0.021126189116809656,-0.08567487936133486,0.03466806802409748,0.04518035262600561,0.0033251765250410215,-0.036504274237904664
FASLG,,,,,,,,,-0.024546118075642567
CEACAM1,,,-0.0743775690594193,0.08339339804870914,0.07379038017359042,-0.020334243620936672,0.15056893400793042,-0.019238777950142713,-0.008796023523803228
PDAP1,0.027186358517774407,-0.058522240978740925,0.006676660566799978,-0.01929051743743376,-0.019399210783285156,-0.002991722432834669,-0.06979950903793329,-0.0553964634062461,0.01955334855464471
QDPR,-0.08010898089215351,0.06457198328792238,0.07083384708275914,-0.017805956161421835,-0.14213131232789494,-0.05165810731858848,-0.0012245541189298814,0.04419566100542911,0.03845585649852566
POMC,-0.017180851368854496,-0.009189820876980984,-0.04457879334495498,-0.055636827173316125,0.08133502921734329,-0.019625751491815096,-0.03501628119668999,-0.019949261808734013,-0.03998865654726232
CCL18,-0.012212499786051833,,0.015477678157773667,,-0.019964883929448833,0.08612615217408381,-0.036500414757757824,-0.022337586685396284,
CCL17,,,,,,-0.01442616164399801,-0.021577423844047493,,-0.022248299024941718
VEGFD,-0.001958772690380709,,-0.03980647330271781,-0.022560627562098586,,,-0.014947340116727926,,
TNFSF13,,,,,,-0.011463999509679813,-0.023453922009828678,-0.021603858206336906,0.04448556694604484
WNT5A,-0.06750046263488867,-0.04736902930982033,-0.0009426407511628382,-0.06548677070081792,0.06586336452635175,0.00936408615403987,-0.04167953042445493,0.09941521344257745,0.024970989411600225
