,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.043348273034100056,,,,,,,,,-0.028517951063859154,,-0.03690610464174336,
BMP1,0.019870848317139714,0.05310168279487267,0.028973981462790902,0.013885271927998698,0.0752310506703597,0.04558187735841488,0.005814538067204851,0.03511101553339966,0.18379938934375545,0.0030643462244828285,-0.004349719621268025,0.040821817186663306,-0.08237353579536584,-0.0031740425013953685,-0.025243152777239642,-0.01462124258498726,0.03348750156519514,-0.02213400481159682,-0.11897121404777468,-0.04273450938882405,0.0482978990335144
NDP,0.02593271864251647,0.11609293102434848,-0.030723028525185905,0.04439531764402443,0.04905239258140189,-0.0010774610369273336,0.052812938290481164,0.0302341452461921,0.0502562676675694,0.016561738778807036,-0.027555740693235114,-0.011170031297686437,-0.030890376393374705,-0.03624884775391384,0.08367867866305852,0.018015253538822933,0.0652640619901428,0.007167171248204607,0.061825434225022166,0.21221198205373717,0.08661570830512008
TNFSF18,0.0848849561434062,0.05980784884068927,-0.032353948442070075,0.08815406853136426,,,,-0.016828656665941622,0.0688946130610807,-0.0502341503160147,,,,-0.03359536293558994,,,,-0.029410059560761165,,0.04781179896291435,0.032541823909711505
IL36G,,,,,,,,,,,,,-0.01250636904625804,,,,,,,,
RTN4,-0.03233076174970775,-0.039093513427107575,0.025947891971447198,0.009963369051680842,0.019218336153483215,0.001822754838204795,-0.018131676836612525,0.048152108330889065,-0.2833047098932485,0.027690268118070287,-0.061467261994286836,-0.017588441515856132,0.09913149232064795,0.06254368626015629,-0.05107738098392946,-0.024654382556078512,0.02912877424842683,-0.08842423172853416,-0.009313403665678977,-0.08125201348901674,-0.08543363466884282
HEBP1,-0.07376063253911716,0.10756229040307531,0.0289624427566299,0.00017221176792360426,-0.0063108627213878605,-0.0035239869154860756,0.046079978709300876,0.005994927942457356,0.08597739234030399,-0.0031764278595136793,0.08433408298513605,0.008880643552028411,0.014966185299955187,0.04073547747732393,0.07215200810247177,0.01231261502838035,0.042891488683361574,-0.03421096632510669,0.04940467112486019,0.13966316295136677,0.03794549931541474
WNT7B,-0.019736372663612257,-0.024296806295970183,-0.05509620692789357,-0.022011066969229935,0.02976648393669357,0.0017872483386273735,-0.0355926823637406,-0.008050110415867107,-0.06379313348283369,-0.022643242415464046,-0.012912905740392078,,0.05830883821928366,,-0.013717712680644789,-0.035377431573811534,-0.04493581691021473,-0.026292044021137762,0.1386496608419932,0.02619446914601106,0.09673746157796244
PTMA,0.01808651567417701,-0.14106419919090504,-0.037291649233834455,0.022136458339222845,0.04654258677706399,-0.059834888620386585,-0.05792037296601927,-0.002847690044617478,-0.14558987990127703,0.04017345524166396,0.07998573171801156,0.04600746262015627,-0.0885231140854877,0.0015906877679717536,-0.08200223231697888,-0.05988541885614014,0.04789004117918521,-0.05323683555915711,0.03942166884946046,-0.12354820812702118,-0.09599764308949768
FASLG,-0.01973637824303425,,,,,,,,,,,,,,,,,,,-0.03200865196508449,
CEACAM1,0.11436661556350829,,-0.013360624734411929,0.02280788004585132,,-0.0029469487859924543,0.05165159667813298,,0.0678526320174301,0.05260572008594711,,,,-0.011231293875389783,-0.04788367612842289,-0.01982371979177676,0.05505878926643832,0.04887300272457389,-0.01822827754273522,0.023678434391948004,
PDAP1,0.050962285721680774,-0.016359195021543503,0.049416249466847015,-0.00014091189800283615,-0.027204292966660413,0.096640175708694,0.012099660947906295,0.04773993187015981,0.2075736015576608,0.004756283457801981,0.07616710126127989,0.05075703932075974,-0.07308771450224041,-0.014396997573796474,-0.03811298729780256,0.003486039370894257,-0.03901324105385861,0.02984874874310193,0.015530449267255358,0.05589124283832328,0.0031259784848014557
QDPR,-0.01614342035773736,-0.019914182192960345,0.05282905964201603,0.01965648934950605,0.00040906724134919637,-0.038055085052757974,0.012855042439958504,0.06475487574294246,-0.24100630877292742,0.08422638212614589,-0.0007239057116723306,0.012095661985856706,0.03506764123692741,0.0015786833167620352,-0.04593559237433248,-0.009420278969290203,0.009388880867413778,0.026002097761568373,0.060496389249442936,0.10730797926856026,0.04607210388408564
POMC,0.07762404847897368,0.027361259233298973,-0.0021327882809286597,-0.00852646564772241,,0.01680380258097259,-0.01597699545276576,-0.035924692558782376,0.011783820479882107,0.05375785511844778,0.016657318489986164,0.026389720265253543,0.027341976589740587,0.09895893231464223,0.027442194737677485,0.038324859385875196,0.06186470825953969,0.05154646873019015,0.021391860039087395,-0.008954120369159886,0.05615281045941037
CCL18,,-0.02352315003472379,0.02143722194097061,,,,,,,,,0.06848222956611369,,,-0.03395031365820845,-0.024032699001051164,0.025407147164506212,,-0.026855146646538233,,
CCL17,,,,,,-0.027553637168974115,,,,0.019162513247866334,0.0035492343199765354,,-0.01142492317945356,,,-0.01406396969725696,0.008663450915819321,-0.03759927113771041,,-0.029012247806758165,
VEGFD,,-0.011160528941955922,-0.022001696732057652,0.0037508444590584715,,-0.03463004635008738,0.0272428924339597,,0.14906251677466337,0.05218733732120198,0.02388228995381479,-0.00248361178671224,-0.01224444403941348,0.05850875768156005,,,-0.021769311250006557,0.0640809395709134,,,
TNFSF13,,,-0.024765960340865714,,,-0.006884281892850248,,0.07415700833989507,,,,,,,,-0.026986645408378713,0.02963775069455322,0.009819360841641981,-0.020469133975117466,0.03200612735953294,-0.0033748261630700297
