,UKF243,UKF255,UKF260,UKF266,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.13523180611867688,,,,,,0.10034543362999748,
BMP1,0.002298129794585857,-0.0047908492340574815,-0.06034352084934225,0.02292673445477448,0.04176289934548092,0.013577140205803449,0.052418076763343736,-0.08727420555958136,0.04736967310669126,0.008423637321519115,0.018273613916972565,-0.007870684490426477
NDP,0.06694604644423352,-0.000326470287841298,0.02366642239141419,0.03552863722040112,0.06914419263747261,-0.015421748777977957,0.004116148977082686,-0.007494577272441268,0.035552389909012265,0.0029968359032226527,0.05385452039660703,-0.06474240046368221
TNFSF18,0.030459377885787637,,,-0.013633036310185932,0.07337944506813629,-0.011674764661574738,0.1435907276774519,,,,0.061358694097852357,-0.02430873417830757
RTN4,0.026259895387200298,-0.0316899675432418,-0.051021081000531224,0.06022459984332819,-0.05642460003402086,0.045082268474949394,-0.12565572748358525,-0.012950529823673352,0.0029768797316392817,-0.029664830465771744,0.06426704285556058,-0.019831364101418773
HEBP1,-0.01484966515954227,0.0025847215992830207,0.006507954451380027,-0.026391814927224807,0.01801877627628104,-0.05601936665655179,-0.0938866533897128,-0.011672744966282723,0.03374624856214142,-0.03978943323874736,0.07076449832202815,0.06917858370436769
WNT7B,0.02175728489523419,0.026160290182067333,0.05225281494799811,-0.010406761678415147,-0.0010470659524258606,0.03751217164069151,,-0.03491355646847413,-0.016836785360937554,-0.0178287146761194,0.035275730559442005,0.0008899011529698686
PTMA,0.00915704638058348,0.0421339067563499,0.06108625965461303,-0.06278030359686129,-0.04796365954938735,-0.008586058611497424,0.002433291023360437,0.046642895888974786,0.012532419023852551,0.007219190679501474,-0.10987906619995022,-0.02742244607027013
FASLG,,,,,,,,,,,0.03329182733666059,
CEACAM1,,,0.01727678395685099,,0.020017191025743192,-0.01836162348633581,0.11583742431983854,-0.019563787691070027,-0.015175139741925416,-0.019932161798267185,0.06209178970976972,
PDAP1,0.03565569302250259,0.0635220629840875,0.03958448969601101,-0.0512232400572765,0.07465821922439769,0.031037404577497707,0.08078140352348405,-0.04699262281432328,-0.05358463479975594,0.06282991671778436,-0.008554594407702244,0.038123516859380015
QDPR,0.060210964934807695,0.026550843924428504,0.03787479706050079,0.01897236199868339,-0.045979967864348666,-0.006917898473815159,0.013650814406291678,0.06955448644974128,0.06640025861350093,0.038265213603349446,0.053148911551347586,0.01140974386658418
POMC,-0.04082333944523599,,0.008558171347043841,-0.03596669943898227,-0.026861047274323164,-0.013546473694648937,0.014785998742318814,-0.018315542676380137,0.024766790813945967,0.013277670678523005,-0.008965076288073465,-0.05819561120603751
CCL18,-0.04778931744611938,,,,,,,-0.03580149149361446,-0.03705668635768381,-0.04182847570944645,,
CCL17,,,,,,0.004850223156929001,,-0.013879560452872856,0.11330514256215085,,0.044017927666178,
VEGFD,0.07684968213723509,,0.05732648861797098,,0.06096554915699319,-0.015513199125871216,-0.044579303012378516,,-0.015175139741925416,,,
TNFSF13,,,,-0.01322120120907531,,,,-0.026632791767099064,0.04660948431998383,-0.005243711041940444,0.0888290523258596,-0.026444435395783682
WNT5A,0.0012228382903950786,0.0254054581966439,0.026010809783685113,-0.035697185219024354,0.008511742756531101,0.024264336962493433,-0.05889978284032435,-0.03975290041160316,0.046315446296114574,0.049277794686313735,0.002952047495386212,-0.011068906302668458
CXCL8,-0.06316558492305913,-0.028070766674854104,0.04289788976109521,-0.018806301203963274,0.08239743994665549,-0.02410216735598357,0.02105511712671143,-0.10716232924634406,-0.06410432199175806,0.019268247058842718,-0.026500325639847968,-0.0014551757135259546
GRN,-0.05420940966135299,-0.01757831159443718,-0.0450001161551134,0.03571274991875975,0.038177488657391255,0.0604372763697616,0.14061636629298427,-0.04446976124474525,0.008363590483100453,0.023701986463673858,-0.006195327187901614,-0.05777608967313483
MIA,0.007688956450955772,0.03864795075160677,0.04547424559041818,-0.023906481642905566,0.0064194289150323255,0.06438834684974645,-0.009825261502171676,0.07449981088801465,0.027584365510556923,0.05479253215891846,0.04859837657825803,0.027975270365764922
COL4A4,-0.05420397953546883,0.008977127862487907,-0.0031791907209397547,-0.012579388832267623,-0.01758575023370835,0.00351984650034053,-0.03490647221380264,-0.03667372442029381,-0.024297771495172312,-0.04017019521625772,-0.023102250900016264,-0.029555660714268704
TAC1,0.14443171942297026,0.06448197477592686,-0.0028549604951950826,0.054356999583536625,-0.032103452354581175,0.023540125896183442,,,,-0.02374204070910616,0.05426398551892172,0.03381173412828037
RARRES2,0.0010819363793844944,-0.043014982429428916,0.0277992845699672,-0.01633144354703197,0.018666582813445173,-0.003565293073496793,-0.06346577628188738,-0.04094219046706998,-0.0013353055886815364,-0.01949354040255987,0.005822900122200452,0.004201620615085446
FGF7,0.028509781605810375,0.023732707473313183,0.0033024323084807814,-0.03605464387140409,-0.04253647712737775,0.001118925372373179,-0.043005873029079364,-0.038639411325743014,0.018824408085976616,-0.08561247320958446,0.07722720564728221,0.027335906664613354
EFNA2,,,,,,,,,-0.014422954757651981,,,
HBEGF,-0.005516201267613147,0.06062931169904138,0.04721207369087203,-0.0051296756909854895,0.12279262516050547,-0.008022735431504386,0.034182744069621296,-0.02953044411507824,-0.021798262838066393,0.006196639618825131,-0.027281490509857557,-0.021384021825945433
