,UKF255,UKF259,UKF266,UKF269,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH916bulk
IGFL3,,,,-0.013794945260889284,,,,,
BMP1,0.01691502730297392,0.018920534910114143,0.0002248262028004985,-0.04943117002115955,0.00875213044643995,0.005433463219763047,-0.11206434949192713,0.014398331080494084,-0.0696522251770434
NDP,0.05088824077080024,0.02782336284853834,-0.048444556411842615,-1.891562639289169e-05,-0.029744159789225937,-0.055449483896688606,-0.07022002011298852,0.01694155903563003,-0.002928492578424465
TNFSF18,,,-0.019666595493886354,-0.020485079576815286,,,,,-0.03441678154049612
IL36G,,,,,,,-0.015263920936310698,,
RTN4,0.06275559923396909,0.02742814092241187,0.043122978004230365,0.03469154497824535,0.03803447652355067,0.1423928587407009,0.1324719218959912,-0.05983175984637424,0.05378578669149488
HEBP1,-0.02794836227335102,-0.02834559529024572,0.000996412122221062,-0.0061063372241806,-0.050851206795651804,-0.06140700719686023,0.01619352433143338,0.03601484435242767,0.031594539791138736
WNT7B,0.03064089649009436,-0.024342217304494505,-0.06175912997866295,0.05161537621813541,-0.012182919066024495,,0.06424142394685894,0.02127456657062603,0.048674463895348456
PTMA,0.032612350643817116,-0.039591401059309445,-0.023352764109185544,0.03224381205735425,-0.07793895633411663,-0.17601257488428315,-0.10590829214014423,-0.04279780563470261,-0.0611535643394561
CEACAM1,,-0.02810828218018593,,0.03096514762783062,,,,0.010988300287998016,
PDAP1,-0.05115160650683409,0.019008752406886754,0.004827707014334168,-0.05363278545683777,0.00035949556394188244,0.014356834381223055,-0.09188285452947484,0.0022352162026510925,0.04898875803830701
QDPR,0.027746912061184858,0.012673957723010417,0.04273153964784932,0.021394063330646588,0.06746360458332369,-0.14563961229266714,0.03751557166359734,0.01885008652595099,0.05405797503901858
POMC,,0.042960179244775694,-0.004460792622854624,0.014369109507823755,0.011797626062923026,-0.01332056343343403,0.03393523860930909,-0.0009353178789889776,0.0025286234882555894
CCL18,,,,,,-0.07511304061273001,,-0.03760516688242778,
CCL17,,-0.016291908006715615,,,0.061016034151835714,,-0.013944025117888278,-0.02223050422669024,
VEGFD,,-0.018150984630328326,,0.010717118431511503,-0.011060657163665857,0.01884869799340604,-0.014944243611826637,-0.015399748832127795,
TNFSF13,,-0.01123779351936448,-0.019072494945817326,,,,,0.02777727075414134,-0.03744054911714105
WNT5A,0.04081147997311676,0.021087009027630346,-0.02083465547768091,-0.055053306617491776,-0.020219302752679778,0.025246739845163874,0.0005877879159133598,0.060041541360702125,-0.004297675860774137
CXCL8,-0.04653261313176633,-0.039504414538805585,0.040338913660939175,0.008145043717843792,0.0174110585699808,-0.05584820627912076,-0.04493162233462751,-0.07004348946177757,-0.06406635362543259
GRN,0.054050019637657765,-0.023617326543851562,0.008095512078018804,-0.07810563588886753,0.017873814953899402,-0.1452566816168295,0.003368547525168788,0.05034689876265074,0.013181716758653147
