,UKF243,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,,-0.013231782459339776,,,,,-0.018807318070747616
BMP1,0.07077675130802133,-0.060035559003649666,-0.016779139537937852,0.058871987328158765,0.0482877039654493,-0.0025765474539425856,-0.0009028727038224066,0.13431666435643497,0.069109928040516
NDP,0.07760843332245378,-0.039166084579083875,-0.016457246249022135,0.011673960748416158,0.04327619639950055,0.016440657882979288,-0.07023030590596106,0.03607896505409874,0.020516290690198304
TNFSF18,0.09602167097370651,,,-0.01964879972312486,-0.010492886331704632,,0.05456978422170518,,0.01913662487379324
RTN4,-0.05559480797373048,-0.029965072505735785,-0.00988500245661676,-0.06497266579401202,0.0039420989183833405,-0.022250402414489962,-0.005933576793642288,-0.045474450914376775,0.06914071241048694
HEBP1,0.02760656110334116,0.004887738906546206,-0.03513664270756827,0.06775196057938818,0.07097468278094035,0.007944234322134817,-0.03996306989514554,0.015865669384127732,0.023584421606175066
WNT7B,0.02012036943806074,0.13535319968843637,-0.04718073764055366,-0.05476593893877041,-0.0017686808631797084,0.004028476591942244,,-0.04724480113984513,0.0666426967735218
PTMA,-0.059945157136601396,0.022458839999460585,-0.0039513350213073225,-0.007282026295228019,0.022188589993254366,0.03188993696191745,0.018585963114387337,-0.08598484882227397,-0.026683774234768812
FASLG,,,,,,,,,-0.01631158054655013
CEACAM1,,0.016046912012607377,-0.01859062340866421,-0.02585670132367911,-0.0165028104370964,,0.056967574069976316,-0.042369894398645046,0.05052493230160342
PDAP1,0.034059687807397813,-0.053068557719367984,-0.042016765971450945,0.07288016223686976,-0.010307808485176739,0.012324817914910038,0.038437281015701895,0.013693115655676656,-0.0028591687455331184
QDPR,0.04689611167053298,-0.0024709426768858467,-0.04074054093029134,-0.04745091063344505,0.05422531918121531,-0.04447340897546637,0.07112572688261792,-0.07432202356738442,0.007021613572677646
POMC,0.062047834727411655,-0.008935485387335742,0.03786756578734722,0.016024481002171652,-0.012175115541404461,-0.038186182212466675,0.06467908337112777,0.06805648386112836,0.06883062886840689
CCL18,-0.026650772344767967,,,,,,,-0.030040951756528104,
CCL17,,0.04847485033973046,,,-0.013086672157854598,0.03507080034471952,,,-0.014784615654936694
VEGFD,-0.030027630818117945,0.008581982307767955,-0.017786455910546405,-0.004912406501751786,0.02500218545182804,0.051007180085450785,-0.0015596204886963536,,
TNFSF13,,0.08039276762583764,,,,,,,0.009748101585189543
WNT5A,0.07672772854792172,-0.03997001924131108,0.014249397262867938,-0.004399355389681219,0.03825866753006838,0.07020680611702977,-0.01703332713006365,-0.0010524138377946673,0.00483204243634841
CXCL8,-0.07280622847275864,0.06142712835152233,-0.057922557404156534,-0.04407611079346446,0.07491903183339221,-0.019010169932431206,0.05083545263339994,-0.05289182531194139,0.014572761718661325
GRN,-0.041340230828444444,0.03233245678655233,0.018282939764841653,0.06290196526921607,-0.011180057964762517,-0.004500936620412004,0.08000460616707555,-0.008518793443407448,0.004671835225867533
MIA,-0.01457188373784757,0.06422311197332169,-0.006331149961263217,0.062420312066311545,0.02126151372749564,0.06325571193104237,-0.007946739724249896,0.10882044125441846,0.08723214622381034
COL4A4,-0.009998702983696964,0.04171646286854895,-0.026696965895804493,-0.013038939482414861,0.026772262213540413,0.08508521448896546,0.07199706469950723,0.05506056518240502,0.0400017247618959
TAC1,-0.0062180759035753074,-0.07267192097692902,0.030121725702850842,-0.06049867203247354,-0.002550551703783967,-0.027780896554684416,,,0.06617109487567621
RARRES2,0.06313196619813395,-0.006477224848145542,0.009961361154546123,0.09051200889549492,0.029432660556053106,0.013639171348756139,-0.035236982637303405,0.007855376618215679,-0.006166147509394293
FGF7,-0.039317275499090504,-0.011862523324177136,-0.034055890269775076,0.05043147705731565,0.00474033080514361,0.04243265098430092,0.06893867733185292,0.028468583725755652,-0.004915771092752257
HBEGF,-0.05171040519842539,0.024914225281201713,0.011958027759768727,0.051041902588180164,0.0047144144627913305,0.01024880193186337,0.0963954613676598,-0.01069465067593582,-0.030804947490724106
CSF3,-0.030228026937867292,0.06150282236897758,-0.05925978413160435,-0.013794947003974442,,,,,-0.015565919488483947
PI3,-0.03580960554100463,0.07006715967101078,-0.04741680569675685,-0.015533292400067922,,,,,-0.02110391888323868
PCSK1N,0.024410082783210708,-0.07306083486768561,-0.02373346123400399,-0.05855069139898001,-0.0068005108693624215,-0.044910689887582685,0.06353817856974592,0.039612256645673,-0.035296054479613065
NTS,,,0.04414697205891944,-0.016955649280886987,0.002232665776279818,-0.004304511242847079,,,-0.023051004174711984
SFRP1,-0.032813929277574275,0.021788807717899657,0.12442832326544678,0.025810924196691714,-0.028981272339121518,-0.027830145647321128,0.1284095705998416,0.053541880414733824,-0.004603766212614803
CXCL13,,,-0.020108903729295576,,,,,,
MICA,0.023009401954888414,0.041603729995012724,-0.02700873661967217,0.055112513550396806,0.010060040371430757,0.008014366216905723,0.021710954975827475,0.048729857657269726,-0.00921630522585495
TG,0.023521646953867093,0.10116712181089864,0.07466758362066007,-0.01664926682781837,-0.013184326953647869,-0.020140555346355865,0.0385760311352038,0.009528641487613228,-0.030356512083065976
ADA,-0.003235319975433062,-0.040820333170176255,-0.014812391705590136,0.10085865959420046,-4.900177149123825e-05,0.005001752847925666,0.12273915728477697,0.03873308016844981,0.011029766827283636
LAMC3,0.012123172566447845,0.0028556517486419126,0.01918327432585211,0.08236663063497948,-0.002609795113219141,0.03269295488855135,0.05413336337315848,0.05078937678522074,0.028547643800698963
CCL7,,0.03453239874239999,-0.02666069369632277,,,,,,-0.01631157474634679
NGF,-0.01741522559586689,0.023512444355545014,-0.02845751564045697,,,,-0.010458582328375484,-0.04464275095046759,0.060625341790576014
TNFSF15,-0.0215448075415635,-0.013544717356691494,-0.019739487141757137,,,,0.05172197762495171,-0.04508540398282725,0.016912976759249538
HMGB1,0.04425081086446382,-0.02903708960996848,0.028917537983132912,0.016966747043045814,-0.03340339396377415,-0.0027124607542137018,-0.02998504893305043,-0.003021625092747637,0.016405475263824926
ITGB3BP,0.009391613593753135,0.026434050834271423,0.044814146155317904,0.08109514712596369,-0.022800121594966284,0.05387545867769403,0.06797641522425395,-0.027885328772548238,0.025204306090196336
AANAT,0.08580893530364642,-0.012324308844089131,0.0647064898950661,0.018497630569506,-0.011856742278862074,-0.023216340760456342,,-0.03128891051525543,-0.017258326309831633
RELN,-0.03002761523253479,-0.02139224018548145,-0.025493342001350384,-0.03651288536864908,0.02065083741916213,0.038871821901029814,0.06961397797358639,,
IL15,-0.030625572026482556,-0.015191809109687707,-0.018360103289131388,-0.03245749830367109,0.08393275468685238,-0.005391026855056788,-0.0339402321606092,-0.040021278089071285,0.02903123085336337
UTS2,,,,0.0393845398439757,,,,,
BSG,-0.022077194107362794,0.0017071580102998802,-0.058611884421924894,-0.008369815148579277,-0.018803209680986508,0.011467420357909314,0.06894507582490897,0.032663994679693345,-0.024987066947727194
ADAMTS3,-0.03718733902878197,0.012307582221227523,-0.023976709760380986,0.025418281160476557,0.023293581131578926,-0.013079372707319039,,-0.00039174836542288816,0.0400028658033887
CD34,-0.01692908472166173,0.006318627631436209,-0.0032167498258768054,-0.0033596622653639654,0.013223592650997217,-0.02928020092256107,0.08053598111526714,0.07632269631498938,0.05342977922676079
CCL23,,,,-0.014158631594259584,,,,,
PLAT,0.07362518413672801,-0.047733401159154996,-0.013433683772954575,0.10019989114155199,0.009905340791809786,-0.010506030643212028,0.10298221288268768,0.011154926038734407,0.08737250263467584
NTF3,,,,,,-0.021459386920736363,,,
LTA,,-0.015589711659246634,,,-0.011419278480337938,,,,-0.0054926378938439996
CKLF,0.001099125931333063,-0.03375636846887692,0.0056820348924270965,0.0710813140942541,0.00937366940265575,-0.031707646761392504,0.058315667878517816,0.09264755668882058,0.003903212452990223
CD24,-0.07463997946845316,0.06065918153584654,0.06323834451178967,-0.019274464105110148,0.04325888326452339,0.06688618123943121,-0.06644004931996221,0.06877941072359736,0.024443147751846157
