,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.028982659663400412,,,,,,,,-0.01731273124912156,,,0.03868964498063926,,
BMP1,-0.04861524890057828,-0.01639428353026392,0.003719548117604645,0.02303931172072352,0.046497429008999995,-0.05155021503338529,-0.047120516457348646,-0.03223800943033897,-0.3304069840991641,-0.11862444075079263,0.012772108123678067,-0.13714042929496562,-0.1763584513552628,-0.0071177328649531186,0.011758235998283503,-0.0896239739701902,-0.060115955451392415,-0.14141834558354738,-0.09626361761121166,0.02284355540138637,-0.028114297507421546,0.027193590917327877
NDP,-0.005659403122120233,-0.08136933897167009,0.04309411769232651,0.07875927264915568,0.028311510702427024,0.015568566367286658,0.13206655958539817,0.036810449145569774,-0.08842638538671328,0.041097079193455587,-0.04138549523910775,-0.07477396154826035,-0.024345952181241616,-0.029920727956877072,0.09167887344439575,0.10766292473726284,-0.01644717323284128,-0.039376637285864914,-0.04128597889947057,0.021761530269727797,0.02336601906691654,-0.0668197418111919
TNFSF18,0.040401195875463314,-0.03667380095361776,0.028211763651864775,-0.03173049076517241,,,,-0.03273542086558562,-0.06436499056112946,0.002659155569058504,,,,,,,-0.01785431414956687,,0.07380965035633585,0.06170459202533623,-0.053205511963172844,
IL36G,,,,,,,,,,,,,-0.03276176812178387,,,,,,,,,
RTN4,0.07584577412062211,0.30437391913018075,-0.0070364048284199095,0.06908168320282788,0.0067199073355816916,0.014418281152788606,0.18331938838224618,0.2636397877900053,0.4033602809366734,0.12913041360963123,-0.024065937881145232,0.38875560055826175,0.19296943406220635,0.056751276462344034,0.036454765475061955,-0.0001264305170755544,0.038956681012946845,0.16756309862326757,0.08604991326600527,0.07437028267883058,0.28327283844916346,0.08022164595281851
HEBP1,-0.03291999495714136,-0.07614184624704178,0.042966310520582834,0.01862250498683728,0.03640575057226442,-0.021098798967649962,-0.035100766644920185,-0.10788412476793913,-0.15533447695435076,0.013360594081026456,0.0426399875701997,-0.14492524474279017,0.06742757005552981,-0.024783709187239114,0.0417173404046321,0.06633416454667071,-0.05619721884753357,0.1421001792902661,-0.03723892138820248,0.09479994637906254,-0.04626765162902391,-0.09596349956736926
WNT7B,0.004863415744211235,0.3737357975779547,-0.04058756018674424,-0.029128396708115723,-0.009889626089433728,0.05215972333708131,0.14094814065235925,0.09987636202744768,0.2689841946475304,0.05293829850389531,-0.07736781191517857,,0.11918482846972697,0.09413508006252747,-0.031023178425545365,0.06633252074746135,-0.037334815263175856,0.021909677684527326,-0.009506168468515954,-0.003067498120402899,0.029792575392055994,0.026616968119988395
PTMA,-0.03158866753490858,-0.040313350962407436,0.10531213967045588,0.015573477239841146,0.12951555204349693,-0.03622914751278223,-0.19305125925518968,-0.2416440072479737,0.029136307774759996,0.07348659221970531,-0.004060181460521183,-0.4637302247578806,-0.18610026473195096,-0.07880571409391963,-0.04355834450545561,0.014269517880747333,0.08172668271180006,0.01892352322245268,0.032079183318218026,-0.05294838129998986,-0.06765118058499169,-0.2596383650753365
FASLG,-0.019520844539673503,,,,,,,,,,,,,,,,,,,-0.022769377635356747,,
CEACAM1,-0.0271048634836621,,-0.02675451708059443,0.014362993617194028,,0.0815824649454186,0.005997948658672113,,-0.06703804410465586,-0.011417148239974364,,,,-0.05903810625589264,0.11878649729735317,0.002450105683419227,-0.005344783969923037,-0.022361083855841554,,-0.0316802447667449,,
PDAP1,0.02196810406586562,-0.03824123764840777,-0.0029453458401126034,0.022247676384524233,0.03727415031146087,0.002984139754523768,-0.08748508933535473,-0.021790719823760067,-0.23856110057790395,0.0039848295023405065,0.07570927325824152,-0.06121302179941661,-0.12910666620913955,-0.011214437884225126,0.029669621983581577,-0.06530998711990749,-0.06276457559208527,0.07394588754798338,0.0009683070145119995,-0.010185175639112485,0.002589044432251952,0.08620832493524118
QDPR,0.03866037073586776,0.17856950935214072,0.05472589862338304,-0.025143133925077037,0.044885327263271456,0.055025031630849056,0.18759078649266636,0.03681171309486608,0.11708476582427092,0.04408868019454259,0.01816483265950414,-0.32322202570467606,0.04825263761381366,-0.0888371863052148,0.0954743647331719,0.16255969825506242,0.012293622285072529,0.023468819840649947,-0.03942588647393214,0.06445022670211059,0.20405031823765987,-0.0726188194329341
POMC,-0.047857439010513855,0.1129392938572731,0.033641464632937185,0.04258590507949901,,-0.03132515042497331,0.15558299964707967,0.008481582247931569,0.011175183510529327,-0.05062478496157759,0.04249582123312204,-0.10106516793747325,0.06868927636237625,0.046432927526113874,0.019793676341308967,0.05446520626313953,0.14270922770731642,0.05641489206494991,,-0.03417215964655093,0.0354575326462935,-0.03628062401261405
CCL18,,0.0027877068453205146,-0.011597088333236845,,,,,,,,,-0.08917395681813836,,-0.050622089609831354,-0.011802117305676211,-0.08247300939876585,,-0.04015745133180013,,,,
CCL17,,,,,,0.03295599064446981,,,,0.05807601310494865,-0.06142421190662436,,-0.02079540619995151,,0.019590926256581435,-0.03142943854552156,-0.0228258360817155,,,-0.0008492366773985751,,
VEGFD,,-0.034001649590413005,0.02821314576133131,0.03820232588884924,,0.031796743998891534,0.0037387684222928794,,-0.04163027735869071,0.011400535904717833,-0.03837457735702689,0.04522350080150138,0.001741684423685273,0.007361319469079394,,0.023828474378422837,0.016902192328532403,,,,,
TNFSF13,,,0.06305350696472042,,,-0.028448797489043564,,0.025219115185324853,,,,,,,0.03796555756366459,0.08732830837419472,-0.004046257702742802,0.027604912347058426,,-0.03362770839134659,0.0418173733689183,
WNT5A,0.055475262698242385,-0.07928959143434794,0.022605637083021865,-0.0166958383446859,0.11170429036771118,0.012531624094302743,-0.0837582215431662,-0.1328893605893505,-0.24618360492229655,0.0018086405882260079,-0.017654898043565175,0.09729199238225786,-0.057415984014694034,-0.007423157143181739,0.046403206128003034,-0.01375790932068056,0.06339766996073225,-0.012096250217360292,-0.027275262935289188,-0.023540307854226634,-0.08127337238553461,0.026330575868071193
CXCL8,,-0.10429116843580828,-0.023531012547165036,0.10118534504193412,-0.032451430438359206,-0.034107419804659006,-0.11828017993443378,-0.04025598927667799,-0.048960586204515766,-0.08584256933445976,-0.01831554603783216,-0.15625085951263631,0.007806034545904548,0.17886650264834705,-0.19399674146596674,-0.32169335938412685,0.06533465739819701,-0.11056027743581859,0.01198234469954735,-0.03881542408892754,-0.1697161517597215,0.03189908677422935
GRN,0.002895518284186524,-0.058955925905110125,0.010994237609382276,-0.048594882104420284,-0.066072702960246,-0.06955905199978571,-0.048601667686698526,-0.14290385060690086,-0.32597550674722836,0.0266668920037428,0.027300919366834757,-0.25039117483775486,-0.0004010326863992438,-0.018935732334745724,0.02335290448026711,-0.019083754650192644,-0.041765656733138576,-0.09362248486424521,0.04155440705555295,-0.04116045605152775,0.08447930602855785,-0.09652860659686648
MIA,0.08318503240430176,0.06966995898720009,-0.048961130027272516,0.005514978495388692,0.05878034224032212,-0.05090322266080818,-0.1151572701957256,-0.005943889547848567,-0.12246017437644378,-0.01725171467957004,-0.012762662167559518,,0.03213369890331809,-0.03593868633957212,0.15163068095352417,0.1778601484853481,0.016597993644054173,-0.09244747123477672,,0.016121215145727546,-0.07595310340038891,
