,MGH258,UKF259,UKF260,UKF266,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,,,-0.01687244234403491,
BMP1,0.121490370083064,-0.02895262023101515,-0.05775036716718136,-0.04591397790754408,-0.058537584576951816,0.0978414479619477,0.025789391925127896,0.005373685387686682,0.053002642680836376,0.14179318905900185
NDP,-0.04239792396619951,0.01586006200903565,0.06263214482916744,0.010879299954098106,-0.06841974990043273,0.08543342212355547,0.10763270467072113,-0.08808724507089309,0.003503848743503381,0.013434323367478017
TNFSF18,-0.022885149103990837,,,-0.01905496780272463,,0.005878093472828953,,0.05086266142298236,0.02965439717895365,-0.052489319205878356
IL36G,,,,,-0.015082908467691086,,,,,
RTN4,-0.04785084936599217,0.006884997097125535,0.032469725343297715,0.04637162671961456,0.06071100054978165,-0.021661763216514758,-0.09137868217084157,0.0366241592416565,-0.11172078216231077,0.032497873121876235
HEBP1,-0.030268056806343497,0.014738567568071577,0.010204296489905786,-0.020309301157244393,-0.0059272843128402464,0.02122542693056853,0.14932118330451807,0.06952221905849314,0.01840564068807812,0.061505022718070464
WNT7B,0.07133727225970417,-0.028867299664570755,0.04215026553694688,0.029041321572110743,-0.01657785458147263,0.07883721096046584,-0.057344980315366646,,0.014094369440884626,0.025670081641679884
PTMA,-0.00021084124142336873,-0.032832938311022006,-0.02880957249673619,-0.05537570194816692,-0.05053912364928318,0.04845827610000114,0.06651349415029496,0.013191989517996102,-0.06947628677042059,-0.03705988155101437
FASLG,-0.02016110527730495,,,,,,,,,
CEACAM1,-0.027993871121225065,-0.014712987009241642,-0.01876222357984154,,,,-0.05527971247287576,-0.030603815919253267,0.004047810681676227,
PDAP1,0.06558255840204509,-0.005906122499287215,-0.026941553091473572,-0.00600939923519517,-0.002832860496910587,0.03619392877510636,0.012444302234478134,0.033414122722116135,0.025380866478455978,-0.02977544290405116
QDPR,-0.05408327108114766,0.022046683836538548,0.054490064303398436,0.01497043570314324,0.013238739824431954,-0.007158986597736987,-0.09096203453188413,0.05973188979522544,-0.05428119379709491,0.02774180375000189
POMC,-0.0033369034657073655,0.0065941393382757734,0.0998747851994106,0.04353895938250454,-0.03231529305265347,0.08629309639446751,-0.07780716577328402,0.09516929557195136,-0.037531057342709576,0.08612423083916
CCL18,,,,,,,-0.02430971167220158,,,
CCL17,,0.010335565384647707,,,-0.01377866508886202,,,,0.09096949756651007,
VEGFD,,0.034600806971057205,0.0018994468503469013,,-0.014767022146967332,,0.033517605573489796,0.0038326780195105875,0.06509821398793392,
TNFSF13,,-0.013326836624376375,,-0.01847934367812434,,,,,0.020141988488729,0.021264792091059883
WNT5A,-0.0047835478177985225,0.033776427040721556,-0.019384132634248753,-0.05057217999740158,-0.027819619083354383,0.061845247885765356,-0.019642360855472264,0.01914596978985403,0.004744482562646498,-0.021722647929563105
CXCL8,,-0.04803136830528435,-0.051214019319668486,0.016025488603569234,-0.027556983131470123,,-0.07910110793625415,0.11056610875459652,0.058202346333433186,-0.045776442426907954
GRN,-0.05038920570531671,0.09420520559915194,0.00455388280407103,-0.04621629019598529,0.03940066262492017,0.05775149697346582,0.0034525960581549657,0.15249887014323113,0.09437580760191693,0.09053682585425547
MIA,-0.026389147869247613,-0.003113930466969664,-0.008124790285348703,-0.033414217318678885,-0.02022411356686894,0.20382167027563527,-0.056446942096668014,0.020906343169134253,0.04752215353924057,0.07412746021163301
COL4A4,-0.023349016528711693,-0.0329089726655322,-0.03801889266272414,-0.017582279084646858,-0.019618140456242293,,,-0.03257770436852876,-0.01590970056841095,-0.028968924887434033
TAC1,-0.020161094308477116,0.028812212530788462,0.05702860196346847,0.07338650536757187,0.07008373259195477,,,,,0.19693347360314498
RARRES2,0.1527950269606254,0.07020479850663434,-0.06370386326105272,-0.024750168202355326,-0.009849944170988379,-0.015193319916954445,-0.125300876827684,-0.0826007116268501,-0.04188787393614311,-0.08210511980807467
FGF7,0.01696059534742964,0.01983019494851311,-0.013546538698730175,0.06978208851925304,-0.021425343345629996,0.1073484317281516,-0.012933824723647461,-0.07010042672734466,-0.00787311861600222,0.07805535303427222
HBEGF,-0.048649060751706864,0.025502280370295508,-0.02958741707624345,-0.05861241133639672,0.035501609991009396,0.12626159319812139,0.003929660389065801,0.1016347218003225,-0.005115466579479842,0.0017421316312163386
CSF3,,-0.02302833087584326,-0.04155906859634021,,,,,,,-0.07253472834473826
PI3,,-0.02438395798974891,-0.01307678848198463,,,,-0.07587414961984675,,0.09717096364305938,-0.027180989290234728
PCSK1N,0.07682004316644098,0.04919005875900405,0.03530356204493462,0.08201530093745957,0.03493757958780801,0.03668634677815773,-0.05407686212806463,0.034426389048322674,0.034340046472845595,0.11555948206425636
NTS,,,-0.04603756655726559,-0.021463967924762146,,,,,,
SFRP1,-0.02933490148378102,-0.0168578680415792,0.12035347957159777,-0.013095659948655533,0.03877519127139334,0.04500362050881125,-0.06490295992866546,0.1587244715259145,0.08314933201669768,-0.03047703271353645
CXCL13,,,-0.020294518339751693,,,,,,,0.08087954718576806
MICA,0.02216449504858942,-0.02353070260146516,0.04604477153037244,-0.010356801239720614,-0.01971322821348631,0.13400802872696083,0.07382150490153559,0.05740086867314244,0.07214807584352582,0.0027277404352970963
TG,-0.02334901126692092,-0.018192310480435066,0.003993421481608983,-0.009982246936423392,0.0460197142797791,-0.03189168656400675,-0.006609650222938928,-0.05004206219806152,,-0.008815989223228253
ADA,0.010563533666877928,-0.007675208844743151,0.0068825277645028805,-0.04840054687489817,0.03914402616457118,0.04515513119299236,0.20816304596075302,0.062890424195252,0.009679911870487683,-0.008555875650570961
LAMC3,0.061708106116693306,0.0144295541922447,0.010935815699924757,-0.06348388749963853,0.05974929530549064,0.09544004633552182,0.1505001036930819,0.023530059320341058,0.09889062337163419,0.12933772197221335
CCL7,,-0.013153011410966954,-0.026906784400299012,,,,,,,-0.0421044873759424
NGF,,-0.030136908579370084,-0.028720191853504686,0.008114656839630693,,,,0.017139258276207128,,0.027838984223432242
TNFSF15,,-0.014646521511659178,-0.019921691863891394,0.022057320614914402,,0.14969493813456958,,-0.04681618106812509,,-0.02304849253851125
HMGB1,-0.04716730696236268,0.04180860665838092,-0.012663651270312798,-0.0031574940037038665,0.03921983116974233,-0.023813233057904493,0.030193357591120067,-0.025493908818615036,0.02103979834509704,0.033055961227228675
ITGB3BP,-0.012011895584525693,-0.036895245958507614,-0.0023736018827462835,-0.03725785660865574,-0.031083144641988504,0.11972791463269021,0.11007176635681482,-0.0054462615789342105,0.035496563921543316,-0.013394024683323714
AANAT,,-0.013326838046724281,0.08450508903639992,,-0.01848276127315722,,0.007930671518201267,,0.03440966617702528,-0.022264844676762523
RELN,-0.019356949372820644,0.04001983437758972,0.03601437463367489,0.01887896493372533,0.012535968047834033,,,0.05652019254415785,-0.009081814011688545,0.07504803477825515
IL15,0.030332621564471036,0.0017570759534446092,0.02209298796567928,-0.020426491302227283,0.061403484719920125,-0.050178727648429414,-0.04274251552261367,-0.006875111043748905,-0.032592395862821234,-0.06936773951677898
UTS2,,,,,,-0.02521617638914335,-0.0010964851011281654,,,
