,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,-0.021926379673975337,,,,,,,-0.016113800792176357,,-0.01980242004344706,
BMP1,0.04630188801312771,-0.005009681533470804,-0.028131927072538972,0.01069969479727295,0.02892586500622593,-0.04787297756522617,-0.019900618663185324,-0.07425011915693625,-0.029136522190634395,0.026993808432682627,-0.037059249561381104,0.014623557021976484,-0.03134676006443218,-0.014801590664650442,0.07153939604369462
NDP,-0.01605849736153285,-0.02454194597940124,-0.03524816968649539,-0.01505787113525525,0.006886337759013496,-0.04864949470095413,0.03630393097935589,-0.01232945710815464,-0.002856117669103631,-0.017885643088168705,-0.003205999521873925,-0.0269368984402445,-0.014784470032902189,-0.05057819200485908,-0.008052093486365574
TNFSF18,,,,-0.015079727147775647,0.0662779589679355,-0.016503115957057116,,,,,,-0.01661787833168461,,-0.033403142303996,
IL36G,,,,,,,,,-0.01375291054121208,,,,,,
RTN4,-0.048925866574308606,0.01198225196495712,-0.008234873313445685,0.027928210688943075,-0.018385325416110918,-0.007863055837496176,0.026398019670941145,0.08096256291396452,-0.033935427089594954,0.014149576703301338,0.007446817492450346,-0.08155672008228027,0.02164792676288117,-0.06809810514499506,0.06753288740384
HEBP1,0.006228050904996849,-0.008003786834040637,0.006795394155258544,0.010204456349098869,0.030537367816406417,-0.0201524228562902,-0.017979220020377704,-0.03355477290819942,0.0041161491100907615,-0.06836355062894385,0.047683940284749766,0.0394374158084043,0.007672413723721497,-0.01285993185998007,0.03247265715502731
WNT7B,-0.037838203194585945,0.05343653884246116,0.01223874342681674,-0.04001060688444339,0.0028516227407458317,0.03483705726899564,-0.010049709750725595,,-0.01511603358944984,0.030703177588590203,-0.013380344976542018,-0.006330907477837574,-0.0381333982555052,-0.03112768901971172,0.08815391532883374
PTMA,0.006227971900002187,0.0017324652984165327,0.018811504930603396,0.013286133998769501,-0.0234520250434514,-0.028196377837713612,-0.05807667787140027,-0.08840063387098109,0.02982349735139522,0.04021027579519078,-0.01462378405121849,0.06611895592935853,-0.037494682351884516,0.04194166427290336,-0.02885197706957159
FASLG,,,,,,,,,,,,,,-0.01717463214798842,
CEACAM1,,0.03813265707877491,-0.01697434817642941,,0.06055868956732555,-0.00346458816338809,,,,0.006038532039749764,-0.025676709941328913,0.1222020644376638,-0.02530969102290006,-0.023895978139613035,
PDAP1,0.036690664693701275,0.051713711010560215,0.01759449333820336,-0.019700053571750722,0.04805171555325069,-0.035598723155361243,0.024487660275922488,0.041237574778679606,0.004891670627538029,0.009301795803807869,0.015108034771744307,-0.023949217462064597,-0.000645254692745841,0.04640910969974143,-0.07864553220559234
QDPR,-0.027503000900071867,-0.006061876451990824,0.10395583018701077,0.001198373271715055,-0.040778680739408255,0.0428671295405202,0.011011902682506201,-0.059243019293673586,-0.008815901436334971,-0.03960954632553359,0.02559159411983535,0.0646619902661948,0.019178313201044784,-0.08065979911401347,0.0570298288463728
