,UKF243,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.015714768948893752,
BMP1,0.004032767303945737,0.0057671338033379324,0.003178261767281364,0.025633955951742973,0.013318706567020883,0.07517421420480416,0.024417792303953183
NDP,-0.011975129964891659,0.03815645879267868,0.012239678923418701,0.13609583344410037,-0.03215321671512265,0.01170215862241477,0.043279542567202345
TNFSF18,0.1910335642199142,,,0.10093569108125033,,0.03736653717308055,0.024279646472471838
IL36G,,,-0.013552783573865263,,,,
RTN4,-0.004311266194862193,-0.025042503716178027,0.014836947280092097,-0.009223690499504512,-0.06385989592664343,-0.009905709719536781,-0.0025833479292026356
HEBP1,-0.01901036103957169,-0.002079157880800892,-0.023913385463019236,0.009456747110843947,0.033865129150614216,0.0542900056062439,0.05135190225224291
WNT7B,0.025458106821828436,-0.014776916351700893,0.007463803981623378,-0.02655916975697226,0.0002207422972759868,0.04140629822436002,0.04712960101046449
PTMA,-0.06373566678013723,-0.02874043700046884,-0.040502419738535196,0.007833692587290457,-0.0023807880189930905,0.03552174053850895,0.003460289646689539
FASLG,,,,,,-0.013629413748204656,
CEACAM1,,,,,0.04105100929444808,0.06760765103523804,
PDAP1,0.018547581381741035,0.009184909159187255,0.024454545815825162,0.012069724026573123,-0.07985942232206186,-0.007977170008409156,0.026113783972708644
QDPR,0.04146194184130659,-0.004466762511187918,-0.026362889966800793,0.06158432591276333,-0.08462688061285314,-0.011494928222070846,0.03594117567628613
POMC,-0.03207154126026286,-0.023909541587920153,0.005464631364920418,0.009613493590935593,0.028850939332866424,0.032419032887681755,0.00977850407442681
CCL18,0.07847212420049578,,,,-0.04348955875659149,,
CCL17,,-0.018289680060619175,-0.012380852558121123,,,-0.012353532712189193,
VEGFD,0.031088278898700694,0.007281835544860636,-0.013268943162854074,,-0.024412771416836367,,
TNFSF13,,,,,,0.0004011876649696599,0.049988133307001525
WNT5A,0.10622135583329965,0.02582793804049958,-0.03319023689816758,0.003843396421351721,-0.017439114189365296,0.025740574264243775,0.004201687244397526
CXCL8,-0.02070301347867548,-0.012493284579599761,-0.03989463491488974,,0.03315482606270286,0.014811375663209845,-0.07332931227625253
GRN,0.040208589421999494,-0.03420538341176006,0.02898126878392428,0.034291270972069327,0.0368284665453794,0.031238005572801465,0.04333522557793005
MIA,0.06826673063210431,0.11829649347686948,-0.018172425744820923,0.047017897919288905,-0.04239686978573791,0.07671834829543653,0.04750453187025863
COL4A4,0.0277085976280681,-0.0256314456545226,-0.017627927153087305,,,-0.03627844207894232,0.00914949208970387
TAC1,-0.045440135144589736,0.044833938953441795,-0.008172735028734092,,,-0.016239974910250754,0.01298235904250419
RARRES2,-0.03600211592323595,0.059671189028283056,0.015368542750750768,-0.012941759106442807,0.04732793855222618,-0.02235086680947576,-0.0485098173865915
FGF7,-0.02022389773023812,-0.018351239430982963,-0.01844134235194026,0.04500824000506757,-0.031072785850415285,0.019598021149540863,0.06813345653362511
HBEGF,0.09326358739745427,-0.009101763129448938,-0.045724560390094114,0.01104296740233291,-0.07559964480598537,0.03715628328202596,0.060554860878692905
CSF3,0.08145988088032888,,,,,-0.013006364188580127,-0.00926561433281908
PI3,0.08482104910324037,,,,-0.06961541437963512,-0.028258508440882776,-0.013512485380200145
PCSK1N,-0.004542742890015402,0.07722795696468544,-0.013801081703177617,0.03229554431471243,0.08698557539589553,-0.030421359159401366,0.010193888427231696
NTS,,-0.04493081534308707,,,,-0.019260651799631347,
SFRP1,-0.03538687339293622,-0.018289680244811275,0.00778317300270412,0.09827361413774456,0.08904104035500333,-0.01881308304754978,0.015213120518192288
CXCL13,,,,,,,-0.029625805769959684
MICA,0.003858322557904274,0.07416697926164262,0.03322215493848483,-0.06719878062876737,0.08440068130150913,0.06243613808701239,-0.025461025520918924
TG,0.07705833301161345,-0.013236162034719032,0.05215658445760875,-0.03091719699190694,0.04559799336974124,0.04173447400628299,0.030423743414589345
ADA,-0.04277145817460938,-0.02149659159724302,0.0019549253932727695,0.044788925157584016,0.08441945716820116,0.02740952017582083,0.03877388178308026
LAMC3,0.05221053807119748,0.008698476374195473,-0.02886029132730434,-0.012383878303620057,-0.03881909124596035,0.08256766988832799,0.045065431545262394
CCL7,,,,,,-0.013629408901747811,-0.06184678254150034
NGF,-0.020902964031703355,,,,,-0.040806039467968444,0.05733479843093741
TNFSF15,-0.025859575268330354,,,0.13147844865647823,,-0.03601125802097436,0.07813217761702157
HMGB1,0.06898646130598651,-0.008924091953858678,0.0567023987026524,0.01100017704572767,0.0699202417853127,0.01600471702073618,0.05141434862050832
ITGB3BP,0.006765731685474799,-0.032226413218938973,-0.021091215860307412,-0.04796564953536955,0.06985660362386296,0.021922656552345574,-0.00031281592815785047
