,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.005462641047229742,,,,,,,,,0.001609225471093246,,,0.23540196205215577,
BMP1,0.01703761642468951,0.06849948733973159,-0.02439246212046456,-0.023026002567932007,-0.057249606477804076,0.28241712125341634,0.0331703201151522,-0.0014795506872516755,0.0742354480854317,-0.07041924070851217,0.11059397365764377,0.0869955907759447,0.06198130824591999,-0.08716825953595038,0.08587548914284847,0.046837565949692746,0.021015981385298244,-0.060752301205704996,-0.010482875058107284
NDP,-0.012926174356952312,0.14475484546437636,-0.01800049247463808,-0.05612991844173076,0.03642569382690476,0.03978007972444026,-0.030931870805215197,0.016396002660215153,0.026495744610927883,0.06668753669100436,0.08120299129544922,0.04346179592478647,0.0002268455312763627,-0.02184942830303475,0.1301018050232011,-0.029934468548632825,0.07870367671585808,0.08922264766216192,0.03349948809428608
TNFSF18,-0.031846574440650526,-0.024578343178636147,-0.048226165089863264,,,0.06893487595349371,0.01338150670412659,,,,0.0021719129353661238,,,,-0.031801688497100605,,0.0928075923168446,-0.009441042559012866,0.035458669383705864
IL36G,,,,,,,,,0.03197097969552547,,,,,,,,,,
RTN4,-0.020516705021544426,-0.057672349832831545,0.045118403250619755,0.021456962018862675,0.03107238590992928,-0.35090960641921964,-0.06631765775365099,-0.05139237648332242,-0.042654986775869805,0.08529919661605863,-0.17257754425043373,0.008036683372998513,-0.009763319923361557,-0.030357391318058136,-0.12996886204701102,0.03793068377819499,-0.18276103089407453,0.07428678975765941,0.0015432157316349583
HEBP1,0.01394887812364359,0.05331508668271477,0.02397803617086373,-0.04998367370499482,0.062494290588008886,0.14734440833842738,-0.021524081451128683,-0.004254365156519395,0.058991635894535405,0.040821890157022304,-0.03567813892852009,0.034038985919470924,0.11824277965583885,0.013418358514397166,-0.0030153023136985694,0.044319446559463904,0.08767453356659982,0.0740366241176057,0.007876577820533186
WNT7B,-0.02805583461976427,-0.024981099486467113,-0.03158852008705018,-0.01815008057094551,-0.017977555714951653,-0.11058621182158646,-0.012999151455124274,-0.01632889818272503,-0.04642443560311858,-0.05674341704871545,,-0.039629303500654744,0.0036601761742882707,0.008335050999326098,0.04773249540504611,0.03460762739049953,-0.0009393922255567048,0.018766640357608437,-0.0745031852193297
PTMA,-0.0709714388425642,-0.11453019073879667,-0.000906350975873711,-0.06768278725313256,-0.035702214532497126,-0.19537749653582295,-0.10127403596423946,0.03730234203545394,0.1289562674651701,-0.02952303709606075,-0.02253943614799119,-0.09236824783751978,-0.08321916815533971,0.02985787351621878,-0.15163387796391653,-0.012313736352969569,-0.04707976815219405,-0.0990261185733411,0.003381424704760402
FASLG,-0.028055842551076845,,,,,,,,,,,,,,,,,-0.02691206743507794,
CEACAM1,-0.038955782918128554,,0.01594933401506579,0.06354683354488962,-0.009712983860971186,0.100735728683873,-0.04315588236196984,,,-0.013215633512750142,-0.04941622943303119,-0.015918233481349776,0.012907165195311359,0.035865209969068064,0.046938302519769784,-0.018353712650760717,,0.09028462409456181,
