,UKF243,UKF248,UKF251,UKF266,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,-0.021494341294711714,,
BMP1,-0.05756883668180045,0.011775681276541753,0.010204565816165839,0.04803446433442658,-0.009115087035053425,-0.03294489281577304,0.048239342180173485,0.021009593694476712,-0.005178611811009871,-0.033389296059902984
NDP,-0.0389435801015456,-0.02840951616970405,0.015657193313872657,-0.041246190163649527,0.09013927950874055,0.003353001265998989,0.11083726905568174,0.02604505349908465,-0.05115980790225811,-0.00041908498296337494
TNFSF18,-0.02127448672860512,0.006739585426877962,-0.03408029943940337,-0.01239910160822715,,,,-0.02216673477983221,,-0.02667448263313173
RTN4,0.014079767127735125,0.002946954550262941,-0.042526616210315796,-0.08432853738375883,-0.12389828280510835,0.007650906159323292,-0.0824898836998429,-0.09044455422637326,-0.016360965714468358,0.05409830754800864
HEBP1,-0.006096376427213127,-0.02959492178451853,0.030052287277399416,0.08005264117556862,0.08899415610125194,0.023646594086531803,0.015083451648807122,-0.006491800019098614,-0.03078396652826241,0.05479713148766253
WNT7B,-0.026132664888234756,-0.008139080012826119,0.0567122058199111,0.014835549391727364,-0.07152878791863712,0.016067438480941262,0.06846349475473949,-0.02466693656365789,0.02967092070724102,-0.011939393035085389
PTMA,0.02492302519533513,-0.032865342657404394,0.012072898463721012,0.13333216112725718,-0.03256550861903577,0.00438815359780417,-0.031026372871680814,-0.08787797390453578,0.01819829918031437,0.05955374945227045
CEACAM1,,-0.02468409519851066,0.06475061078756061,,-0.046197514497560446,-0.035991282483944224,0.04035097317203264,0.030355487550971436,-0.017779272749384723,
PDAP1,0.05580081657477948,0.04160669973170541,0.008940466684022359,0.05357849716524723,-0.0004371705149236307,-0.06805047069343745,-0.019434948138821635,-0.014013161105725548,0.00751281245999653,0.062238141740042684
QDPR,0.01123883419381293,0.024853958816660054,0.015366632069982374,-0.026854275059368674,-0.016567700010583,0.06066449813468885,0.02616980374324706,-0.11924045848559757,-0.08524972969542097,0.017685083565958486
POMC,-0.025377806885085258,-0.031064982663464143,0.019165768474415958,-0.0215064672677362,0.012762144660159647,0.04523961750705217,0.0016122325711516367,0.0441878547086848,-0.029084554632600564,0.008080709944671543
CCL18,-0.028530835981276335,0.04873296008774179,,,-0.05539363111047183,-0.03782431882005947,0.07527548613450645,,0.07528990473138368,
CCL17,,,,,,-0.025534072895319056,0.06174526924553921,0.007845398956246866,,
VEGFD,0.0770970461348791,-0.03080342833654807,-0.009411005888521317,,0.012664621300226013,,-0.02496687012973071,-0.029888948154056127,,
TNFSF13,,-0.023245255498976273,,-0.012024541961474807,,-0.008967594470219454,0.026705647510749223,0.08632267418850036,-0.01996493168562445,0.08012148255528186
WNT5A,0.050093105040198864,-0.029827448756925383,-0.055688863436077055,0.13087173066363467,-0.01574062910602297,-0.0235563520613923,0.06414317262931181,0.040985241149422945,-0.009167438649373819,0.037059524159626434
CXCL8,0.02866364346897684,0.005858530212129219,-0.02178839504532296,0.0050305106829174025,-0.09645188935384692,-0.020433059629422875,-0.0729858342860953,0.037427338668539444,0.05270671509867348,0.015712949770663016
GRN,-0.033432956086065176,0.020786297449879188,0.03921677126256376,0.057599430697987584,0.03743713384023755,-0.054370982320096496,-0.046867775805760306,0.08610698499826362,0.046921756770347316,0.03258121333147427
MIA,0.044527693054162154,0.03754663258000506,0.01076661963221805,-0.02174269093409028,-0.035968985671726975,0.06455347012935479,0.09126078611298993,0.06444630872536965,0.06696783343803232,0.06701686272567063
COL4A4,-0.03236047159289359,-0.00019837375611629136,-0.024839068466280024,0.05332897906709882,,0.07388013321088659,-0.03997586287036521,-0.043654011695163905,-0.03583137967543313,-0.03243204490413262
TAC1,-0.040528967816500984,0.005257918758974141,-0.032498648533347885,-0.06636416892955417,,,,,-0.030674310496222094,-0.05151551358999358
RARRES2,-0.02660197379641925,-0.01591060879894614,0.016222916747601693,0.07755860088158686,0.04125270515515623,0.0321508308812902,0.014237881441635427,-0.022243194638492392,0.06966093614198925,0.041056551041431445
FGF7,0.0020115077208074437,,0.04924664163037056,0.012439622369783606,0.07670592082512555,-0.03361107561372884,0.08511542156986746,-0.005720504238751893,-0.028386983809602938,0.05069843864472094
EFNA2,,,,,,,-0.023729339198532463,,,
HBEGF,-0.003908441252231144,0.017523077605005707,-0.028512293367706408,0.03275725878629939,-0.05611716150045961,0.004826685776414452,-0.021199735229501807,-0.04141457455200518,0.012569526550950475,0.07250568661786917
CSF3,0.0575682330412268,,,,,-0.029635406328088823,-0.06351215040333616,,0.04824058278867369,0.10919849156398598
PI3,0.02694006345165162,-0.03240649504604268,,,-0.06395060918014162,-0.04371431345633615,-0.06270483982580198,0.01709441401946324,0.07641381924617845,0.06980969164603396
PCSK1N,-0.08104459655568859,0.02390739897198052,0.04943346222812223,-0.021080819638548413,0.05389443189280486,-0.05539449365643092,-0.024237638626431243,0.038529809013355044,-0.009759480391376701,-0.04213854944565644
NTS,,,,-0.013966642293502089,,-0.02690306841594576,0.028440255083829642,,-0.05206729362998365,
SFRP1,0.004758790863731326,0.013008230841545123,-0.033115270497389306,0.028407022667932543,0.06843529755178261,0.018115514886394124,-0.005890397569425747,-0.029180024425418633,-0.04770827305463115,-0.01628802452106236
CXCL13,,,0.04643355801320599,,,-0.017860081685972373,0.003093441971882318,,-0.012667170959336872,-0.027671737321632136
MICA,-0.060406186085880165,0.058198434528122296,0.08497118073115414,-0.02964465638189009,0.02177147451562102,0.00787508458164651,0.07426458863348566,0.04723801991457534,-0.0173919923239863,-0.04611559683145194
TG,-0.02579644054893313,-0.004627847153298372,-0.022091850123639994,-0.016121186999015415,0.047266924878974804,-0.008718561046397408,0.032339606818686736,,0.0158299757076737,0.03413683463745599
ADA,-0.007305849486738322,-0.0166082838544761,0.04667907872226613,-0.007884507894264297,0.0414211693776003,0.02540623724327786,0.0027721338868837587,0.05073563160890378,-0.01475288570313445,-0.013141134573911245
LAMC3,0.022486007207875736,-0.0022133377883255386,0.0037910162440650203,0.03490372299963637,0.11004747422758779,-0.008018241703413857,0.038549644703071664,0.08056422129445949,-0.045989451135205826,-0.05991409545221726
CCL7,,0.051223693482676025,,,,0.06801889864073181,,,,0.08855242251508767
NGF,-0.018643772819219945,0.00993124060364529,,-0.01538393637385692,,-0.005025160387696044,-0.02341037695780842,,0.020072845924957467,0.012588718994706566
TNFSF15,-0.023064673783729533,,,-0.01867947142527129,,-0.03730865009362582,,,-0.015828241412629344,-0.037756414902012876
HMGB1,-0.024964800972139184,-0.04643838880921881,-0.005090286105598018,0.1164715576132726,0.010909323476132948,-0.03852327168610744,-0.06114490547100887,-0.009620172133208371,0.041083243914063226,0.010821922926769393
ITGB3BP,0.09027899918666377,0.013083391295920493,0.009283985535100594,0.10442253448525558,0.024920459335340164,-0.010446040340764427,0.02283467340513927,0.008579836475787965,0.024539900560641748,0.005269048711403544
AANAT,0.03636957465913018,0.1322793314794095,,,-0.003171350647435826,0.020520858022644226,-0.03193326357329886,0.05193529136226008,,0.15043627187945494
RELN,0.040733200020822605,0.08077326467561038,-0.012660033711940145,-0.03210721931320411,,,,-0.018381443365495936,-0.019118800283086768,-0.03510768486064983
IL15,-0.03278603565468061,0.019183272960756385,0.007469972076584426,-0.013291554400825056,0.029309966586038013,0.032799988797086524,0.05053414814152579,0.07713535325873325,0.013761524197380774,0.002412119510600878
UTS2,,,,,0.03467539091257765,0.09154626628428093,,,,
BSG,-0.05030587492487388,0.02743396463338347,0.006310190589672326,0.04846816338500371,-0.057386240948491825,0.010665273209495684,-0.04301878229500403,0.10147208293284067,0.019451933262579806,0.004406797675738662
ADAMTS3,0.007823700238215388,0.04571618398135263,-0.038816982361839676,-0.021408849060401552,0.10296026474901694,0.08212486817895667,0.03142041368057163,0.1416465557380153,-0.03452254292779786,-0.015125275910788593
CD34,0.03191385720206626,0.05675792057536062,-0.04872239507024545,-0.015627707099050304,0.12183641644976305,-0.008291689688323991,0.05210068513238314,0.07608916534480649,-0.02401295793140526,-0.04435761110082379
PLAT,-0.02261774911426921,0.035001039983210996,0.04336148159027897,0.09709045018730807,-0.0036917205267882557,-0.007106106350151567,0.0427923033825441,0.09400061186579521,0.05410072268288841,-0.06882973319941613
NTF3,,,,,,-0.03915753618625641,0.06398831730379234,,-0.040710293007247086,
LTA,,,0.062205952015382066,,,,,,,
CKLF,0.05760360759265771,0.0004697431477546224,-0.0165889055733421,0.07664140923475289,0.034396055185995096,0.015308010389017617,0.034500695552143926,-0.004955424497557122,-0.011692685695249776,0.058191586185669414
CD24,-0.023267603746283866,0.008791477639142214,0.03416633798714248,0.06292892986187887,0.042154262484463176,0.04328586114345929,-0.0011018011445570026,0.0004246794295732716,-0.04018379517457902,0.09734468771017414
HSP90AA1,0.031155474124793716,-0.0016283665078754542,0.011668301485820116,-0.10843622454747183,-0.11442890135399834,-0.058279640000767456,-0.09815262422441126,-0.03412140141321999,-0.006250406796216322,0.06768906204732827
BMP4,-0.0258050529117158,0.014889323018424194,-0.01722215334721547,0.04839407093855712,-0.018821002929199408,0.06812305796259681,0.09212556575108272,0.045476906981446956,-0.03352308877976225,0.057921889593853505
SCGB3A1,,-0.01959357444562201,,-0.01696690427125257,-0.04459023453484505,0.1502101870183464,0.0660106220544453,,-0.03287026290701113,-0.006113388036141629
IGFBP4,0.01268392378503032,0.01807839432906644,0.029732032889373452,0.037508358249287645,0.062378222939381424,-0.06749655880420025,-0.03166117392174435,0.085583655417259,0.02288479367798829,-0.04562546111560401
RSPO4,-0.022775279928646665,,-0.013415497562773509,,,,,,-0.022136723186376807,-0.0262663788519921
LEFTY2,-0.007244844576855915,-0.011395637633266512,0.00336233951442727,0.054229764211934824,-0.02326622168660888,0.021247734584843463,0.00287756251528334,0.09652122625599667,-0.03010448105206904,0.03670701854674202
PF4,,0.045750448067582904,-0.014778323489947452,,,,-0.021749582234141075,,,0.004026522730795441
ANGPTL2,-0.04046314463288348,0.022124981496383145,-0.03184170593248018,0.14394858585238376,0.09824339117061426,0.03722563917702154,0.031350019591942294,-0.0034723197550003398,-0.005338859294739683,0.010011900685707812
LRIG2,-0.04664689481754586,0.01874204889081728,0.02632080621070287,-0.00446992031019953,0.015081534287262485,0.028693649996469096,0.07499794854687707,0.045724821998688145,-0.012958680500981316,0.04602290814318142
