,UKF260,UKF296,UKF304,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.024544931246449693,,,,
BMP1,0.00902432724732173,0.010338427113902648,-0.0030141458979124356,0.0693596540958088,0.010438157084979558,-0.03466966244069292,-0.014582308081234674,-0.03451663499514691,0.11051303590722439,0.022408895175205445,-0.003519504461706289
NDP,0.07614609322274371,-0.019789079064899132,-0.009389029767298352,-0.007703933172753909,0.06845657842853951,0.012448191435660397,-0.043529904935793534,-0.014686018859298471,-0.014297529170721504,-0.06139233209541537,0.02640083100151344
TNFSF18,,,,,,,-0.025312754350984824,,-0.03505060267611195,-0.026674492887896424,
RTN4,0.009545353436329791,0.03483480688875901,0.020025859562885332,0.022765390910362886,0.02102542212845708,-0.01909367027888223,0.05864377927773976,0.08546104092468748,-0.05793128496311466,0.03470777426898051,-0.0595895242278901
HEBP1,0.04559388389951655,-0.0212839848758,0.021705710989176986,-0.024322686138574804,-0.035327969602688275,0.01322005923367541,0.028719225845302683,0.038519139294521616,0.02692318485536429,-0.03718053750774381,0.038102960553194426
WNT7B,0.0603917737863858,-0.010405327327818232,,-0.019221716680094373,-0.032501353011143,0.01913148685425218,-0.05293101709645315,0.055152804199544166,-0.035050566331269975,-0.05799862906905848,-0.04739484886640547
PTMA,-0.04057419301541759,0.016408020918709312,-0.03609351449389202,-0.028291970300239517,-0.06362654195226254,-0.033586575325174,0.03838120707973113,-0.039926092155501545,-0.015269963849484477,-0.061601645171983396,0.07891649142670745
CEACAM1,0.0305346045145035,,,-0.03417668885524002,-0.018212111119549616,0.05023030230662149,-0.03637178531504231,-0.026292643563096015,,,
PDAP1,0.016390091635234135,-0.008629257797451023,0.049432175800853094,0.045118894874986396,-0.021109005011710546,0.004273617697476882,-0.0024001646883582053,-0.008743299110059305,-0.020063334733500568,0.04216252991404332,0.04922195703017815
QDPR,-0.055682720561463526,0.11278458833980884,-0.07858510311277159,-0.005713722291787232,0.0008716967528178918,0.036161782944088755,0.05059828354314243,0.05670173102786911,0.024633602231578903,0.04877617298951849,-0.023535767159283412
POMC,0.013733023011396688,0.01287067937952846,0.0010211730244518145,0.03167040576976654,-0.03259682096301957,-0.04235737998217315,0.053841372549394764,0.018342666598389783,,0.057303834747428506,-0.03630408852184425
CCL18,,,0.01994670208984693,-0.024231834317032668,0.02334255195703613,-0.044152659407687596,,-0.042819207885037375,,,
CCL17,,-0.012878878327676757,,,0.05360989379219617,-0.026101090965796724,0.034982243951238674,,,,
