,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.017595325371107907,,,,,,,,,,,0.056244048176224117,,
BMP1,-0.03779675220469847,-0.01911282683126673,0.042747974946802214,0.03432921387720774,-0.08291190946138466,-0.039770720397344916,0.007512026377167822,-0.2856173309223345,-0.05693672474430252,-0.02092172893669472,-0.11082355073171651,-0.19814704417183146,-0.01719912633774533,-0.08201912748562386,0.029840720476355154,0.10869695974355531,0.03596669744424656,-0.03117244072853991,0.011787675008523728,-0.014174544487035989,0.03752524515830768
NDP,-0.10752324749303277,-1.4319079238823981e-05,0.026056638891806882,0.05886960903813124,-0.08500686043312845,-0.006090688870115761,0.04171672875431701,-0.12468358099547708,-0.02689387155218749,0.005590026312895537,-0.07190848884467488,-0.058343359280464954,-0.02095560068528765,-0.0066726776600908476,0.014602549618201656,0.016249192418429727,-0.02917971996691101,-0.05491355009212003,-0.03246877484134056,0.05053867756449816,-0.06528808975102951
TNFSF18,0.10512929830125599,0.05890466369237494,-0.019063860516897634,,,,-0.0001452485198139383,-0.07195567065584438,-0.008484252386577901,,,,,,,,,-0.05392770119784042,-0.04246697876697821,-0.06723317007044956,
IL36G,,,,,,,,,,,,-0.0009957838814400682,,,,,,,,,
RTN4,0.13909741768737022,0.06975415618493656,-0.056842034289301846,-0.013781112718911671,-0.031522932293558924,0.022377924590382316,0.1034041195926542,0.3891532839732071,0.02306332312482413,0.12854454728717488,0.3020150671488193,0.2960611839379886,-0.05392996945782796,-0.0838037019710224,0.03640209640841703,0.05515957546345807,0.07060299578075102,-0.0016795453829957605,0.001431517594344432,0.20336481099904236,0.0459962632002328
HEBP1,0.024513340553279944,0.027285498185267577,0.05209766262338375,0.02191647874695055,0.023696296132303545,-0.004946580763048661,-0.06944107884475396,-0.15164096790554868,-0.006558265262036684,-0.0033465720899137413,-0.15867836725558634,-0.014331725836357166,-0.010716957145275343,0.06358644393255959,-0.008858253079981395,0.034675246348095046,-0.02515043194055484,0.05989004107214967,-0.0073788952028469215,0.020951961657651886,-0.15228924570308258
WNT7B,0.1748787067273553,0.00717412018069533,-0.04280953193798633,0.007337098310196543,0.06277001484906794,-0.017606403158357452,0.07609408288821283,0.25573843276761776,0.007917304535777991,0.0345672798184905,,0.10151014427460808,-0.06250372509394804,-0.031398328612469995,-0.00471822123962936,0.019632087231986374,-0.034106825822145304,0.031255871893791934,0.028772184155573966,0.14360515189319034,0.08579418928054963
PTMA,0.0956119334980835,0.01795580406705883,0.034031839698983636,-0.06075522803771661,0.08337724132658736,0.02101652304846246,-0.10477022655009634,0.08914276805172355,0.08386792971309436,-0.08852936786801147,-0.39344413491909525,-0.30373210776941073,0.0669491613123632,0.06760886876557425,-0.07571437971191058,0.06630469919623821,-0.01195158898033075,-0.0341145074698278,-0.0015620017832394131,-0.07006969302763859,-0.25120860898216046
FASLG,,,,,,,,,,,,,,,,,,,-0.021834913976701932,,
