,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02156145121047719,,,,,,,,0.009595704889520548,,0.003611727891843629,
BMP1,0.045937695981086775,0.00930424535748389,0.0037978639485546626,-0.04949190008337106,0.06262956960612055,0.042810231034548576,-0.0266584814385735,0.13249338491946783,0.04742122024000278,-0.021323077614010977,0.0031327623084730694,0.033142761534345686,0.10158998476779613,0.024509452490979855,-0.0133566742229321,-0.035458797254985276,0.012573674355679847,0.0917465240889969,0.08236909982467214
NDP,0.03351265278765962,0.02158952079850861,0.06200528368140105,0.03373454151638932,-0.03787769192106745,-0.007027740574659147,-0.02615291948110334,0.018774598495561196,-0.015587177939602606,-0.022636736862832012,0.04534157554934333,0.03201007388094655,0.06833499759322592,0.015663525034183147,0.10066095773653984,-0.0072819530526542975,-0.06447800083595595,0.026993682699484156,-0.009246534290152805
TNFSF18,0.03410029412514237,0.06813472523342735,-0.034898867631192855,,,,-0.014769705904764382,0.13954489301521586,-0.015129094590365622,,,,,,,-0.028153262217669853,,0.04134869475365235,-0.008371378762723224
RTN4,-0.002473240185970582,-0.01404930117339848,-0.038478819230973876,0.012337310865587911,0.04138850517503035,-0.0928113111973934,0.004259476261997816,-0.1707386086674033,-0.01869391540835275,0.026583325959729055,0.028947410692531005,0.00033107863549727926,0.0005647321755097429,0.007464590463124083,-0.05918801185693695,-0.018084167556568723,0.028450273513927715,0.009658127262486448,0.0025335431930535945
HEBP1,0.022147651917795285,0.03671618071120197,0.049264382432606266,-0.028461847236690863,0.025511524134761574,0.06906525902102238,0.05651933236609673,0.03756168082606845,0.01709466281715071,0.0031042198949366635,-0.010033980371976732,-0.005940942048485367,-0.011838935910167025,0.057817143270278426,0.049944949563193626,-0.014688356408159402,0.004534373929478293,0.03705330461239786,0.04377332801109915
WNT7B,0.0613976031035079,0.08855531744399243,-0.021678094750997374,-0.01571249222442275,-0.008100335039354922,0.028990480628472377,-0.028700285230242116,-0.04886506765365508,-0.01484312266997268,0.07076067278207979,,-0.02163849787095797,0.03331584440454544,0.03390072135859481,0.03164648130699337,0.019460532166771148,-0.002934385752652685,0.04314916867123914,0.018656797457494576
PTMA,-0.0006180127577299951,-0.0026578414951262653,0.01221595373704732,0.002320278872621597,0.03377722952431373,0.0184331465004893,0.04997839128142823,-0.03530816693890073,-0.04292889735819254,-0.010147990496398338,0.03336416475327758,0.027960656310115562,-0.13325757817174544,-0.08411277863479187,-0.014752071468166124,-0.0019159377505143784,0.02140807338819555,0.024077688373840507,0.07304973452228197
FASLG,,,,,,,,,,,,,,,,,,-0.02367192604312189,
CEACAM1,,-0.06370181101250262,0.02149951251002907,,0.015610522524302131,0.021871339294507974,,0.054059516758510104,-0.02379446152535836,,,,0.024144421879184218,0.036201884597419624,0.002767013116104228,-0.015982792710701806,0.0016717559113783793,-0.007894898606735371,
PDAP1,-0.055509954248166404,0.06728434681510968,0.028696262445053605,0.02776554945951603,0.019110040242472936,-0.00615892308746962,-0.02166492490650383,0.08256773045409323,0.01230800498030923,-0.00882365031753349,0.07824423280253841,0.048671110126567295,-0.02152242856425183,-0.020423987162273047,-0.009746057396235219,0.035821573336431524,0.0071315526975143494,0.031814689445413755,0.02994153311093256
QDPR,-0.033746807596442635,-0.027245239211056427,-0.028245463117080632,-0.0004332229166478825,0.027494124405032724,-0.03479466744924045,-0.001910286213253057,-0.13257500397692118,-0.010247569225167738,0.01131164627976268,0.020246513985118383,0.02035964290743853,-0.014324697859769977,0.014129685259658218,0.06656305464068643,-0.007260483473411387,-0.004885051128736632,0.012178106011577785,-0.020045610745462013
POMC,-0.0323904489482338,0.0646685361592011,-0.007407274875224653,,-0.04130912299863442,0.016098839342005435,-0.0389654630848392,0.005135172667879033,-0.017554604982041633,-0.02845277278005449,0.05481128042759166,0.03595529312227178,-0.022390480377023684,0.06606966942071621,0.06905983684616716,-0.017997313237666433,-0.02559491589967338,0.10547627686740825,-0.0026397515418546875
CCL18,-0.047789323568533444,-0.06536574960713257,,,,,,,,,0.07073120138725071,0.03068404809701959,-0.02044036607611303,0.006002184409976668,0.06160231858554348,,-0.0013604408461045845,,
CCL17,,,,,-0.025711163473103434,,,,-0.018868926498427224,-0.013093588054679013,,,,0.030613101070394267,0.04008517599837242,-0.008651043730479837,,-0.021455942136377682,
VEGFD,-0.02979890569610669,0.07102037012681338,0.058644947632665693,,0.03333009453166777,0.023717582547704584,,0.043103349018497564,-0.020103245228313287,0.10763670377331704,-0.021864776068935034,0.026999438539819173,-0.05162531940592198,,0.04718455003502906,-0.03796099890891783,,,
TNFSF13,,-0.03429820453376337,,,-0.0177349851309166,,-0.014323533593162886,,,,,,,0.05788046873050381,-0.0028720832364681867,-0.02564724909131282,0.021062737190239145,-0.034960666856503377,-0.0018780759582196853
WNT5A,-0.01913202344455121,0.05865856008921223,0.02162014493775995,0.03330935031602226,0.006796492541084889,-0.010298309638899873,-0.0011013045071753338,0.09291405156935643,0.00042404544855595774,0.04286677192083772,0.05455418385934619,0.04200998207934493,0.06744473362693693,0.16623798647983357,-0.01840296467136865,-0.03110161913445148,0.06304162981320445,0.0680972214420607,0.03169871692563999
CXCL8,-0.03510159820895685,-0.04888319536059419,0.07675998746605599,-0.01120720143859248,0.012763475897727172,-0.04173480221990139,0.0158061408717194,0.02569761091110918,0.03453151670663612,-0.008943946596822811,0.10973661968978679,0.014724961732638616,0.005293987603893093,-0.014524187621753733,-0.09825291122237853,0.1093447052496491,-0.01915292016241347,0.06228785824729234,-0.013945734450723743
GRN,-0.036538073464998,-0.031458913272442796,0.05235952876251231,0.01883074976169177,0.05569330294238512,0.019961863872589254,0.04400371463478258,0.1399077330825654,0.049716204030459635,0.020679104661875714,0.06707751735246346,0.060523619944354186,-0.09683847131623567,0.08372148979246039,-0.02865467184702666,0.038229767580901165,-0.019855090076401027,0.045880723827251585,0.012619161046245133
MIA,-0.007648140208625867,0.02504098910015168,-0.006022481616407481,0.06829138960837049,0.011316158461145996,-0.015260857565582561,-0.025899711190496204,0.046142327417259,0.01708707305806947,0.09165028470407036,,-0.0066432735193899545,0.004231764472639762,0.09292541133106236,0.14596853001886795,-0.03828135819385136,0.026557947383121103,0.06761675047359933,-0.0541518763803618
COL4A4,0.05718259887452057,0.015507881481302582,0.09969352076948505,-0.04159230885420384,-0.051322342374599164,0.016851107565054375,-0.01362820939422381,-0.02124720976560558,-0.01969974304387647,0.0457020996794119,,,,0.06726466316926205,0.0755907265411263,-0.02762717077065889,-0.0026295476704735906,0.050308956502481045,0.02707851780235886
TAC1,0.006672775842671808,0.07854024711433426,-0.022269492251883974,-0.04582156965754915,0.07654228020713498,-0.05326226495312985,-0.008941890311781928,-0.09552158448975824,-0.026018908755580685,-0.054687353739718,-0.0664174562409726,,,,,,-0.012262299274224573,0.000736939951050864,-0.013886256381998424
RARRES2,-0.05839624229337785,0.031209589283717202,-0.006091818317480362,0.05438564292859536,0.0029229678733892935,-0.002259609360558187,0.011932423318994183,0.13106427730652448,-0.048146663977566465,0.0065825448018624775,-0.0032967118782035146,0.02858615231156864,-0.009586305884015779,0.03168969671906351,0.046516332858653746,-0.02791884721333807,0.05721802168338571,-0.006998233047488756,0.011284421120249414
FGF7,0.03677153620636802,,-0.0020493889689086444,-0.004360333288266069,-0.038179685874984035,0.037546434855935555,-0.019136014531536488,0.11978326607576995,-0.017205761299410687,0.005857631852138085,0.01851537941040117,0.025555800527653008,0.027823245737477895,0.013679243213693367,0.016792860561039902,-0.060988689507448096,-0.035808750467941006,0.05121710123275557,0.005369855622364631
EFNA2,,,,,,,,,,,,,,,0.07835927436595318,,,,
