,MGH258,UKF243,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,0.018543024810264812,,,,,,0.0791809549157898,,,
BMP1,0.029740275377370277,-0.02308049078273682,-0.014341183012815246,-0.04695339553183874,0.08690629535376142,-0.13518502072064806,0.0018244694368815774,0.0029284129786177854,-0.023370101634848615,0.053551934799889817,-0.0812949801501727,-0.10529752969244789,0.061017416746504176,0.009555933914835332,0.052091227487158984
NDP,-0.014152324293702351,0.006839660063810741,-0.03842665287720542,0.10080653960351656,0.011044197950381248,0.05528463521591686,-0.002038872017427323,0.023597939719058155,0.0827980789379959,0.05402868105984262,-0.01523793769256879,-0.033739628378932185,-0.030905133110195184,0.02288348178997654,0.014373576719264303
TNFSF18,0.1193334716175769,-0.019872593381385046,0.03520220268191456,,0.16429580364309512,-0.046608060329405544,-0.0022909662129870856,,,,,-0.027255390681078562,-0.008136857115321774,-0.03811429156666359,
IL36G,,,,,,,,,,-0.000683907667449079,,,,,
RTN4,0.08335951785260767,0.024755412408417384,-0.007792519956318874,0.15755132367795713,-0.06689788139459009,0.09119723555864037,-0.0025690682294610264,0.01903993430615315,-0.028146161549394755,0.03166399583203702,0.053288771695704513,0.18276133422974059,-0.039111856162232055,0.12142248744970319,0.014370779238241425
HEBP1,0.0574579172558774,-0.06283695611405157,-0.02644411676460001,0.01089915997895601,0.01973469852940026,-0.0785744844533423,0.030027581216680345,0.02669573703741851,0.1606790539009284,0.040286277096921716,0.010518636109473938,-0.01718793848778887,0.07449061290524646,0.0024497816811583496,0.01868210917407194
WNT7B,0.04196676991189675,0.059766640896590346,-0.028049530067948067,0.06726941066163995,-0.03142330917982244,0.014914509462313803,-0.013694194232443026,-0.013194805032284394,,0.0722198871356547,-0.03766213200215513,0.0033741412458075746,-0.04204014962203866,0.02543420718690432,-0.04381229668853219
PTMA,0.12235370677018255,-0.0598311664721619,-0.022154320401254354,-0.12182067165833767,0.10102885684055672,0.12350275961189129,0.010296428282068145,0.06854717089715874,0.17693500203031312,0.03272938663952763,0.06881186614164818,0.20023537631998267,0.08232725056102824,-0.06114143854875507,0.07118947935789997
FASLG,0.033158726575343245,,,,,,,,,,,,,,
CEACAM1,0.04253702977040539,,-0.021526327261518034,0.0331658693470912,,-0.0613335527968727,-0.027813571312100546,,,,0.04047448204358645,-0.01238862536838825,,,
PDAP1,-0.05546886386163246,-0.044059795931366844,0.02896300580685227,-0.07420949852738964,0.030657156844039368,-0.0770096217511691,0.005577243182120337,-0.015685628880834347,0.014489442713222743,-0.0033406873503155593,-7.98501319203593e-05,-0.06763966187317723,-0.0075101150393683995,-0.061323054574601896,-0.010356940498398859
QDPR,0.22328932813402677,0.011009938726071561,0.07309087305626517,0.19039433403995817,0.08916869163803086,0.20317781599779797,0.03882264563766456,0.0999710370691258,0.363677059639048,0.07050645318486949,0.20678114728007108,0.12168840040177516,0.08775478175422885,0.1406616332213413,0.1254397140404387
POMC,-0.02814619760188682,-0.006675720198441485,-0.011088075675926732,0.012611817531408295,-0.022865083697278837,0.0038497820711564192,-0.020519743932991445,0.056361241874629764,0.007560523103632181,-0.02119209961545803,-0.01748869434639683,-0.017232724053881744,,-0.0009721909738152169,0.06561805081837876
CCL18,,-0.02665078173305802,,,,,,,0.038744199636352304,,-0.01992674588036249,,,,
CCL17,,,,,,,0.015534930132545461,-0.016331469757217068,,-0.007768748966111981,,-0.04213442531332122,,,
VEGFD,,0.009899222438234104,0.04139960931836435,0.049051762558204884,,-0.052580863228343974,-0.02349887364193738,-0.011979330570332236,-0.03788832673439855,-0.038496189753721224,,0.03648924976038376,,,
TNFSF13,,,,,-0.0011339215933712406,,,,,,,-0.0005828299466265208,,-0.04146291261394143,
WNT5A,-0.08579206669366987,-0.009521062081495203,0.019708487039545038,-0.03338043921126974,0.05468498957515153,0.007855386182811045,0.022050355319465892,0.01933098053371327,-0.025438254088959996,0.013621425067173528,0.011438728162710738,-0.06701335923477993,0.03197965397189484,-0.050674244456758104,0.1462414600569007
CXCL8,,-0.036066362878862064,0.07164587981626744,-0.10488311131119321,-0.030571491341477887,-0.05741787569406845,-0.01947454936482514,-0.011155673505703328,-0.051970160784245316,-0.031140571180260177,-0.03638814761979924,-0.004817340648089686,-0.06861996576654475,-0.09832135349206528,-0.0537288595016444
GRN,0.10625632812725333,-0.06089572651632409,0.013351754009542202,-0.05820064133147994,0.07550868878343615,-0.044485485924770606,0.04600400860337411,-0.01427426835388155,0.06724758776758194,0.051734107271614996,-0.031032742500695893,-0.15237184305842164,0.07838588977253064,0.03518283828319168,0.03505703590283562
MIA,0.06281620788115043,0.13637119646765017,-0.02741995357402468,-0.08028129479862796,0.07286087003043969,-0.044848257972719456,0.0030453943767346976,0.09072344769372294,,-0.05272229605417661,-0.08098527289156308,-0.10475948739173678,,-0.07595377904041954,
COL4A4,0.0602259525134593,-0.030228061517966438,0.061540566505326216,-0.06864635835125013,-0.02655095928945141,0.05134653827852811,0.027137529459571662,-0.022887178898328822,,0.017473864618887322,-0.008138656476331626,0.004426996207963159,,-0.046341083071049956,
TAC1,-0.035843419893792,-0.03785829044240226,-0.03835131360798622,0.2061480054573188,-0.0036638440761841687,0.006407429114453264,0.024263219261397014,-0.036118800457791,-0.10459848438285396,0.008369088508435664,,,-0.05240315621804,0.06796931696153362,0.0256977503928796
RARRES2,-0.1408765445045951,0.003702029886486008,-0.012382583191772802,-0.1576658664894528,-0.002363000823833687,-0.05660603987771078,0.110036790442311,0.036662521468909685,0.0003808097212676498,0.003127910052038565,-0.02166295500697198,0.11933601908417349,-0.04532290770795337,-0.06187356242628789,0.028237274943172574
FGF7,0.048270861352581504,0.16198402600399375,-0.0045462008904512425,0.06811662614996943,-0.016744053309323194,-0.03322994746083461,-0.029319030984774636,0.007807470308061563,0.02260168443166353,-0.012183476409491537,-0.03386341325628994,-0.03155804972146561,-0.03945690090344683,-0.01924437329902332,-0.002728002098995521
HBEGF,0.10755971442106302,-0.0331339308073289,0.03079369978594512,-0.06156420826876944,0.09894223259203545,-0.06686832097581558,0.0027459187439198714,0.03700419844386911,0.06176528397695812,0.047501040091588446,-0.081413749370056,0.05367759595771123,-0.04444921300751226,-0.08361989982201107,-0.004454975870051969
CSF3,,-0.030228037586319836,,-0.02346677573995094,,-0.03272239176245928,,,,,,,-0.0057096057185815705,-0.04874551723468665,
PI3,,-0.03580961815568457,,-0.04191502950864504,,-0.03684584501335252,,,,,,-0.04509625129790705,,-0.06978423388678966,
PCSK1N,-0.08001996701078237,0.005411104363269803,-0.013166807131703172,0.04952631890002638,-0.04654063313123469,-0.008401919249122175,0.050440752732597474,-0.027900255795507728,-0.1432721011481272,0.019217073643876578,0.06508404648109566,-0.003363537107349165,-0.14382773318512332,0.09185433064117873,0.0032464296036743227
NTS,,,,-0.04021535151461917,-0.01005708469052844,0.09219077873445736,0.03836012358170885,0.0004956445725656984,-0.027739333689367627,,,,,,
SFRP1,0.20177302767251074,-0.007558997194100782,-0.06410245287954854,0.07578513325280196,-0.00865074504302039,0.018056119184023563,0.016281344712711487,-0.01633146992168838,0.03811770247292887,0.012185333801132157,0.04253887753904665,0.029502748241749907,0.24704286397933595,0.07833871673757883,0.1292383673645205
CXCL13,,,0.02170202046800093,-0.036317648159256984,,,,,,,,,,-0.03953923601587723,
MICA,0.0031721163506858614,0.01441606427911508,-0.00020798553318826675,0.02392231088417039,-0.02211560762750656,-0.047435910835326195,0.03089287983158407,0.0499493849680969,0.03158838150286015,-0.009535926501142341,-0.043440060708268224,-0.019180823624228117,0.059571892186089416,-0.06772856154504779,0.007825720629106723
TG,0.06935406985673717,-0.024096570707237613,-0.029271467858572958,0.013958207381928262,-0.015813591623051355,-0.030010795874826503,0.027201211141842128,-0.011819013741912361,,0.0082800647005531,0.051126929576721165,,,0.0162948955756195,
ADA,0.05025795860869116,0.05217885947443649,0.015729484345470484,0.016276368607790595,0.06703588544050733,-0.0332898901278836,0.002039003467358484,-0.01919502880258343,0.1405396882403718,0.033708010759094416,-0.05279924297152726,-0.07770432341847547,0.11177564460939841,0.014593124887434906,0.2012173702735215
LAMC3,-0.04992651194600372,-0.05343478236505341,0.025503950758627898,-0.00014790643625070464,0.04749147296648499,-0.07729838636222157,-0.02035748713639494,0.022662001878582385,-0.011322275989711082,0.0566551829168626,-0.0328463364610858,-0.05265370966511535,0.1027540905921354,-0.02944500220786341,-0.05998928533847377
CCL7,,,,-0.04815049623685723,,,,,,,,,,-0.031701876641957276,
NGF,,-0.017415231730743098,,-0.043427686661723044,-0.03570183370827304,,,,-0.00506871423327793,,-0.06917392244426729,,,-0.017712531881854177,
TNFSF15,,0.03334968117498163,,-0.03565046401878747,-0.024898470643337077,,,,,,0.020380405895254743,,,-0.04454876283531574,
HMGB1,0.07742411521059953,0.05828446732667883,-0.012131525045077054,0.014999653349607725,0.07703908638468672,-0.007845550636960503,0.025535242204334195,0.023950420585606598,0.023912405883926454,0.04114481222419535,0.05532891405958044,0.0618778720619958,0.14007833332378353,-0.0538068655957033,0.08066851619530716
ITGB3BP,0.027285258213698965,0.02748036819514963,0.03453949099542401,-0.004202275285043595,0.06297237686187633,-0.11335743022187363,0.007919288157270077,0.07713990720524891,0.04869852867530289,-0.0029138064047916465,-0.030802191088796695,-0.07130350676659752,0.17282557874268695,-0.012518189398830364,0.0594192274066612
AANAT,,-0.03121404918726957,,-0.007707679004682253,,0.022058093195073934,0.03672331140285372,-0.013623966458025261,0.01709967414180347,0.08207753167725125,-0.055300566468832864,-0.015589639299524905,,-0.02976395278614869,
RELN,0.03228280341937002,-0.011098122506476786,-0.021645337465119766,0.07936488560567542,-0.03698419903339342,0.061650545516613885,0.002242876035183229,0.005727879127866339,0.014565294839104874,-0.014739029472195965,,0.018638487532602208,0.06856514233797,0.1292696002345086,0.010787138811702892
IL15,-0.08128370272942236,-0.030625582814978642,-0.019573397631971776,-0.043669771327919875,-0.03084599763095291,-0.06150664148673745,0.039035285251413795,-0.029282368759059416,-0.0014427378979050272,-0.01240256550660621,-0.03557900241415471,-0.05391225752655116,-0.05072057348235665,-0.06499037631215795,
UTS2,,,,,,-0.030125780762542114,,,,,,,,,
BSG,-0.17417074989737752,-0.03490443563907031,-0.02349527529356665,-0.04970524109301914,-0.004813490255033771,-0.13214203298349836,-0.09745937144897128,-0.0167181615268698,-0.1004815085170683,-0.10735934602062615,-0.09121708327830452,-0.12800107352264165,0.10291090818996278,-0.05447762164573989,0.01900607475430189
ADAMTS3,-0.05803948413808233,0.07350936365345447,0.010195831512539819,0.042674879437318396,-0.01762081198679737,-0.07035282932561235,0.03087839023507556,0.021531072898884573,0.006996986637310055,0.015291469463412583,0.05716906672374498,-0.03205532808617387,0.1150128592965036,-0.0464988491565036,
CD34,-0.0464248742264502,0.01629428732241097,0.04189402410841969,0.08788427569627527,0.0788278862345235,-0.023567922410026327,0.03472530231682534,0.042284767651943764,-0.048972975027382834,0.07164062514640776,0.006716660265135169,-0.07043569055080666,0.015070053661201815,-0.028680851507359315,0.14700256219748398
CCL23,,,,,,-0.033585072107505276,,,,,,,,,
PLAT,-0.007183189733654926,-0.020563389722989173,-0.0018549227890850453,0.007567006440610252,0.02275815872381516,-0.14445319920055952,-0.03351904415657996,0.04582612516516709,-0.0598465122828207,0.07041942705364797,-0.004576614991948909,-0.09723626043699451,0.02011285150155226,-0.017371533979823352,-0.012925781748670435
NTF3,,,,,,,,0.042524294982934564,,,,,,,
LTA,,,-0.021526329470504785,,,,-0.019245868305659136,,,0.0004024998947482089,,,,,
CKLF,0.10307483591864838,0.04244235392397244,0.03276233844862008,-0.03703173944704197,0.036964761539509,-0.015663674243627232,-0.012927746274713877,0.023276707496079647,0.14332179411111629,-0.027657039945187062,0.0016816173333516235,0.020913653923913332,0.11619131547285531,0.010317014930100484,-0.032827230912154746
CD24,0.09026539256824305,-0.03418704897529576,0.06602382178309354,0.04191746730779356,0.011372906053315122,0.037290921795499754,0.07306189683679558,6.269412791961207e-05,-0.0017709385248772243,-0.007086500468386399,-0.16495467463182356,0.022971618334258193,-0.05918743832147518,0.03189727406991898,0.01864955751704196
HSP90AA1,0.08270624047960996,-0.01293314385643798,0.025918925806130075,0.23482420331587114,-0.034274134863159944,0.06683205524942383,0.026490056409683937,0.07976284544021578,-0.16457053590473042,-0.008068867739197329,0.01946620896727408,-0.014966950505863092,-0.02941476604841879,0.0772797034913028,-0.007517975529830704
BMP4,-0.042720908116476025,0.02681168902656859,-0.02281917111229119,0.02136733555483823,0.024959639166374167,3.0742444996268354e-05,0.010368043701435733,0.047741107992300684,-0.0039490956026848436,-0.0008215504458090197,-0.0009554032554192205,-0.03939467110805518,,0.007344349621884987,
SCGB3A1,,,,-0.03825476582268696,-0.0206294522553719,,,-0.01149194895912953,0.018966511209923195,0.048036965127565105,,,,0.05124808481510841,
IGFBP4,-0.024092940258701984,-0.0019331455815719514,-0.033775394250709384,-0.03537619408535762,0.012551123556190842,-0.1497833356712808,-0.001763024139842807,0.035094875931583204,0.02553991585380578,0.007733982838939019,-0.03747405411934742,-0.13293111796657608,0.05171546021134898,-0.014613726928794176,-0.0678399637906605
RSPO4,,0.0318305103688437,0.024275149518424657,-0.008805995923570594,,,0.040849247588107415,-0.011491947278172028,,0.004478935295342158,,,,0.021967304362256787,
LEFTY2,0.02763984015917274,0.11400945651177932,-0.021790705548139232,-0.010657676046704912,0.1234172961891009,-0.1182821195430039,0.017364239823184673,0.009738259124223245,-0.014781168247713482,-0.003222735840074199,-0.014722734278667618,-0.1442907707660998,0.0012836708569163818,0.05961251410092104,
PF4,,,-0.019581122387603605,,,,,,,,,,,0.1269123246679954,
ANGPTL2,0.100115020729891,0.042567819006446427,-0.003893468150080141,-0.01898438493873829,0.08084883617767022,-0.13981295143197184,0.02329725418935323,-0.03384504918910376,0.20173534519901837,-0.002368074416725245,0.00710811910208433,0.04675220633514476,0.04563078923028696,-0.05321049074853862,-0.04792749281803531
LRIG2,-0.08885816672885788,-0.0021594046481438834,0.011426901714713746,0.021682719812185718,-0.01699300820261902,-0.10610399155194178,-0.0032679271117603886,0.029138392065549405,0.07785567864446796,0.0023276333262578965,-0.01232341446792941,0.04510556590830077,-0.08835038372773137,0.08449127608421646,-0.050579697714748316
ICOSLG,0.09308209601136744,-0.03688594931882062,0.09801843829086715,-0.05931966094516056,0.09646808874355078,-0.046628539636702486,0.013398347746837553,0.09488118852677982,0.17174946829853058,0.055179897965280916,0.1096870209110628,0.03448961946968373,0.09752488025377637,-0.031022833922570887,0.09414637594092219
WIF1,,-0.013845413402181506,,0.13775066531468858,-0.07911416526252192,0.023320187620245476,-0.0012141947054701155,-0.021625465424277093,-0.11410878649048606,-0.10047259665646997,,,-0.08142297527475842,0.03034171234398326,0.0979645388957547
NPPC,-0.06225792137780053,-0.04341814321541824,,0.034782028658153163,-0.028352767265287574,-0.009228602730889674,0.06045997169285306,-0.015970994393088772,-0.035310036931059906,-0.06987638226525993,-0.021260659671863642,0.012450900577773033,0.07524991501251864,0.08800510903440793,-0.07985495286342241
LYZ,0.12051776864506931,0.02541759568246296,-0.031698759193460574,-0.10978974795658539,-0.022512889649944332,-0.059467097023948104,-0.01749811296675591,0.003438712221950191,0.06228067772555692,0.014591859267151808,-0.009740048204630087,-0.007848643241990224,0.10226336278891138,-0.10693921985497874,-0.08517099460815035
