,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334
IGFL3,,,,,,0.023228778585558368,,,,
BMP1,0.0150310603112816,-0.035674113590695625,-0.04193246295179965,0.01910193074172184,0.02663567645840901,-0.0463609905297724,-0.021442937060918883,0.03867456710909518,0.003084192174658345,0.02846360959999874
NDP,0.05204712515677166,0.026544455929760687,0.07281684786352867,-0.040139858448441625,-0.024640108880088645,-0.027057991219851068,0.0015962385687923462,-0.029966621775656295,-0.02282205011631776,-0.02657801226836564
TNFSF18,0.01373750369105423,0.08030843991604031,-0.02528979802809401,,-0.012941573842852242,-0.026928013472289083,-0.02854175747600929,,,
IL36G,,,,,,,,,,-0.01375291054121208
RTN4,0.057618419069128575,0.05906872528125488,0.010074253436564557,-0.023610382056465654,0.03629492449686969,0.02166672007436841,0.010463880895939283,0.024044504270919767,0.03004247930545478,-0.005989798523209473
HEBP1,0.03514101992435354,0.015383909126762773,-0.05668188231583497,0.007590449870085608,-0.022889349957073982,-0.05894315864932172,0.02403951468039632,0.010895381340604882,0.012318643717245692,0.03568576012458369
WNT7B,0.012261583164820605,-0.03852276250562122,-0.015709238582761135,-0.015035867417271495,-0.0073515724147120475,0.03035306706057846,-0.031223552604316474,0.05036067995101784,,-0.01511603358944984
PTMA,-0.05355440246169849,0.05982976070060163,0.05633066048720983,-0.04961343726623215,-0.06617553566363103,-0.011131126191730302,0.015699255525803625,0.016929402834837567,-0.02216168255792176,0.048779221672063715
CEACAM1,,-0.010245774544442202,-0.012055895765191327,0.02852970856263021,,-0.002581022168998931,0.027818449284856217,,,
PDAP1,-0.04801383805984772,0.037361253463654404,-0.012042796244386571,0.0566159700564455,0.041071489118904965,-0.060374986572699504,0.01900492077107762,0.0252300033292888,0.014075569214030201,0.017237421795249896
QDPR,0.03385238013188757,-0.0779202099139287,-0.04734753847795778,-0.007754864694415513,-0.03006161424056626,-0.020822180764679666,0.040872511992581614,-0.024710939950216216,-0.0004333036975117624,-0.036067971431490244
POMC,-0.049196926742217345,-0.020641618040637345,-0.021421403345818518,0.024658869743539896,-0.02158061995914209,0.043525277242837924,-0.033117598346145846,-0.03579079368476345,-0.01445820101094479,-0.02946575824007698
CCL18,-0.04755406379961144,-0.030424333841382566,,,,,,,-0.01713694400401277,
CCL17,,,,-0.01767747861067416,,,-0.027348131346509534,-0.010473952891640409,,-0.01256367422439512
VEGFD,-0.02952942666220592,-0.03042434350253355,-0.017267651916911243,0.009664418099974433,,0.1693186344072233,-0.005852496082947123,0.021216622858869265,-0.024509200777271346,0.08547979246676367
TNFSF13,,-0.022959185918467944,,-0.012193529111989291,0.07614816419326065,,,,,
WNT5A,0.06172002593801686,0.014539255948436604,-0.019867824977766794,0.01148259442825065,-0.039436743405945274,-0.023856072785168707,0.04832644493470683,-0.03635286385888756,0.001607717625806449,0.013264567684458857
CXCL8,-0.04184858956053863,0.0014618128012884122,-0.016168405768625736,-0.006520226645661717,-0.01785245268951333,-0.04769822833870707,-0.05465820922565691,0.0017171320115432532,-0.025387619438535097,0.008591669459390092
GRN,0.06353545182514053,0.003950941546569411,-0.020551721314174837,-0.027788718272419327,0.015238819968216967,-0.03781904944338593,0.031224634071148415,-0.0377059595936813,-0.008181511131662864,-0.005508102723003675
MIA,0.021742552911530356,-0.035251232924718594,-0.01535664203924748,-0.02893147371656118,-0.022693953897364366,0.009788332448773796,-0.01462971950115706,-0.007996843199463002,,-0.018440768586261945
COL4A4,-0.020027162923920618,-0.016081955016597514,0.09134176122733069,-0.029328660942025186,-0.011941366968201233,-0.017869424239364686,-0.02918508464910713,-0.02958113147540501,,-0.01788822966456258
TAC1,-0.04943341079474817,0.031713739691387896,-0.016701678999874143,0.004811814438106329,-0.028343464948886274,0.0755115928867996,0.013515178934379975,-0.04604603939284847,0.02376572683255095,-0.03170168665463845
RARRES2,0.03227433991047317,-0.022458846505531833,-0.030169806462734948,0.07753083930327738,-0.0006795800760165596,-0.021090663552669447,0.07986699224594923,0.007362043425689911,-0.044421808465210766,0.08306024542522483
FGF7,0.010381112834238912,,-0.019489738114043084,-0.022146795256642926,0.02049389909661528,0.0037026760809874353,-0.004729438857516838,0.011290118890735815,-0.045970740800300704,-0.014604579243099589
HBEGF,0.05069504490286443,-0.0045825843811865535,0.02890186154191741,-0.009467656459642811,-0.011499354180794737,-0.02458925420511603,-0.042091733521634055,0.010293137993387061,0.020801629559316477,0.0472161079445605
CSF3,-0.0539371055721736,,,0.019852678459490677,,-0.018905506901541195,,,,
PI3,-0.04332337293303312,-0.03200768194441964,,0.011897014335104608,,-0.021287850296817682,,,,
PCSK1N,0.12671872402786902,-0.011557966753125672,-0.017080996975865053,-0.022154781353812263,0.04303814593473769,-0.01278362415923212,-0.03057560946550237,0.019435528833592324,0.01677288645501468,-0.03884724472603449
NTS,,,,,-0.014577695891944907,-0.02323714215122147,-0.007792286882032248,0.08297635837260912,-0.022066153718960896,
SFRP1,-0.014935887265080607,0.016186476234273182,-0.03571625625548596,-0.015424283385832299,0.00604949517256789,0.05110890845697848,0.026038335256969126,-0.023169739331635682,0.02745117435201535,-0.03587485420418281
CXCL13,,,-0.029152190274292097,,,,,,,
