,UKF260,UKF266,UKF296,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.0799972113452759,
BMP1,0.01448833238742522,-0.03998581893877733,-0.008018794416161724,0.029766083737788454,-0.04364562125697531,0.020879740864921358,0.02189230689528259
NDP,0.015708736398454846,0.04528882526119488,0.04088665285919394,0.034443889974940814,0.0014382076465291275,0.016338435127595877,-0.0023378243278080186
TNFSF18,,0.08602806588461495,,,,0.0583428329473303,-0.036182616163567556
RTN4,0.02019965274156405,0.021783793003919617,-0.008426445280508902,0.02219834581123241,-0.013290012416426618,-0.0008868191690413273,-0.0384768655642449
HEBP1,0.034897730421397245,0.04447298808182904,0.010872460746684711,0.005357076091862158,0.058967140380176204,0.024473187728543414,0.002581490051520312
WNT7B,0.02742151159174182,0.009513537143514907,-0.010578797228736465,-0.010564061937570418,-0.031243505882955828,-0.016939777876631767,0.013654702275422642
PTMA,0.022754684157577223,-0.05537172805867409,0.030817781734307527,-0.042311967135060156,-0.06537021915740868,-0.033968967527382765,-0.05756044464675141
FASLG,,,,,,-0.020722327806634574,
CEACAM1,0.06635484923968211,,,-0.02033424051094888,0.016103705926622282,-0.01426536631501156,
PDAP1,0.016720774027565825,0.032589371774331174,0.012932186270855142,-0.03192936134609311,0.005078140535583012,0.005752976897396458,-0.034307816051724345
QDPR,0.04352342801621149,0.02232699512835345,0.005025849589348948,-0.01738484508677473,-0.005274967070392882,0.04373129148472856,-0.005444441192026733
POMC,0.03027937856566109,0.020980215011761203,-0.028452767090779908,-0.021390420042397818,0.04600992000655426,-0.040132394405555744,0.08420094647495899
CCL18,,,,0.0920313492458708,-0.07141216014220472,,
CCL17,,,-0.013093585436550429,-0.014426159437612197,,-0.018782462632751826,
VEGFD,-0.023286621402973915,,-0.009604303264010306,,,,
TNFSF13,,-0.014474593009759567,,-0.027681633118386784,0.009498403381996246,0.0643858193552568,0.037632833646025696
WNT5A,0.022978862685472584,-0.041179239540864485,-0.0008778113864715681,0.04474211127830124,0.03429581871183229,-5.9012600973840046e-05,-0.009156218227597593
CXCL8,-0.07190550436801968,-0.002683886688310791,-0.008943944808435843,0.0047407747852089175,-0.060917956086904486,0.010097925142545278,-0.028157831662698914
GRN,0.028281449262275694,0.03210411552764178,-0.03435274987889021,-0.023054350951427383,-0.01025095828158366,-0.029427858982372948,0.04124316124670273
MIA,0.07171154227569751,-0.026172855749205262,-0.010922872315377745,0.04274416109890519,0.00044325435006627514,0.12443794937723357,0.04888065346180266
COL4A4,0.0006396618747679085,-0.013771935755247709,0.029223465492597495,-0.026494700139666358,-0.005884640938655437,-0.007725155019443837,-0.020519277512721427
