,UKF243,UKF259,UKF296,UKF304
BMP1,0.16389631772678487,-0.018885485180634383,-0.02179057671744576,0.0172932961049401
NDP,0.05725556864533845,0.047655324948300506,0.03557655812966012,0.05597078246543362
TNFSF18,0.06089717799349481,,,
RTN4,0.012777838455862185,-0.014831590896636498,0.035498143936101886,0.017139475334551617
HEBP1,0.006915843298255112,-0.012336092133825641,-0.015097019173287488,-0.034498181037002605
WNT7B,-0.021091565837019002,0.01784035510916061,0.14161543953156885,
PTMA,-0.06216555929393559,0.047054519366641685,0.00045822014138774826,0.024610778972724304
CEACAM1,,0.0005933403046846859,,
PDAP1,0.01805394198261719,0.0011690418241748122,-0.04982276573540754,0.004678384190126336
QDPR,0.02961102306205182,-0.03361112491695342,0.012701509213253269,0.04670709223291384
POMC,-0.039653348412488625,0.0008054428976743857,0.0364562946277476,-0.026749826007771343
CCL18,0.03368206870270454,,,0.044021243570934294
CCL17,,-0.014555480165642011,-0.013920452137018719,
VEGFD,0.023178768349153993,0.10667967120339802,0.18535688774922285,0.07249417763375308
TNFSF13,,-0.010040044456994537,,
WNT5A,0.057135411352045196,0.0035948358726063247,0.006632489853118106,0.0010039941359373623
CXCL8,-0.05303008982486172,0.008483722572820098,-0.009508759554462369,0.04252520470425633
GRN,0.019264992905084228,-0.03050035131712388,-0.03842133427099003,-0.020290430834927414
MIA,0.025089206492621016,0.0171110346339141,0.038200915610072446,
COL4A4,-0.03194443711245655,0.08547291696419988,-0.019508340837772923,
TAC1,-0.024713458556616944,0.040212905403492843,-0.0022680017696725193,0.015650054897895834
RARRES2,0.02435741930198148,-0.030436858253882804,-0.05596835730572399,-0.012151728359506737
FGF7,-0.051502267072321556,0.03370815336415669,0.02179205673698882,0.03228579145938402
HBEGF,0.022136689306773448,0.009313722170591739,-0.026222364770394413,0.04078861244231623
CSF3,-0.03194441182195027,0.12002379853108402,,
PI3,-0.03784291938520259,0.03185473929361102,,
PCSK1N,0.02581207698000412,-0.06009225631872225,0.06796003741243095,0.022189011203165816
NTS,,,-0.005374968806599657,-0.024442794181228373
SFRP1,-0.03682368189442256,0.033597359131998995,-0.013920452277209104,-0.013157502553816263
MICA,0.04808979588789877,-0.008976395446638427,-0.017170394624070422,-0.005003185403107295
TG,-0.02546479492658512,-0.013705548521914355,0.10313043028328178,
ADA,0.023396225836438522,0.01596076093924757,-0.01636126348009664,-0.023102829447490612
LAMC3,-0.029449979194768577,0.02421600520488708,0.013046906504184523,-0.035719054287835734
CCL7,,-0.00990908968358755,,
NGF,-0.018404083718399373,0.002510816264738177,,-0.024442810275186584
TNFSF15,-0.022768148451998246,-0.01103425601004291,,
