,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.013231778299656929,,,,,,,,-0.01971269393875708,,-0.03295376340830094,
BMP1,0.014581448986118921,-0.022322022029600447,-0.02173769559784941,-0.03733296651411719,0.06520491011301895,0.07475218503688222,0.05710946538306337,-0.03149423275152806,0.04469244030600249,0.08088180140545892,-0.0343045135567849,0.03181383993891318,0.04156483551915637,0.015040482802179332,0.13049699875979143,-0.02610090272164685,0.059578555683916935,0.008720645394807224
NDP,0.042728149306977985,0.02156317457998109,0.0806741922697716,-0.009761250465568767,0.0015371936677823052,0.062220537957384206,0.023513583429463088,0.08838139692702875,-0.0005419916214464632,0.09339154082830729,0.07193269375509655,0.015685271505016432,0.09974223322825444,0.03406846390893543,0.046472258408586056,0.03816285316388628,0.031837643715387276,-0.04121499087693503
TNFSF18,0.03347315635533515,0.0006408067868501007,,,,-0.017104138321718497,0.17840526277493196,,,,0.23661458274855288,,,,0.029837769291209973,,0.07117069590741883,-0.015068659267597467
IL36G,,,,,,,,,,-0.020265310531677388,,,,,,,,
RTN4,0.03652198815690958,-0.045531081535084825,-0.009810741336436446,0.011631705834999213,-0.049685634391281895,-0.02015818549264788,-0.017826184712117936,0.0072569177812405496,-0.04244793824100456,-0.07205678919834119,-0.01889418377952889,-0.020834585726558014,-0.08799457988883438,-0.042628989756768806,-0.14161400031324195,0.10210424173593974,-0.02343281475896412,0.07175175642212471
HEBP1,0.03813412988596468,0.014750203356191677,-0.00490598964390848,-0.01604471595330703,0.02653892349712896,0.020717833322216148,0.05366391307985653,0.030021063720766916,-0.002663803511636021,-0.03799113067789527,-0.054579482216702745,0.008902877279458836,0.021068765237207784,0.0489425955180871,-0.0033915926603350264,-0.06419612701596802,0.019085509266734847,0.03611776779200771
WNT7B,0.02279667442113585,0.006780251870230027,0.0331357135643698,0.022180982477991315,-0.027128860732238472,0.008622785007483069,-0.004319220423619909,0.15532096343106538,-0.031224767269475182,-0.02227391167706012,,-0.03046731953947147,0.017111178123256278,-0.009008657217630467,-0.03072828425178027,0.020090148086572626,0.06350441231840159,0.044484949156538806
PTMA,-0.04140969859098667,0.045294970832931096,-0.0037809888824954316,0.03812461572182646,0.030882876077300638,0.08595531814592024,-0.05736009218447471,-0.024031100281704864,0.015166578890097628,0.08091698530121583,-0.08458910481025492,-0.08183029210844148,-0.06639531669127267,-0.04535348214787832,-0.05933939088464662,-0.019526497687941822,-0.012810629260180112,0.0021801805304098552
FASLG,,,,,,,,,,,,,,,,,0.028956265986482533,
CEACAM1,-0.025867369347397032,-0.017018620588831617,,0.03422894014021042,0.021192018123348116,,-0.025856693195093462,,,,-0.030603808580405262,0.023248865010734143,-0.02750953611389897,-0.016687431916601842,0.14086051077390346,-0.023477985683094643,-0.0180495992526723,
PDAP1,-0.01951246310816002,0.021805853261617936,0.04393991845054526,-0.009871609971057009,0.02228900738042598,0.044418768531215416,0.00012499342838433522,-0.012749146097819117,0.03631656300795072,0.047403804153459024,-0.05616311928193998,-0.015385046184086667,0.021752419618373074,0.01707681200511392,-0.0006778911505279742,0.024232147532630578,-0.03393091949343099,0.0025118569839519453
QDPR,-0.035814545804178,-0.01908966979624604,-0.01500387070891067,0.04981893242925207,-0.06015567693333697,0.008092184470348658,-0.07453406648941609,-0.015211000970329833,-0.012570422655139562,-0.03583608111328548,0.06192725982278201,-0.031471725408195116,-0.007819552956378666,0.06087484468271475,-0.06447200693115908,0.013542720617456459,0.06544228929095543,0.10190632158006316
POMC,-0.024603626872901747,0.0227400047406692,,0.04687860398801433,-0.03383188311972285,0.015113756879438677,0.0021422768515524295,-0.022694553308459667,-0.03215892576413997,0.03504769312154848,-0.0002864721043164386,0.02985793346380877,-0.023488744244646524,0.026492635821620075,0.06641366622833537,0.011991627062166183,0.058846797165180584,0.02938476279690612
CCL18,0.055372622976110175,,,,,,,,-0.039960750300870256,,,-0.019372867582335404,0.0041407617460386265,-0.04074960370481946,,0.014297153275255844,,
CCL17,,,,-0.0036877346062762265,,,,-0.014891941211867748,,-0.018512936502658218,,,0.0958039545411575,-0.024089355599143606,-0.025990048254109333,,-0.025905273922773555,
VEGFD,0.012240383931382515,0.03137734476564054,,0.07626687754359013,-0.0008694793653817782,,-0.022166777993949567,0.09374234938826863,0.10236236589544513,0.01352095504261553,-0.01829780027353087,,,0.07864880576479275,0.06424198640759687,,,
TNFSF13,-0.024359556416024154,,,0.033141312331215096,,0.0052042249522925195,,,,,,,0.007603577096686487,-0.009881636214976074,0.09624140917336452,0.0013339615792168562,0.029615729300053913,0.04674991806653716
WNT5A,0.01752081449242804,0.06701827381039867,-0.08859330704581779,0.02718857605221304,0.055309415965559876,0.07747425605401839,0.07275010829906156,0.002191471732885775,9.971125371781342e-05,0.027937484144660216,-0.09592725657280546,0.032312463078483296,0.03760317263099957,-0.0021276994789113262,0.0031026055730929555,0.0134570557313448,0.08711817794556011,-0.01976296093497282
CXCL8,-0.009863135622085866,-0.022824016453177335,-0.0036851936187938163,0.07111931868562138,0.024556449902298657,-0.02359456615487456,0.03633314393622021,-0.010172362714158653,0.02291580212833324,-0.030110682349676444,0.09205363613675516,-0.03410898350561046,0.0373401133438111,-0.07938385221077537,-0.010317824538216424,0.02485473713219516,-0.0068482093457445025,-0.0481371855480372
