,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.016179703224371282,,,,,,,,-0.005029684316127972,,,,
BMP1,-0.028317764449433694,0.07929139662194289,-0.02120821726150018,-0.04299498845647523,0.007377389954461715,-0.07141572834916507,-0.05308760436386913,-0.06561021622511293,-0.03184413753914883,0.006408306059709183,-0.07434803391219916,-0.018539527586402746,-0.034970483645768734,0.09957207090102392,-0.024110921446062864,-0.0467282979055157,-0.05094714511345487,0.0003234104184887277,0.010403751760229275,0.11507404238673104
NDP,-0.00374267887756641,0.10501279342202535,0.019737273385437598,-0.004118177561384223,0.030525989272566285,0.056844409866194,-0.012186047646788765,0.03632207327861615,0.0658281373941019,-0.03690795241655288,0.06047629143593772,0.00458388856867887,-0.0023522388174803243,0.012935218241996973,0.06686312208555938,-0.025829911353983628,0.04725663425094069,-0.015808325933987948,0.10284430427020844,0.046056039203545854
TNFSF18,-0.01834840012506025,0.018065229034865946,0.027488816114827855,0.088488897812605,,,0.012791290084598417,-0.024026373560190138,0.05646660267091301,,,,-0.029395991234881562,,,-0.03326990497093572,,0.054989875434835064,-0.03174722890821226,
IL36G,,,,,,,,,,,,0.013836523673625497,,,,,,,,
RTN4,-0.051332167254749164,0.017173862389820705,-0.05504328968321528,0.03227728569420039,0.030157091343113184,0.043846905478057106,0.02448266046333655,0.05099127216639446,0.01420865990282402,-0.0012872409572002952,0.09343928273290686,0.07564974524314932,-0.05773368118188734,-0.05968150082488147,-0.030285923042747277,0.041106061442513046,-0.06248861528433273,0.13587701506505517,-0.06730626731512775,-0.012655558571631798
HEBP1,0.07224873295311532,-0.0008858220669414993,0.006034519853004888,-0.00012851048395772576,-0.0036069894663424713,0.04846883707609198,-0.01729270249673904,-0.07176399885524841,0.021491337942447973,-0.02436430869468084,0.02831942562908579,0.028665963853458595,-0.008644272126495989,0.013140875532554571,0.00835078004401887,0.00528054511754321,0.05775429168962262,0.03731777001927076,0.014977078986319519,0.1622523278015895
WNT7B,-0.008452048005833669,0.06763389639299135,-0.0034737980705992276,0.008712715669161068,0.021856111845613528,-0.026871829871792152,-0.005556688491980456,0.008729315437183078,0.036225937544070615,0.022473192360533394,,-0.01192637329393818,-0.03236211714183178,0.0020029251852121204,-0.027743756189046138,-0.021705819232388266,-0.022338907314927818,0.022442055811680826,0.034996071918242916,-0.024558304540440012
PTMA,-0.048941592731177166,-0.03992171328705758,0.0785464585888868,0.022222121768300327,0.05289125157029881,-0.0068136962473766315,-0.06536083034967792,0.023452117530633386,0.008770644784602235,-0.03037777875240477,-0.08101508879284477,-0.08414891944133826,0.019619866980509562,-0.09339783526234356,-0.0026097979208560967,0.0017223690124227391,-0.07973085301043173,-0.02777561091840168,0.06258537149449359,0.006377494453974359
FASLG,-0.00925885715683971,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.03274449506876997,,-0.03360606928886253,-0.025150403064808115,8.39713004528752e-05,-0.024078172407890713,,-0.03161733916529418,0.0025923418035721474,,,,,0.1167569003012021,0.015720979761947276,0.014592377213762418,-0.014826657675293895,,,
PDAP1,0.027148826266532002,-0.046424966061073145,0.021257022509249938,-0.006488553064172605,0.0013610936292040856,0.020585563114461917,-0.03132678690044568,-0.06889319279908075,0.04975389671231537,0.02074008359687351,0.008188162402775558,-0.04057415504669606,-0.07168154132387308,0.05105711423767051,-0.047043387780458745,0.12607424932087935,-0.038568715564916534,-0.0537450098915027,-0.029700146796770927,0.07012671706939849
QDPR,-0.010822029700640232,0.09975433771867631,0.11522363293815197,0.02599468599604133,0.021071180708376762,0.0027589021815246383,0.06356420567059803,0.03068381529322795,0.01627389212944646,0.02920993426214171,0.0418122316996425,-0.0019089104042070712,-0.024812626326244043,-0.11303901371010008,0.0954072462655938,0.06356694764279293,0.07070299780584094,-0.04273526295463775,-0.05116109457153255,0.08715019700569222
POMC,0.02911915346729724,0.052378685786293414,0.02122370306834633,-0.0007936472327267819,-0.021884792889824797,0.019030002251380754,-0.014144300257016828,0.00928108308592019,0.009208358018755174,0.03271839668095352,0.05396771228521291,-0.03484532833964314,-0.03867898645373685,-0.0398657540665125,0.08373724476828721,0.022119463268578842,-0.024254464243531837,,0.01945449909089783,-0.08956998208611207
CCL18,,0.044236307447528884,0.005290141036856153,,,,,,,,-0.004425576010587964,,,-0.023230425642425848,-0.014693710921371499,,-0.05105923875994199,,,
