,UKF243,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,-0.012843352892642466,,,,,,
BMP1,0.07091412676951628,0.09367324451922124,-0.014527235873562007,0.02008815393983023,0.1126051618268343,0.09492512857432099,0.0015406770150490304,-0.027605768897858745,-0.0071377948222316676,0.0041461806136714975,-0.04074477463519571,-0.11560901335245433
NDP,0.013143140302863213,0.037125312429054154,0.06138408007051754,-0.03025960589818201,-0.023832410237291102,0.039132678479950174,0.024403282618420237,0.004393506946815076,0.05404269490892937,0.03605972526733095,0.022052642029101583,0.026248248770304773
TNFSF18,0.07452510557723441,0.04941917605641856,,,-0.020842227102422464,-0.01907199347755449,0.055339534034954466,,,,,
IL36G,,,,,,,,,-0.013552787509216431,,,
RTN4,0.015821387241116033,-0.0025429054263834787,-0.015481192389718465,-0.001184488913651035,-0.015455278778180061,-0.007477575934849287,-0.015881256741038723,-0.04361460763370696,-0.01714278485837488,-0.06137699482808216,-0.026364629474230294,0.09186128108785743
HEBP1,0.007991962210067096,-0.003274565182452536,0.0043536753170931594,-0.005698568456988939,-0.0026501051045253765,0.04279279267844911,0.037655085768354774,-0.009585070652171268,-0.04763595751104033,-0.0046572595596220375,0.009549055274243675,0.01866692070466351
WNT7B,-0.07040728130784243,-0.02082183688868571,0.05812052158403038,-0.048577137003413755,0.05868414057731948,-0.03925014463373204,0.009482849865976799,0.045179451817160654,-0.014896075314828347,-0.009927213263168257,-0.02310175093465309,0.1130282524353334
PTMA,-0.098118957168918,0.028557314223505114,-0.025237343034304388,0.0341604526030697,0.07640354374844302,-0.052696583365886326,-0.024462386583255384,-0.00018665156688762777,0.0484050089026591,-0.029872535238874728,0.008227900257296743,0.06983021163812715
CEACAM1,,0.03022591596604189,,-0.017160926469475403,,0.08965869834570955,0.041848118593578336,,,0.10770621624110108,-0.02664322020347114,-0.020476306435951788
PDAP1,-0.06785940361993628,-0.05282132897858988,0.009042501827254816,0.00617984253429999,-0.010685831023630611,0.01270778548232441,0.028535405506781814,0.029332578308021183,0.015726809207059142,-0.03857306558852991,-0.07554132319651932,0.004556728753029349
QDPR,0.023067742954557456,-0.019849487614668624,0.0545572897140825,-0.04942335128352178,-0.011664612024689191,0.0011680799101105469,-0.043666062083496084,-0.04176529533035433,-0.04731416478342946,0.06246242006882725,0.045468477702266606,0.04897353092812544
POMC,-0.015273654578678252,0.048332022505969664,,0.009395075539602383,-0.019660821184200025,-0.03235227148298824,-0.01830631210737067,-0.006170432198444326,-0.017414959702392863,0.1306387625712996,0.13042070574339343,0.056224572762471316
CCL18,0.08764944991761714,-0.0315493896454,,,,,,,,0.015076929747043418,0.010281447138914358,0.01602721450674359
CCL17,,,,,,,-0.019676914289134442,0.07796761839805968,-0.012380856153176141,-0.020837757152178955,-0.03846116100999204,
VEGFD,0.1367310293574845,0.011858923858623315,,-0.01641860282593852,,-0.021516061244506876,-0.020964087878764234,0.08049361945994506,-0.013268947015785886,,0.01905820867225345,
TNFSF13,,-0.023808189400606757,,,-0.0021883856023656822,,,,,0.05775259145262735,-0.031512199651814496,-0.03669067032796468
WNT5A,0.03188192665093473,-0.012006078958153952,0.046544126717892896,0.03163787429902352,0.10183065378054153,0.0868423396738809,-0.03840076637042788,-0.013704591978015131,-0.0014711748028360175,-0.0012491019720033032,0.015176115415262014,0.03375607822197886
CXCL8,0.01603272469265489,0.02724000873947565,-0.03364731033984273,0.05725408691880266,0.06288929240425303,0.026024307505639967,-0.012054563990727029,-0.008648217446388173,0.04737807813934343,-0.04348783951411739,-0.1271048557085678,-0.006402832934574631
GRN,0.08501837134667338,0.055945856522308296,-0.02831463002152524,-0.030960087889861036,0.07374811505895128,0.017056577164674874,-0.058177144422105295,-0.002171565048428397,-0.04814868889651734,0.02693807525421026,-0.020285963230174963,-0.056972833471594146
MIA,0.09919445411114389,-0.005262185910557624,0.0414093677163127,0.07202861725695281,0.1401807179299658,0.05760516245604616,-0.03867523531972057,0.043578273262644254,-0.01817243102158761,0.21679396454843505,0.04215606520243488,-0.08627121587846814
