,UKF248,UKF259,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,-0.01522498243555913,
BMP1,-0.011182079230728184,-0.026180506727856986,0.04439762682448091,-0.00022330516414445804,0.02183048090117551,-0.040084283718272815,0.014939170243529795,0.037177682752224966
NDP,0.02229392562908941,0.015405088467516414,0.08496568561656512,0.04083375176903995,0.0811842598694399,-0.0701505387028166,0.04619324924878856,0.05527304054928076
TNFSF18,0.07624905698318851,,,,,0.08872676085559009,0.024460621767191628,
RTN4,-0.05230799530474909,0.016703000317532222,-0.03372443574956473,-0.050828483425016675,-0.07868626163132675,-0.07555318895462504,0.019764646762191727,-0.054999315578748494
HEBP1,0.0014063933894035761,0.022531363956697137,0.10330748009859503,-0.011110958144380078,0.057203563140935144,0.02391035286943695,0.09716166069933084,0.030276541201539945
WNT7B,0.009317708978396549,-0.022753995280856167,,-0.003540795959787192,0.0456070175262103,-0.03214808491290562,0.021617629485020256,-0.04062779625599936
PTMA,0.04982298071378737,0.011932687132786652,0.1298595269517864,-0.04475242397615974,-0.07724770473802253,0.046860578518525646,-0.030818812836807197,0.07743271165430653
FASLG,,,,,,,-0.013204622072282622,
CEACAM1,0.010071785323189478,0.04115872422472578,,0.058420243628620416,-0.024532498162239375,,-0.018372292207613578,
PDAP1,-0.007618904710788068,-0.0016428965986098338,0.0375748268416409,-0.06934609150664506,-0.07080240315928635,-0.053228680889460145,0.005056552799781006,-0.037811193558316476
QDPR,0.0347164814440756,-0.008562634178495275,0.10563831115155509,0.07339146865667699,0.048350145554399426,0.006713848887961016,0.07625726118730229,0.07015488363333577
POMC,0.009812732533193648,0.00016611756122542943,-0.056042109814098,0.06269196890418124,0.03390213664904415,,-0.005960354946509582,-0.021281313628524336
CCL18,-0.026583206233168292,,0.1500981267787196,0.08044648531371075,-0.03026800039972561,,,
CCL17,,0.06272601458915224,,-0.015632238872526294,-0.03541420123353914,,-0.01196850677040503,
VEGFD,-0.02658321467458135,0.052390384035968095,-0.02042609378225299,,-0.024532498162239375,,,
TNFSF13,0.01372475972500508,-0.01050457719230214,,0.06023451254525766,0.03945741220316993,,-0.019501682811705078,
WNT5A,-0.03835701123491678,0.0012884173205273623,0.01383887565222504,-0.016213786485641212,-0.009295867369993452,-0.008901010641511397,-0.021960915354545082,0.05704858013270132
CXCL8,0.03477843986119602,-0.04737619933156663,0.13441100514406343,-0.09372810421481462,-0.13791011341184406,0.0028102352491164513,-0.059210303037920464,0.03884315621009281
GRN,-0.0038618950238790413,0.03305335079392188,0.055292012581642964,0.007307462792429993,-0.055486853755500685,-0.049763336177596366,-0.018372854150312288,0.05610586405063748
MIA,-0.01717652239306128,-0.0028220610576217635,,0.13363429970798477,0.1697039678522859,,0.08944055659737704,
COL4A4,-0.031926214703704804,0.033850392509606995,,-0.04130479653370947,-0.028886294078689936,,-0.03514774192593065,
TAC1,0.007357941103095433,-0.018481189530749474,-0.0756564170552172,,,-0.060035967841733484,-0.01573381915868984,0.024041238851532632
RARRES2,0.007203982088588072,0.02843784202209969,0.04633660861607261,-0.05944906042182733,-0.06064808193576189,0.039079994311536345,-0.04142765696461182,0.004010960365301885
FGF7,,-0.026994696835559745,-0.04742085926872423,0.1551148536054428,0.026198774892852814,0.0001385617474219853,0.006250527037837071,-0.04771469475150561
EFNA2,,,,,-0.02331649771294066,,,
HBEGF,-0.04774776871525378,-0.006887534020980463,0.07928071067483618,0.011224765872713595,-0.007998921789461802,0.1154154238772301,-0.04490189377255399,-0.00591339202755818
CSF3,,-0.01815156035249213,,-0.05788698732424656,-0.05361086982318241,-0.02889382065244426,-0.01260099126914351,
PI3,0.02272436132323289,-0.02099978460100639,,-0.1119354030120127,-0.14933904143097598,,0.002639169668552513,
PCSK1N,-0.006331278279095347,0.03395825109593238,-0.09922040054748972,0.012749035723095265,0.06147034189558933,-0.05395130408463927,0.030440249656483856,0.014448947715669265
NTS,,,-0.018390045818837426,-0.011877471939083268,0.030521578354612625,,0.004016694547242085,
SFRP1,0.024073674725540253,0.0085666718968241,0.04389123845768614,0.003638863792027477,0.022224305643707427,0.0802134963477537,-0.01822673052904312,0.12300717159010195
CXCL13,,,,0.06205735181161966,-0.0006199755673148748,,,
MICA,0.01231787188615168,-0.016911310641653406,0.014790251938299576,-0.03225130358436396,0.036145144340749676,-0.04806535802131025,0.03784272105145601,-0.06040808470212607
TG,-0.04186210072913502,-0.01433967678409954,,-0.02077133717787845,0.10105919965624617,,0.041469840856687736,
ADA,0.011542615029110777,-0.044866389230904566,0.0671955904901409,0.045869565061883125,0.060117751491414156,-0.010285288629223063,0.07618666603977087,-0.013291849078669357
LAMC3,-0.008811097612865986,-0.03503565012160361,-0.00022365996832672238,0.04002391675585776,0.11133865907353747,-0.021803688895883716,-0.0142671391225101,-0.03267210028305523
CCL7,0.06363812984678506,-0.01036756340398213,,-0.023429122829135715,,,-0.013204617376876627,
NGF,-0.016518360255991276,-0.011062301693807872,-0.018390057927462438,0.03637712448686567,0.07006288729147371,,-0.039534226445517476,
TNFSF15,,-0.011544788921364697,,-0.022840763894818192,,,-0.034888885266768,
HMGB1,0.009736855707179842,-0.007187776006858426,0.03471668264246515,-0.026408625069563856,-0.09369506127262718,-0.015593664820761485,0.04112396099645857,-0.03486251276974621
