,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.06911788792977205,,,,,,,-0.01821903890066721,-0.017544609739299527,
BMP1,0.01850147940018725,0.0461888318326805,0.02132750991804351,-0.02411519018591832,0.018259750969924753,0.08395822845255026,0.03831946106391629,0.013785754713427441,-0.060237468328522434,-0.05399243403088801,0.07711828026220185,0.030690484611470382,0.1131599200540765,0.03449326899941869,0.01306511876451477
NDP,0.04786257963927128,-0.03423455699171236,0.047362782671067846,-0.007674174341483335,0.02814033599694004,-0.010328478825874182,-0.02262148686866247,-0.021970523854567766,0.03648701401482954,0.055141597690315916,-0.044061628582099305,0.047468997706354134,0.04582865138112861,0.02806440824560375,0.039136920465968915
TNFSF18,-0.027957791942403568,-0.029448343766773317,-0.03474624540270843,,,0.03200006017683354,0.0962266956537072,,,-0.07920921252554829,,,-0.01878897323333641,-0.029594619975947235,-0.028558125886830384
RTN4,-0.09956316841361101,0.014330602122119264,0.07055263028063774,0.027094870033835594,-0.030647268905664892,-0.1652594564444122,-0.03398605448200656,0.007318497757179403,0.030696154826317684,-0.021050142668702563,0.024355625238162745,-0.01450159905877697,-0.06838206921845454,0.052583539044065444,-0.0013338759778144381
HEBP1,-0.03962436330016733,0.032175429895392994,-0.007604178620870721,0.02351240220751756,-0.011205873783936626,0.04273634467031305,-0.01764662913671412,-0.01439385637205795,0.05871588636898182,0.03564194276984165,0.018678561400114604,-0.011762109814978347,0.06656029080918899,0.00915392478461481,-0.060321475030983285
WNT7B,-0.05551728272349558,0.006965186036081399,-0.030114334305118257,0.0167478681749744,-0.03718378299691802,-0.023478973338193508,-0.043084035860333283,-0.01711057933804774,,,-0.0025061743870965322,-0.03199835146289439,0.012080461676772552,0.04433705169197105,0.03365003575723661
PTMA,-0.12035013187160437,0.06266924079414424,-0.02560941708036295,0.02443593086252537,0.006698607997892818,-0.02400217568540273,-0.02254099270724549,-0.012189901323460095,-0.010889418034585778,-0.033358926367164324,0.013115806974123062,0.041622687554872174,-0.027116177771117456,-0.024388427022158692,0.03562510188402951
FASLG,,,,,,,,,,,,,,0.09263213804783166,
CEACAM1,,-0.01874306375516329,-0.023110940323933807,-0.048169153889710783,-0.014777315116918226,0.08974446363930634,-0.016994974372730103,,,-0.04126168389814508,0.047798218517984624,-0.017930254543090524,-0.008812234870005266,-0.02117143308133586,
