,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.02445894866849674,,,,0.050631532798481343,,-0.003738609403856718
BMP1,0.006756377477662721,0.07727787320268531,-0.0330677222336766,-0.05255191550955951,-0.053929341983161454,0.04038874776576604,-0.04685518251413211,0.015449717496833553,0.02092352616027648,-0.045582525499328765,0.05146787187230003,-0.0492112443407162,0.043031295879146954
NDP,0.08674345239735154,0.003932303689399593,0.011323627249407662,-0.0013493706805395736,0.08727670716945471,-0.02032656344086984,0.05441979703435092,0.0688492325396138,0.011770975750173078,-0.039246258263979684,0.012802647196582171,0.00782401189899384,0.0475836239337721
TNFSF18,-0.02828449600600037,0.06051084436559614,0.08122300516365864,,,0.037595849591225736,-0.014033967727132713,-0.017103081336104678,,,0.04639754326977078,,0.017158448165040457
RTN4,0.051238769063878475,0.056963429573469275,-0.009945579890739395,0.07239951938320865,0.07784411980210933,-0.029880214637976115,-0.013042863254696297,0.0430411342805668,-0.033051430794587056,0.02431909963012291,-0.11131584681979993,0.004974979418635159,-0.04956689374758004
HEBP1,-0.012814368635778044,0.027679656160983085,-0.0066674474667644396,0.001066499877726334,-0.004307412068871434,-0.028974951072585544,-0.004944395837932534,0.0005338117628442572,0.02251505098096706,0.03689476388681671,-0.029280526245542168,0.040218585768418066,0.05958174739082194
WNT7B,0.049791949792631816,0.04916068673282562,0.009830878586555488,-0.021219794900105338,0.062493262532682406,-0.003361874343320033,0.05539086384515405,0.04426860361079551,-0.029630609947619242,0.10294836541547653,-0.021777811110018076,0.004837096595080094,0.014698494816760232
PTMA,-0.0022305772878516606,-0.030458506292809336,0.007318290402125699,-0.03185990363230252,-0.0713804610077822,0.00494400517778942,0.03279279773831489,0.03858197905957507,0.02408115860165205,-0.12717057372231572,-0.07104469053012812,0.013897531913048156,0.06167753860049531
FASLG,-0.02491776213042204,,,,,,,,,,,,-0.01955425239290394
CEACAM1,0.01976652160256784,0.07939404536379441,0.04098914191844252,-0.011112129948264401,-0.017709628368417676,,0.052497137307638525,-0.026899072405573644,,,0.040829047425761884,-0.016527555850242483,0.14270862712332852
PDAP1,-0.013640755896799644,-0.03199993481978403,-0.023737048304726917,0.01636810120912686,-0.03542595182670281,-0.01776772422341331,0.01356092752222423,-0.005059306046927335,-0.022271966826153424,-0.10142928602210219,-0.04461150588000649,0.024266019343756884,-0.035569390764851765
QDPR,0.07752753397310219,-0.03788830996259276,-0.04058506508278127,0.001331056028372263,0.08193434821326478,0.017065793876414107,-0.026898847706230265,-0.00279026714884466,0.002935514547693138,-0.0665779777472087,-0.06063443467550177,0.01944829863376366,-0.0167860428953156
POMC,0.036826001185516356,0.0243457376270436,-0.03658337589455104,-0.012887150825723838,0.047440856458395214,-0.0146649459762534,-0.04088263530827946,-0.019845063102602402,0.0519735544596032,-0.036721488634753496,0.11997099702983402,0.061226244084231315,-0.025692666554596757
CCL18,,-0.022145684461228162,,,,,,,,-0.07205253619912236,,-0.0031397955423785183,
CCL17,,,,0.011929524450469712,,,,-0.021330872293778332,0.010897315495407218,,0.05408600795198124,,-0.017723733467990346
VEGFD,,-0.006512417696680833,0.03835999985317757,0.01467807767403295,0.025132339809149976,,0.0162900393903497,0.038998565394510305,-0.005035159834637206,-0.024810522131009476,-0.04155492120762339,,
TNFSF13,,0.06586727270379188,,-0.0051999561783433726,,0.03909382864087159,,,,,0.058664179210244236,-0.018559337501127714,0.043548180228075405
WNT5A,-0.0829954400075551,0.03975411716176872,-0.004366142824965005,-0.028081325400408436,-0.08928695581485635,0.028251804041051536,0.0026930982656373265,0.025980296212548395,-0.01558316945792635,-0.028332167210600088,-0.011672287876568035,-0.006623116759530006,0.0424501085601005
CXCL8,,-0.030693050605232097,-0.027612330354851524,-0.01834903086411404,-0.04872886385703949,-0.019492775075264295,0.08219735172979144,-0.012889312956777477,0.009327590166470005,-0.06239228115427336,-0.011491916724384862,-0.026570721632896185,-0.018172356469080657
