,UKF251,UKF255,UKF260,UKF266,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
BMP1,0.014804994023861404,0.09404799067373097,0.03448140509383136,0.023192372132280432,0.08385511993644723,0.04589402994323928,-0.02837549624081267,0.033228028792165916,-0.0019668439539349066
NDP,0.002871305959253961,-0.01293429855982951,0.038980901947526084,0.07514595105918336,-0.004595688402345066,-0.01860562580690676,0.004908496856635599,-0.01016006703489127,0.012470115877462976
TNFSF18,0.0005603039341730126,,,-0.013291560773920396,,,0.09435594812297299,,
RTN4,-0.011143534509051117,0.01712711460214849,-0.02206102943586567,-0.03507371779585384,-0.04320209336449758,0.0009122265966214217,-0.05313529576276191,-0.045625453168827164,-0.0019252784205309069
HEBP1,0.04294036112272565,-0.006565326973561157,-0.0364380660470092,-0.010379576266412891,-0.019131325796347957,-0.031082042205333272,-0.13649544778580805,-0.010046028892357953,0.05257171237142221
WNT7B,-0.019571380609630897,-0.01892940498257641,-0.00981618299150983,0.03545472138571446,0.026385409881166114,0.04898976453607073,,-0.018768067501563932,-0.03732251745384
PTMA,-0.007624347208270064,0.09603626297948802,0.020725091958542583,0.11339861217501389,0.14099122062437294,0.06225899714419141,0.03756486171566177,-0.03894260177868132,0.024921379740737316
CEACAM1,0.02821564532881405,,0.109158748740971,,,0.04291292015717423,-0.017094198837467565,-0.017930268244172303,-0.01808102211004319
PDAP1,0.00610104230680101,-0.024749168075316203,0.027379266823483118,0.07716127170657426,0.09622897069997796,0.07899453021387655,0.023969330734906282,0.010459300816534177,-0.01701152372574769
QDPR,0.0434864694140872,0.10916382807092767,0.04115525322683323,-0.015489742929053578,0.06270369625566642,0.017520159646184225,0.030259617259897297,0.009927538439538969,0.05358039996374556
POMC,0.022609426726716928,,-0.029735463837070805,0.02779839035909028,0.05077725627246722,-0.07138907831016106,0.05652101962799722,0.012585895677480068,0.02816350021915418
CCL18,,,,,0.11271701488369626,-0.016881768688477263,,-0.03281217094351173,0.03250084910632628
CCL17,,,,,,,,-0.012720657469862598,-0.026101090532179613
VEGFD,-0.006276384854726289,,-0.014138103859097145,,-0.004312614524888517,-0.048995917301345275,-0.031878580576675766,,-0.01808102211004319
TNFSF13,,,,0.10060310785567655,,,,0.12544558249972218,0.000852267988120006
WNT5A,0.05212878291731043,0.030537910873399406,0.09327736940417755,0.09156433492672589,0.032359110503032126,0.07409424289749571,-0.08314550411375994,-0.03206923269179535,0.016625362819152927
CXCL8,-0.0040417800094232036,-0.07828202346326768,-0.054508464163122966,0.021092927089424382,0.03720188090322815,0.11633694498800647,0.09008512888678911,-0.0864704011232118,-0.09016139299667554
GRN,0.014330469110201832,0.06924952485911537,0.014513562310142013,0.011147492389448546,0.040572567700019976,-0.12321419203750522,-0.0005348460881441692,0.019429434424726517,0.00855854430142468
MIA,0.04883972019655233,0.10087775714724177,0.04187818741202117,0.007928631024852407,-0.0045119535342926145,0.0028847586778501556,-0.08353419666004258,0.08229076871292651,0.08479135331446669
COL4A4,-0.03217448978228734,0.04385862267806127,0.026423149648367082,0.10875280160563293,,,0.09843167319599491,0.045304614068232746,0.07137256310647606
TAC1,-0.04271619377277062,-0.02385878699223537,-0.06236775173138416,-0.04711734211398991,,,,,
RARRES2,0.03443887389332942,-0.06765825044024291,-0.011042220093369066,0.006604703789795616,-0.02415532444194235,0.04109414992435411,0.04143758667544932,-0.10204032220356261,-0.08571766012361073
FGF7,-0.024281322140625543,0.05948304780304951,-0.02707035713408205,-0.003155706509553419,-0.048050090452877676,-0.03385008807944885,0.03408537865162082,0.05949871942476725,-0.01613428273886254
EFNA2,,,,,,,,,-0.017184801477957933
HBEGF,0.09112049693956153,-0.022081189016657683,-0.07085797304234805,0.02397410444702819,0.05534097796893942,0.08502394236642417,0.0014130014437976786,0.02912743844713609,-1.2238060194107391e-05
CSF3,,-0.024733827819539686,-0.04710443648436542,,-0.03313135485331054,,,-0.02665616810255354,-0.07144896374932386
PI3,,-0.038988501535382344,-0.03454892043669406,,,0.10388716558579655,,-0.0965104254419835,-0.11712109128313239
PCSK1N,-0.03158636597776234,0.051547017307688396,-0.01889700362135668,-0.045115837338767804,0.0737728222889649,0.030542020622187346,0.02524351476554885,0.005249953599005687,-0.01030416735718886
NTS,,,-0.047360922264232545,0.08164297840765314,,,,-0.02967596970554808,-0.02093641955412548
SFRP1,-0.012549272539777525,,-0.016129128111250647,0.01978088244997923,0.05676548892475835,0.06004055555243831,-0.02884511770347786,0.045123725617982925,0.008834802059760206
CXCL13,-0.026881260137160717,0.03859132281468915,-0.015984171936624603,,0.14682098032724178,,,-0.028573204777521136,-0.006802811020695671
MICA,0.11923258419069205,-0.011686718885440046,-0.020077637162820412,-0.020423483786420258,0.0319714483189779,-0.06832159649452922,-0.009017343718857478,-0.033245822858073024,0.06893113681297441
TG,-0.020423979905365215,,-0.011287945298098675,-0.017281553415367676,0.052142908676250925,-0.030400327831646482,-0.09062681289862215,0.03327064008835685,-0.025785489375466264
ADA,0.006909650926225702,-0.04880265662299606,0.002620503824378606,-0.033761212138427504,0.10613204027007314,-0.0543493837424924,0.06108200332679606,0.03936356942957087,0.019085782231217045
LAMC3,0.028619093783662796,0.005046852525386786,0.04479307700040755,0.13673101426497203,0.06295270270301076,-0.006550159276916699,0.07272273797700281,0.0874699374332961,0.06026082309832906
CCL7,,,-0.02119206087653964,,,,,-0.01906533342786675,
NGF,,,0.010560998212507342,-0.016491237165083633,0.07444242603763358,,0.061797713540917065,-0.0017107391830088968,0.006731900618465785
TNFSF15,,,-0.015690529959371858,-0.020023977342758646,-0.02109869798875261,,0.04952097984553062,-0.018586559239868617,
HMGB1,0.021309692266966315,0.07659920171580457,0.03446242025316725,0.07934478291996976,0.13468752886205088,-0.015147273469584298,-0.06470963253546386,-0.02984535701827701,0.045078431459225424
ITGB3BP,-0.013254079718755167,0.017189001911506355,0.03387298934184436,0.10226977523651086,0.04755616674185448,-0.077179741212356,-0.03599043215332092,0.009149956193462486,0.0034499519208157797
