,MGH258,UKF248,UKF269,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,-0.022874902901851422,,,,0.02714333598483825,0.05890114046188948,
BMP1,-0.00495336064921277,0.05644008141505852,0.08276595791256612,0.08182248632898782,-0.04308090729507185,0.00845331241670755,0.13257643433472402,-0.012480440543979078,0.06273093444287237
NDP,0.01840764314627349,-0.0034935975185988104,0.00873548249802667,0.043852694279639254,0.04946975906940557,0.07132087260526315,0.06275981738929344,0.19182882448283356,0.10855215624999211
TNFSF18,-0.02963946387971593,-0.033896774233072885,0.033603495250886135,,,,0.07533625965312588,0.05184873589699763,-0.00275788305345992
IL36G,,,,0.03038804734521684,,,,,
RTN4,-0.0227174557957169,0.06929303090928,-0.14430935932496378,-0.020789042771672695,0.024097186731028092,-0.019370229240797083,-0.05664017562914025,-0.052653844170394856,-0.1509376806378413
HEBP1,-0.050366015992449505,0.019008685240484328,0.030235219386613083,-0.007128118864187826,0.0019891402918702466,0.04824009683051288,0.0027280578708384086,0.14961432427791113,0.005235072518950796
WNT7B,-0.026111439344205976,0.00976742702296764,-0.07383996283383475,-0.016577860248930827,-0.03044229011664873,0.08990940358137502,0.0724405254279613,-0.024706384066119944,0.0018797467264830196
PTMA,-0.03187027612401577,0.013339616201612189,-0.017407209308965502,0.04138311827090592,-0.017496376467687206,0.0031201877178795596,-0.10653529662635876,-0.10748729475072974,-0.0697226330521587
FASLG,0.01009329555219724,,,,,,,-0.04134433457771371,
CEACAM1,0.00364639910706367,0.026415519214758022,0.027018720859028268,,-0.017058316622938524,-0.020089992385275483,0.032939585548453186,0.056009623057164185,
PDAP1,0.024222457827894575,0.027994389511586792,0.0850301499040572,-0.02506136209168034,0.0020109189846243807,-0.014020125578612617,0.06052944742983185,0.06534929357209479,-0.034280495690145726
QDPR,-0.10600865429732445,-0.057760193830846414,-0.12648339411509912,-0.03733625877280133,0.00355563600959438,0.08140950558392168,-0.0497400964531242,0.12881572874914451,-0.003586716621843899
POMC,-0.0037730504201335083,0.049027320051613234,-0.036652089515316476,0.032810282324903156,0.006340799775114474,0.02100937271518913,0.06177461795449297,0.059961484049077585,0.015605259820061853
CCL18,,0.052052591627469294,,,-0.0011171578030922439,-0.049058431053034354,,,
CCL17,,,,-0.01377866979936349,-0.012102049998242017,-0.02900116524649401,0.028498944387889823,0.04741589398107898,
VEGFD,,-0.033349492289362556,0.003790427836286379,-0.01476702719535766,,-0.020089992385275483,-0.029084191940621045,,
TNFSF13,,-0.025166597060483072,,,0.03142745564732802,-0.031523275104644484,0.08939679268775974,-0.014997074983746845,0.06139516374967969
WNT5A,0.09907037569359602,0.012570341992738132,0.11042664274830821,-0.016461193150960868,-0.011483442956236154,0.041557996663982924,-0.054228938287737234,-0.009471946209395331,0.07485038667938318
CXCL8,,0.010401464987363416,0.14311117841547058,0.08770277026237143,-0.04505162822645693,-0.07152754114178055,0.017717975039588326,-0.006204461549138587,0.02060894302999199
GRN,-0.082590535930712,0.032957833642931436,0.06791432964993274,-0.002050550043009172,0.09114560333987609,-0.03303425018071116,0.07175811745617185,-0.15882723413263197,-0.07457675594653577
MIA,0.06562224388839735,0.0036618000817178423,-0.029095728844736067,-0.02022412048087085,-0.029040208331025042,0.06222232270410528,0.10400686205382303,0.2886418577379921,0.10174374335838254
COL4A4,-0.030240236971362203,-0.0043004665081849145,-0.005419640116992857,0.049126631513303924,-0.03197703904695913,0.07415084023998916,-0.04247863285707377,0.013227774783907596,-0.02725692000369883
TAC1,-0.008393532178014374,0.024707720916132294,-0.10226321536985306,-0.034767462503046694,,,,0.02752029765387459,-0.07962122587014656
RARRES2,0.14642568245629842,-0.05161178639445116,0.08809667022899542,0.04247831363055667,0.0021188347359442725,-0.005089888984492335,-0.03389099764672038,0.027115799716870483,-0.07393662390552158
