,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.07126275033046048,,,,,,,,,,,,-0.023857864210915312,,,,
BMP1,0.01649222265484451,-0.039637454693365035,0.0277623823731523,0.013381986245534659,0.07578729297727657,-0.025534161552824643,-0.10316097113524386,-0.1660299628620908,-0.5558147959487152,-0.1752960498990737,0.038914474019916045,-0.22278178857379555,0.14872503744963858,-0.27262269101975634,0.12251162700175228,0.029284740567707718,0.027929853327689904,0.06659851453486454,-0.027467646414973908,-0.054532335997879204,0.10742524279366122,-0.17710931705901695,-0.06553529509661983,-0.13785565888386989,-0.05597275763789104
NDP,0.06563057373229912,-0.1031710513215471,0.04954692196538062,0.050033746079918395,0.031089082396371703,-0.01198647566194518,0.19581542378707953,0.06683286022831224,-0.11072476192986293,0.07391571352236569,-0.0007614146779049953,-0.10571931998173874,0.015876030394581655,-0.04627132545193541,0.16073145793207866,-0.048250460933948656,-0.011102595879665484,0.08736624904327535,0.05003386441854093,0.14323355334765484,0.02399783621428401,0.020805112613252342,-0.11989919569081943,0.06543246196714032,-0.09884653955737854
TNFSF18,0.01085294878009491,-0.08084928638131986,0.00927752670088233,0.003473306213445042,,,,-0.04275348784829656,-0.11287576260120472,-0.021847552065026556,,,,,0.07704922000496733,,-0.032908534459747694,,,,-0.024604194244683582,,0.05137016677774918,-0.1137930770537495,
IL36G,,,,,,,,,,,,,,-0.026083450258393735,,,,,,,,,,,
RTN4,-0.017623530454318977,0.3621390229781998,0.14723433790788537,0.1104988171959148,0.010873196731553092,0.10215260940377341,0.26456579423029575,0.4498812238348875,0.7022175256988827,0.2956369570543213,0.1674593845474079,0.5950866522128571,-0.020720399671001536,0.4987696688178829,-0.037553036337909004,0.02506455531498882,-0.049174286527083805,-0.07666729924267128,0.028494399842316286,-0.06907214857553086,-0.052024142464646705,0.0863850393603909,0.10068199828052703,0.4878775319145224,0.10091545046283514
HEBP1,-0.06755471799161698,-0.04254049095080015,0.037861343305178666,0.008070509462418374,0.008270861739107474,0.012083320904741226,-0.014976211373932069,-0.1441567006260247,-0.2514324160850957,-0.008703903794497479,-0.04511767527041983,-0.218006894395573,0.01657802846162919,-0.08381209014688142,0.04103729697148805,0.1927584742466886,-0.07088340535657736,0.00010637368422423778,0.024483748175045505,0.13074074281363093,0.03157874428840411,0.048329968194290154,0.006204737474389261,0.012153278954515432,-0.0585954848342818
WNT7B,-0.028524365316521666,0.30354432856358793,0.013911057177912313,-0.012112820129067755,0.012580291912134299,-0.031641474506918656,0.1098669210820824,0.09232351809609705,0.38216355296755694,0.01929712632488761,-0.005056423421200588,,0.10929758885755883,0.11419889050658764,0.022246006041643795,0.08553710793201771,,0.00020732244386782004,0.009876155805013862,0.033294031090633405,-0.040293266739797565,-0.001560490236407554,0.05830108566982829,0.05587049495824909,0.05913962608055752
PTMA,-0.0622597168860032,0.009819832788873712,0.06641865042752707,-0.0784388287904411,0.159545553062735,-0.008379704884715995,-0.23683944259022507,-0.485953243456279,0.09535847602198115,0.18089852014213584,-0.19189201535087988,-0.7049788335477738,0.1515505357764543,-0.45656881228897306,-0.021306049742298674,-0.17413505333393509,-0.01464212114073042,-0.0932296016325723,-0.16168982907511958,-0.02406516706113194,-0.07574511652178212,-0.09760840555039257,-0.10501135649216585,-0.25331812773818807,-0.29253264860802775
FASLG,-0.011648976201511303,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.044542400332026846,,0.029722141070710188,0.028321281250301037,,0.016363360570231765,0.027606067677362817,,-0.1375535092651616,0.005726008271973598,,,,,,-0.010925225678746858,-0.0706642855328947,0.12254472553643483,-0.017065954744858683,-0.008588010510220767,0.07898219688048888,0.02949513343748946,,,
PDAP1,-0.010835483822234933,-0.1505810136296276,0.07057838873411215,-0.048803407023701464,0.029795930261352823,0.03080359297071251,-0.13025694091797,-0.19392189528010872,-0.424378218093899,-0.009860220134561792,-0.005818625514233291,-0.007024649360809179,0.09162499311491663,-0.2323495749308298,0.10559969928092888,-0.09820216274847675,-0.009983855982611657,-0.016299251663073683,-0.08778345454232585,-0.0876096323683111,-0.010837148922196109,-0.03280384812974018,-0.014308104559294703,-0.08145604524953294,0.013935455598306128
QDPR,-0.1269457503888341,0.19610214643420304,0.12650397840235372,0.06809586088033194,0.0692310475407389,0.06036520481181108,0.34814940610605133,0.1911534810136328,0.282865310347873,0.23796313707711397,0.10307685802095598,-0.44419985228977454,0.18049002240862816,0.11157467909135534,0.02076516970604547,0.10507864760132374,0.08893596943847915,-0.18561222347956421,0.05840003165714374,0.13411041184637273,-0.05770487290636408,0.10524221854881727,-0.1576483362103624,0.3718838682266592,-0.002738532306481769
