,MGH258,UKF255,UKF259,UKF269,UKF275,UKF296,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.012030813069637774,,,,,0.06966564472216519,
BMP1,0.05468935893394138,0.0201216837153379,-0.01995606709309774,-0.011888924475038934,-0.01740969489606991,0.02260903385502785,0.0072768424949935205,-0.07012045634981513,0.0033406999890509656,0.013458644941812576
NDP,0.0772170003601774,0.052894275533952984,0.003806060907756654,0.025217096823195468,0.020382187772385856,0.05573583280575459,0.04598928640972488,0.049141962920118756,0.08093067463955302,0.010821170194793747
TNFSF18,-0.022403032495198948,,,-0.017865396233506456,-0.013383383838686697,,,,-0.03384993834025619,0.12769965504552505
RTN4,0.019067971623227598,0.0019321822629963714,0.00017204957783892292,-0.020160334795549722,-0.008679200123251513,-0.02160225223029579,0.004921644295982034,-0.00914181995454992,0.0307268446106033,-0.0810781376619322
HEBP1,0.06287643043617223,-0.027927621766425745,-0.006110060282984479,-0.009336922879163937,-0.04938974711554062,0.045921082908519796,0.017113718872794146,0.009862946033586709,0.02499588191518865,0.01004956077451803
WNT7B,0.12348985745677529,0.013309706658120871,-0.022753995280856167,0.061390000719580715,-0.007327282461600944,-0.012332312690747553,0.021560204780214642,0.04142277021219625,0.03843296072385856,0.0360870298533201
PTMA,0.027696183576265382,0.06436320565073586,-0.008645850560309493,-0.0007043870230482788,-0.01380855672170851,0.013856430113260806,0.020372333628387324,0.013073221464965833,-0.04198333473780068,-0.020149183590624318
FASLG,-0.019736375525201407,,,,,,,,0.05408348807336729,
CEACAM1,0.13013049250561096,,-0.014052770942659125,-0.023509843906409016,0.047629285404846386,,-0.004500592167050715,-0.021128845762952878,0.02375664101246837,
PDAP1,-0.0028351126388512005,-0.01870971183047247,0.04559808954659313,0.0013669326685869748,0.01111784474951495,-0.03181694044620139,-0.0016379061288369313,0.00045877404561238817,0.05336695532082863,-0.01366414189854666
QDPR,0.041556201102224986,0.0503438935547196,0.026672541252044945,-0.01826680033581964,0.02300164384703917,-0.03276926158662755,0.0401286068063164,-0.022367633573667427,0.052762144161679486,-0.06012992986985146
POMC,0.027460487602808968,,0.023443562847751846,-0.01746272588346462,-0.015529020273347844,0.12976003876797887,0.045577299006901245,-0.03456401606402378,-0.02301416703142092,-0.02499333473739557
CCL18,,,,,,,-0.02303047938578994,0.017698491309234315,,
CCL17,,,0.0034660533456460766,,0.1342605697413065,-0.015263946019111355,-0.007692718769664615,,0.011949795343500729,
VEGFD,,,-0.01696671315743807,-0.020154839082232957,0.012633031260314,-0.011196288998412855,-0.004801969888697029,,,
TNFSF13,,,-0.01050457719230214,,,,0.10728060224232988,-0.02372627768298611,-0.004853039649356654,-0.04120521777788788
WNT5A,-0.05712041504193111,-0.003639361186714196,-0.031933562285282754,0.04552546113316628,0.0742223627591394,0.10411008657558167,-0.006302903925277142,-0.014620605529247212,0.020422526421100106,-0.019941124717405653
CXCL8,,-0.010650551066017564,-0.0066264427666218205,0.031913199697838825,-0.03739242380414182,-0.010426471146152526,-0.1084053947483509,-0.03252855656907377,-0.009338324643557295,0.01918896427331532
GRN,-0.05138365391022766,0.024103607333870052,0.007077454531389296,-0.024486824477116257,0.023822356288567534,-0.01389236414063397,0.020475702867954478,-0.1308292009282992,-0.024217230096185018,0.009367364034489296
MIA,0.06556271223860251,0.0328384958005856,-0.03206702394285473,0.010792471469407598,0.03481572810764398,0.07772748368217855,0.040627613460225954,-0.047511797259251226,0.015470243288697002,0.01974423854911253
COL4A4,0.03960969497423632,0.079645241112543,-0.02807064144228248,-0.011855473291017209,-0.017426635883920762,-0.007419250060607731,0.07903489712543513,0.010214089939565664,-0.00973187520511845,-0.034525059818723336
TAC1,-0.019736364787451555,0.04476740505461605,-0.024864863672895237,0.037795605255087884,0.04985719955635023,-0.009351637961894638,,0.11720624487609504,0.021138717837806496,-0.028107132120013232
RARRES2,0.019046523325883535,-0.033939353173984055,0.004293407924232442,0.007166445198780979,0.060187904057079605,0.014479402857256242,-0.04921297917492592,-0.010409649385371375,0.08491402976974204,0.06317331783800142
FGF7,-0.017240536602990512,-0.048056268479803765,0.037154143050654724,0.10387384901809545,-0.008805071789310342,-0.04440359902009437,-0.020793321661694376,-0.028574107962016468,0.022185124803782878,0.07757844011226729
EFNA2,,,,,,,0.01765959119535462,,,
HBEGF,-0.048509216355835744,0.013845507225461073,-0.0011669535158046003,-0.004901969187345887,-0.005990436980223164,0.03348830521780824,0.04338374058447976,0.057113706090419415,0.015616062176548172,0.07068960002313994
CSF3,,-0.02828645622654451,-0.01815156035249213,-0.01254286255237129,,,0.016601461581159563,-0.030291086573335898,-0.025243593080168276,0.025005773004250217
PI3,,-0.032401145455224184,-0.011974094859902048,-0.014123428781836766,,,-0.05608142862882063,0.005560592830674244,-0.0548459414015547,-0.04438218852623797
PCSK1N,0.027568084270232208,0.05813256675994468,-0.004423566834140931,0.04118395667351448,-0.03367332826734299,-0.021733950220187443,-0.01799772730757523,-0.0035651763507371795,0.08467917367256138,-0.030893578579094496
NTS,,,,-0.01541668687491919,-0.0060700225020808895,0.029281581821570094,0.037116389736756836,-0.0025548310267036146,-0.03738231910464308,
