,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.021419972831585015,,,,,,,,,,0.01477243314459023,,,-0.017325837897662413,
BMP1,0.03797897582256751,0.08632918508746382,-0.030460069710767847,-0.016735709696768214,-0.015327831971115438,0.07053106411846292,-0.00489985848830928,0.2686145703534584,0.013655830509218463,0.036510012429857,-0.03406065215146318,-0.012370606876841045,-0.04231959787121994,0.016972874383170484,0.09843011644266164,-0.07781947851536258,-0.023280428786230704,0.07911503803464584,-0.10354583417180328,-0.045689334757143006,0.04230552538203654,0.10204171871576267
NDP,0.06012081943720368,-0.004882130313228122,0.03497954710006397,0.0126795703716349,-0.024286630626913126,-0.002850383494105057,-0.021688632003820946,0.06772611293186084,-0.00623706031513806,0.0228242090375665,0.0032838222211523144,0.0016296512523319047,0.012871615450470492,0.19769845193279673,0.0329051329988407,0.011512715433572757,0.10197601407566187,-0.0520159816144355,0.025911057394073397,0.1897227089071434,-0.024041170651481255,0.06714532731813301
TNFSF18,0.017614486098738752,-0.03082276511861144,0.008936277125176917,-0.009124551693012399,,,0.009695506423949639,0.08983460091519771,-0.029798459775076457,,,,,0.08356144840067917,,,,-0.02617522522687616,,-0.0519033332713442,-0.029225590991495902,-0.012336596517160195
IL36G,,,,,,,,,,,,,-0.02199869297143163,,,,,,,,,
RTN4,-0.04833277256400363,-0.006777953067505279,-0.04664062899994129,0.03973151612172071,-0.018080990282468765,-0.002167706307793133,0.04158126945397881,-0.29415685805575503,0.06592988621762165,0.07708830014744,0.13461962759859938,-0.0012406729169520694,0.007999774722945968,-0.07314418001139956,-0.033727168263027206,0.053253560571863916,-0.03388612226466095,-0.04939463076980383,0.12172805842616623,-0.0832363136786377,-0.028390652535784964,-0.030857099089413358
HEBP1,-0.06824351581524554,0.011091328798937988,-0.005883889169785049,0.000586487064641542,0.021098790367003104,0.006623042079037882,0.004907401160409962,0.12963554619438547,-0.008657924106146611,-0.0059521372816543835,-0.053104660814821666,0.01897107290792996,0.05311607771726927,-0.010983462061455973,0.04664445401659546,-0.024101604224520762,0.08956717372832688,-0.03949970769408745,0.016224420249113216,0.029211203516740537,0.01661074577393185,0.0958588810258723
WNT7B,0.04471450444225869,0.05497268744442329,-0.030552897939248598,0.0450181786476295,0.022785709798299223,-0.013374423718160099,0.11179721489031276,-0.06496659264294842,0.05436968471239886,0.06948594603996759,,0.10236426929859456,-0.02417909873576823,,-0.07924580579272114,0.0275713344975694,0.04671795664368111,-0.009231126718727282,-0.0016580709552115477,-0.05190327945148657,0.013699271754779009,0.06267626194938629
PTMA,-0.05961607765086422,-0.05785880502306542,-0.0298332744660633,-0.0027748938136561473,0.03780137592802469,-0.019551937486846967,-0.04923878113119879,-0.13739026833662912,0.007139565835601283,-0.006916758981073044,-0.12621804135865242,-0.06031328835040854,-0.011699751782548517,0.0584668277710953,-0.13027157164523287,-0.01287282067041496,-0.06742432266253234,-0.1255046084142261,0.0685333141921356,0.1768327502620758,0.09035001086279912,-0.05096411891878705
FASLG,-0.04630659010513175,,,,,,,,,,,,,,,,,,,,-0.015026693297847598,
CEACAM1,0.0027711624689458697,,0.01662983639288202,-0.01453740022372254,0.05447386620101559,0.02957156215681563,,0.009931757782801445,-0.017436141987256095,,,,,-0.0260172865280682,0.18112912458684866,0.11618899733704384,-0.01826517591926531,-0.01102173610423652,0.04943166103230237,,0.10142050793619892,
