,UKF248,UKF259,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.01770031570379543,,,,-0.016113801974168507,,0.022599310840625008,
BMP1,0.04282851964049465,0.02126246876087153,0.13215468166019212,-0.011433107977269853,0.08579860593134703,-0.022918528580362547,0.12779800057871762,0.043837093674883774,0.06022781373798833,0.029135278888733546
NDP,0.038853163332173486,-0.004040624006429553,-0.003299883205700637,-0.008265706558556756,0.027090013179621994,0.053063261091260985,0.017627675853396824,-0.05809782794206285,0.04356530592932785,0.041507045245451436
TNFSF18,-0.03123043499953259,,0.06253779794363508,0.05143515298141605,,,-0.01661787955065225,,0.004986478210505054,0.035299345872900414
RTN4,0.06197517674907317,0.04998714458935934,-0.15717723362649702,-0.022961958624977727,0.06320144989235854,0.024111185336540282,-0.07707766188009255,0.018703279887868098,0.0003820672329345853,-0.11049039621927606
HEBP1,0.042119746976808446,0.038833154004888966,0.05863971048220311,0.00416919086291298,0.10319506917392521,0.0468968110548821,0.038711993735173526,0.003324219800901617,0.028531735282830227,0.06517462169509876
WNT7B,0.003697226321415999,0.040209917148083044,-0.03000904398739466,0.019022245773398595,-0.0071657504683510466,0.004344433696166237,0.05660862349635048,0.024403080485853854,0.11226929992703996,0.03827286029080499
PTMA,0.005735185373627286,0.010591620998119734,-0.0973411943493852,-0.008814564706887646,-0.09354774955967099,0.04104858142076955,-0.09037634989304376,0.04408720933923914,-0.07300920665346042,0.08180397649763237
FASLG,,,,,,,,,0.005964106831617783,
CEACAM1,-0.0025070533808343206,0.004821086869638139,0.035567098418522014,-0.026114893045149447,-0.019355873589358082,-0.03573923002092977,0.01961442657376751,-0.0314787450825497,0.007116514539305434,
PDAP1,-0.0035088479572280827,0.02670268288116678,0.09950235820531877,0.032119447726395835,0.008009475375555452,0.027494470835130645,0.04847816806424951,-0.008252462092427762,0.011550971565682982,0.04988871090398059
QDPR,-0.004082048875229437,-0.03893344059695897,-0.14339170315908992,-0.002394663317951874,-0.010497894952003425,0.03128128049099866,-0.04925540175271558,-0.053669539404995276,0.0240174942861914,-0.09003866253560473
POMC,0.05289666243900821,-0.02550558820808115,-0.03527404407938948,-0.01926652683723468,0.04918268873594593,0.08458801886590507,0.026468357507407773,0.009948746377248963,0.08766026090755195,-0.022240310941636806
CCL18,-0.024805012260868342,,,,-0.001745500183474333,-0.04800553851683145,,-0.038674451798076465,,
CCL17,,-0.015874903660320076,,0.032790509202189566,-0.03028853770823329,-0.0515918222238406,-0.021245117088862373,,0.010417129490637637,
VEGFD,0.02907711779580298,-0.01768639573877028,-0.0031365910541663357,-0.022063710012446093,,-0.03573923002092977,0.1327939001710911,,,
TNFSF13,-0.018718664184276295,-0.010950153254053688,,,0.11292425072648984,0.08824793191785694,0.06393867345252702,-0.035348520942401346,0.027458640846605088,0.10236994526944405
WNT5A,0.004452990909986731,0.013861498953407289,0.042443921437157334,0.038430284985905554,0.045113126310924324,0.03864482335795435,0.03711692448645109,0.008234896624768942,0.05302775973154279,0.04703154716398176
CXCL8,-0.016074789841368876,0.0015668011301487044,0.04247309264851232,0.023543842178502927,-0.06746653464664402,-0.13274645769605767,-0.03016343515746349,-0.051254491699055486,-0.006585694622417543,0.06471121620764594
GRN,0.015322127716215708,-0.015977971493405074,0.11214106202644185,0.0348499968140372,0.1362585870091578,0.03339600516469967,0.022697774237209863,0.006005272607481179,-0.013148437917089499,0.0550389062935441
MIA,0.05587550891539037,0.04273101556698661,0.07428868495597954,0.022062253888908197,-0.024176627823080176,0.05407382718360571,0.05340317274890242,-0.022613850870869992,0.09081745609153495,-0.026532251462744637
COL4A4,0.041330976897879346,-0.029784941324926106,-0.017442347317199007,-0.008920695234600953,0.018772770451004478,0.07620033344755972,-0.03272638552580227,-0.05106297396239539,0.062468648223508935,0.08514220370126571
TAC1,-0.014071847973860787,0.013509306419911389,-0.05440221223735515,-0.04928914226843458,,,,-0.05430980301075416,0.036724574910208016,-0.12518628093107914
RARRES2,0.018929276094683395,0.10069436170281942,0.1144392052626272,0.014378607773599115,0.0016933797970022713,-0.0266232313737678,-0.001116265386991445,-0.03522540297626869,0.01381989812992319,0.04978761006567649
FGF7,,-0.006745856718881832,0.06917813342802666,0.034512043268952325,0.07199603824677267,-0.012955016283633183,0.07719543376525918,0.013629090867270127,0.03750049947294039,-0.003937408256609626
EFNA2,,,,,,0.019963566267409444,,,,
