,UKF248,UKF266,UKF269,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,0.04220170354022959,,,,,,-0.01611380433815359,,0.012451972229946064,
BMP1,0.01335848671823324,0.0639525141025092,0.06863347516509247,0.03784696103424703,-0.03981183080957897,0.10399162520244154,0.009397075892580325,-0.021286085987058317,0.08218519246164446,0.048193762499410465,0.07672644858025213,-0.023126277656385832
NDP,-0.06304519522757313,0.00524880548124985,-0.004347212786693115,0.03945404891145982,0.01648304436248608,0.07763596424092631,0.003805550905516016,0.054447321064159844,-0.0039613518358257455,-0.0010840832376743878,0.05503313386069249,0.0785448506170887
TNFSF18,-0.02755899301724994,-0.013117673663612536,-0.011768920779709435,,,0.1614565603123871,,,-0.01661788198858834,,0.05438652979625181,
IL36G,,,,,-0.01314381177932053,,,,,,,
RTN4,-0.021953015058404995,0.030854441412045956,-0.11634513028413826,-0.0028823089202798936,0.026468489433881408,-0.010671895348009086,-0.01685678889306759,-0.01824732162385989,-0.05673308545002236,0.07074245234895703,0.006704642400577437,0.05258689187916008
HEBP1,0.024456849594902283,-0.0030601232772587204,0.015373604386959172,-0.031008139841612513,0.015664879767803102,0.08270911864647956,0.020667064150396007,-0.00030870549655673664,-0.019762562332105403,0.01756447812657216,0.0016915467284130718,0.020461405301338827
WNT7B,-0.0407842867343566,0.053961037372926304,-0.03269243227184052,0.003202577833347488,-0.014446563856737283,-0.027888329040328497,-0.016412119532833242,-0.021973230924162885,0.04363713155685545,-0.026457321677603576,0.024780507270796545,0.008526256038837339
PTMA,-0.04911209648875133,0.052184234030461324,-0.10382586627810693,0.07967979304022364,0.017501948551569193,0.08896702887806546,0.05773899544388236,0.008471409832387937,-0.07036406281870573,-0.006814318856080854,0.010919417088663367,0.11276467048912775
FASLG,,,,,,,,,,,0.01965199649186007,
CEACAM1,-0.017540543782065925,,0.09020442817387883,,,,-0.0314797690750609,-0.005506725962709437,-0.02387816148723964,-0.024522564071182747,0.0346427918728207,
PDAP1,0.011178737258256253,-0.01896805830404268,0.050741833533023105,0.0879712756452265,-0.02446822312065093,0.05124640533716553,-0.013249109816434628,0.01292893962369951,0.0491691565654561,0.026886440450805557,-0.016865485903729563,0.14762524824100695
QDPR,-0.01381172974341523,-0.013183648341190695,-0.15717118343619266,0.08015925417595357,0.005226509357024799,-0.13832353687187152,-0.004878773871442875,0.05489966616766159,-0.06011628634165255,0.029396579822379212,0.047736901545103155,0.013369276823336277
POMC,-0.03341784319025161,0.021126076573812935,-0.010275901888397398,-0.02803794647234719,0.04848691069859864,0.12073904669991001,0.002658223499701928,0.006948358626313241,0.06914124089968492,0.006715074297132988,0.05891807051996528,-0.0861511632660812
CCL18,-0.021888941338803022,,,0.1278572152245815,,,0.0035961173061017813,0.029621439844774555,,-0.06489619010929376,,
CCL17,,,,,-0.012007245213099201,,-0.02233337249510337,-0.03413022798443287,0.07421873961382441,,-0.02892185157410581,
VEGFD,-0.02188894828956711,,0.055684895862616914,0.02254345030105209,-0.012868536599327962,,,0.08036344645503828,-0.0005479045282445668,,,
TNFSF13,-0.016518102791537734,0.045959249009087766,,,,,0.09264839490916398,0.04446392967860807,-0.02278264393552426,0.05506357018542594,-0.04712574313114061,
WNT5A,0.013742208576847098,0.10484043997011135,0.10734489313405081,0.05294319435722689,0.02406653650643084,-0.006586108341832785,-0.03689062568040576,-0.004516509994771894,-0.02119444476457905,0.05455475911707711,0.028997735366729158,0.0476827167498276
CXCL8,-0.05060624357335798,0.0019242274415623348,-0.006462954086786811,-0.02619117032089548,-0.0200881308358835,,-0.041685806607619794,-0.09388451025224372,0.03533833614527841,-0.01703784798770671,0.06313591619908385,-0.08494774907837845
GRN,0.10160972198431557,0.04339802808210559,0.1252748851588474,-0.03725671507394855,-0.008350396187702247,0.008037068972262874,0.0602429880001833,-0.02595349255673576,0.0565170652044668,0.008845687631738123,0.06674248632514579,0.027454841726645068
MIA,-0.027877326876778498,-0.023002757236293313,0.07089881842449311,0.037013702463168756,-0.017624050606416,0.018295099664646725,0.04818366995680593,0.06326381741631121,0.0032023310328524396,-0.017265335930957075,0.05716095036932905,
COL4A4,-0.026288440705375945,-0.012103856678360758,-0.022883574771123825,,-0.017095982924611307,,0.0010513489728357012,0.05034889503201871,0.08449169660735886,0.029347945069119974,-0.062050627931024005,
TAC1,-0.035732049727961145,-0.037209700170871635,-0.07677944424970712,,0.02716058694616251,,,,,-0.006075383232955539,-0.014679610127309875,-0.07442931293006146
RARRES2,-0.02228314376604023,0.07100726878803153,0.11009099681725452,-0.026282265084082247,0.070486957627193,-0.005098895556597336,-0.07468141287717944,-0.01789810815037602,0.026590649297664082,-0.0675894480055852,0.030880109457591984,-0.07008710107379974
FGF7,,0.05085805336739442,0.0023411658622764127,0.01969400137442601,0.026798638821493116,-0.019604799605822024,0.052650758559574504,0.03145660905874575,-0.05357394133047184,0.02457556790730572,0.03980348943154838,-0.06245277099244512
EFNA2,,,,,,,,-0.02247113742572597,,,,
HBEGF,0.03808312877056363,0.06732884092222792,0.07872525194175421,0.025938714534146715,0.02558351019737611,0.0808277995338907,0.0253683474564938,-0.018027168569064896,-0.05328095270378981,0.02127749876296871,0.0170829950264401,-0.033032248078064416
CSF3,,,-0.02421038165372902,-0.028459422317057972,,,-0.0007647052240577624,-0.028470476505345774,,-0.035156445345576715,-0.015698041930715747,
PI3,-0.023028089164585253,,-0.02726120928454925,,,,-0.05965841095914244,-0.06694678684038015,-0.018051194615515683,-0.0636421110973756,-0.05215752887940577,
PCSK1N,0.023251788163954283,-0.0039924195503613655,-0.020514651295319267,0.010098799482837217,0.003844671991670474,-0.015329663496572249,-0.08331816971342075,-0.0059622075874791935,0.05873525838125805,0.030074521945822795,0.024259596173269813,0.03616312399680941
NTS,,-0.014776058909058738,0.02156639147370484,,,,-0.019576079208617207,-0.02737681675327188,,0.022015825507834905,-0.0450926650333656,
SFRP1,-0.011604783958699868,-0.020265719697859157,-0.04939030074909444,0.027494548342282286,0.045061074137682,-0.06641400549846058,0.016824147749363583,0.009749227610102888,0.01673371227796988,0.07174376442694799,-0.025139490005630868,0.11785279710321861
CXCL13,,,,0.07224149440663435,,,-0.04005441592643185,-0.029612850451946202,,-0.022057477935615813,,
MICA,0.04561005445586752,-0.008218661932211203,0.05580849642184353,0.04111141094752253,-0.02237049451070054,0.07538105525135601,0.11260501667920204,0.05380155331903115,-0.03096663068816185,0.07368893678033363,0.08287580651955534,0.08873139405793812
TG,-0.034469772349574455,-0.01705546714633256,0.14214820964289687,0.0457950437328424,-0.01803657656766135,-0.05200392681246746,-0.02967546838285869,-0.021583234649824565,,0.11703083160708944,0.07882111440074904,
ADA,-0.005851001939245967,0.1599560779141105,0.11530452378464572,0.08044406500515004,-0.01745857206140998,0.023490118739402103,0.024290289029356538,0.034528624448444206,0.01183013099324183,0.09566127460385909,0.0731617832728799,-0.08067065175644779
LAMC3,0.08039399043451155,0.019613697884085856,0.18633631437788695,0.0594161111408034,-0.01757572633085403,0.06216731456410878,0.05573621733907232,-0.002949991886726087,0.10246837804728993,0.00015593678009163454,0.06928799786812052,0.042013133755036215
CCL7,-0.013923215820326146,,,,,,-0.03347257751391157,,,,-0.0183369066148705,
NGF,0.03339161608650327,-0.016275490224237934,,0.09421681927187649,,,0.0077187306267799205,-0.022169087533608838,,-0.03400919108436091,-0.042942503411327604,
TNFSF15,,-0.019762013257710466,,-0.01812351951981745,,-0.04793445610532893,0.18817793282854461,,,-0.02183154899790733,0.042127773814993635,
HMGB1,-0.06054598353311306,0.04760969561824769,0.10356524576504511,0.07173771425484016,0.03528370056261121,0.03479725245051124,0.04550564320196186,0.05089639490089987,-0.031147493425993156,-0.04329344692037887,-0.012228082505224745,0.00875099218749213
ITGB3BP,0.010649231362262456,0.021153935968951976,0.08915686859802902,0.026311788425892137,0.03298226381419941,-0.013526235206167135,0.01680176022809092,-0.006042200033595169,0.013818272644356583,-0.04956692767448028,0.033800577738576705,-0.06314074256731678
AANAT,-0.020200467885899135,,-0.021838419431088742,,-0.016106570947962657,,-0.014605463108019507,0.19758864916489777,0.07074004257517509,,-0.033760955550019206,
RELN,-0.024437665137614573,-0.006339406226282223,-0.04944313995294798,,-0.017831364254549918,,,,-0.0014479418420761485,0.016388155239318317,,0.033337195677440236
IL15,-0.028032406500598638,-0.014061847270973827,0.03557322598450166,-0.013556647560350455,0.03040961644334759,-4.997776060863452e-05,-0.015992331326266616,-0.024337857955365284,0.030530840117165944,-0.017418332376823633,0.06039583838323535,
UTS2,,,0.03269213233597132,,,-0.004501197505027597,0.04519063492950254,,,,,
BSG,-0.009718643270813166,-0.00236065860722268,0.03416094577041039,-0.03571267488101019,0.02172728034266513,0.001502697335261168,-0.013516684604120139,-0.022850456062668962,0.10636484547068543,0.01574901405912372,0.08648080786926268,0.020273817835473846
ADAMTS3,0.010074249122201031,0.07349473508610377,0.16799251535693766,0.05471388783653098,0.06115940594154021,0.15094643280645215,-0.021281951948754062,0.027642642349756687,0.06465692663230975,0.029869953109171413,0.03594429597955686,
CD34,-0.009303316174311453,0.07988305270285388,0.06819650590780937,0.07506572799353001,-0.014908192001237478,0.07360991246608022,0.10458819213069916,0.0473214698153719,0.07704208968536375,-0.01369707718151297,0.0472019534941927,-0.013398192891096854
CCL23,,,0.06780428078051448,,,-0.04523140882120733,,,,,,
PLAT,0.035630908518260195,0.053007846748577836,0.14886924241882724,0.006638550406425567,0.013108520055060652,0.028464510144232277,0.05349714500001197,0.03730602095166607,0.09119606439649268,0.04051471313265796,0.07009001535596411,0.06462778424420754
NTF3,,,,0.0021954168437626435,,,0.004890064939935527,0.03415522659965748,,0.004166833409928445,,
LTA,,,,,-0.014938101964601987,,,,,,0.06044503526567905,
CKLF,-0.0019817267085185204,-0.011197363037324536,0.11087933917945322,0.0596140009518301,0.012015774633256263,0.09490739029745233,0.09170807906735096,0.0513629928501548,-0.033893682818966014,0.032477943452167854,0.0446017128730984,-0.02480249379003194
APELA,,,,0.0033299718658831644,,,,,,,,
CD24,0.022562409558651682,-0.010892782320166055,-0.012708031175897364,0.011244042456033927,-0.025610824275488796,-0.04060689424846495,-0.04458132540344933,0.04654586712660957,0.02079630218407821,0.03545533027180844,0.01964463355226935,0.13656816421312198
HSP90AA1,-0.0536234133323373,-0.027944643442625424,-0.10298079018089437,0.016170096478251524,-0.013320519469684464,-0.06975210743486372,-0.06979581942751525,-0.1096431245299831,-0.007578771837857969,-0.015879733204607515,-0.10501723411187391,0.06847829355567257
BMP4,0.07775048997618282,0.006755092649554319,0.016196746386540898,-0.014509638308003813,-0.012728805747119923,0.0915372557930342,-0.007638785036221866,0.030130747006505774,0.06711777468768775,0.08443539000064128,0.08399036021931161,
SCGB3A1,-0.013923214428023169,-0.017950196743638746,,0.005176005957057294,-0.01042361000276278,-0.05581919220544532,0.0968493632771522,0.05908233493092915,,0.012193446666129626,0.10514844631827348,
IGFBP4,0.08759194021126955,0.0579689257783549,0.15461101881461023,0.030626517435760156,0.018379917842810303,0.10764412256547272,0.11294338613835926,0.01793260326809206,0.13936568674343727,-0.02755264602646576,0.04926240239550937,0.12599899860290895
RSPO4,,,,,0.044093094670341074,,,,,0.04358478391284421,0.030192144800930985,
LEFTY2,0.032161167196417734,0.05033825892580512,0.1312184601099721,0.05620917714977416,-0.018440920052040725,-0.03647578583806729,-0.02841442783924024,0.08364695119239439,0.09476835574175116,-0.032700174044520934,0.06808528350108135,
PF4,-0.014443099966238876,,,,,,,-0.020596353199997162,,,0.004107603713956345,
ANGPTL2,0.07687667750392937,0.028780970095501783,0.08988260124813477,-0.03994868372088301,0.021768085212203355,0.03222534686399503,0.05905950788329943,0.002943680639509017,-0.012570422604269705,0.05045816015289887,0.04188703563698325,0.040995042711015506
LRIG2,-0.05789686832103378,0.011712382995110812,0.08365983853342143,-0.011776282569837182,0.017958188311033383,0.02798971763958121,0.029208954020583718,0.047683059164773806,0.008242068938982891,0.04542424099927225,0.011587732527423908,0.03691084291484662
ICOSLG,0.032432773490941584,0.010858206975835503,0.0710532760752484,0.051290306357804114,0.0068969903347407885,-0.06262703966558279,-0.03232070841506193,0.08260318058780704,0.030203701375600092,-0.04782602774340743,0.033332053181833604,-0.01217748180297688
WIF1,0.015867937986775653,-0.017023421708562376,-0.0909941440916018,,0.0008856304061861172,,,,,-0.02838310271144622,,-0.02543550523200866
NPPC,-0.04319354051149251,-0.012643481202413313,0.00793086896308355,,0.03764236762452683,-0.021384261752670344,-0.03206059340001681,0.006096301073135764,0.055110593555823414,-0.02334712856123629,,-0.016044085085313783
LYZ,0.09607906335612457,0.01950350753927317,0.013569446715612247,0.030134709646352714,0.008310266524519995,0.014479743064865578,0.09728520170464108,0.06352333684813875,-0.04444577375509765,0.01523777364249688,0.022276451556153456,0.01286149456257337
EREG,,,,-0.02396228887869155,,,-0.05395673163364587,-0.02456773785720114,,-0.038028993445322366,0.02393387328318278,
SPTAN1,-0.0024213073531195767,0.0035902797075622137,-0.05858429254039926,0.06026032099801178,0.032386185677159174,0.07106380496828607,-0.042178399011432895,0.01252340479154402,-0.03105645559044308,0.03684889873458191,-0.02995691148422897,-0.0962330012014627
PTH2,,,,,,,,,,-0.002218873703401924,,
LIPC,-0.017682150652280664,-0.021806319471519207,-0.002446549910921167,-0.02996176406195133,-0.02346636125533362,-0.04237720310494625,,,0.03617080212882118,,0.003725698286482093,
COL8A1,0.05608969353138916,0.02060998239169881,-0.0025343892230855116,-0.042479725071134344,0.02807927343926444,-0.02190329052545888,0.017533836514384338,0.07429925752121697,0.01177314999396777,0.013768278770801386,0.04738573963498821,
GSTM2,0.010638356225761904,-0.011891185332063276,0.021344120931252437,0.008879800877361536,0.0439144879878061,-0.07208581784365452,0.05332197420126254,0.10885465988005885,-0.01830480605761422,0.05246379422923654,-0.001953100814279608,
SPX,0.01928001177956636,0.003386039571483266,-0.034932065278469177,,-0.030531109038317576,0.004733613082074147,-0.020344970957479867,0.0536504826906164,-0.06490822267470776,-0.054566513523874066,0.012658193068716302,-0.019806506096895406
MFGE8,0.04605396687180882,-0.0273709314882234,0.026936778135462337,-0.048213348677511834,-0.0004975609911065905,0.11996654361243354,0.03218383311655705,-0.0362608987448734,0.10360471548712126,0.057831749636535014,0.05286212663576428,0.013884639396663514
TGFA,-0.010187975791989136,-0.0041076035256283824,0.058967779301582444,0.02991437751699223,0.07038310443419649,0.06996884316522543,0.02076724890593691,-0.07939747121682943,-0.10099403724172308,0.03472699644305731,0.04263194826763358,0.05001598472762654
SLIT2,-0.04502377990355387,0.05043194569841853,-0.04028859689740669,0.03297850351170944,0.010639593602715899,0.11641480661046957,0.011008576001571886,0.0556450778022249,-0.037067184667936966,0.0023975569120453905,0.04234555348593932,0.015284250886555434
PLTP,-0.008924329083179123,0.05248950524119429,0.14219662407632624,0.064639230566182,0.016052407178005972,-0.04101732421191531,0.07561695093762336,0.06594643295069591,0.03823817619040292,-0.05074898314730999,-0.017513793709887048,-0.06804491055117717
APOD,0.02365799791408599,-0.03128694037269551,0.04004563077044489,0.020531180689790013,-0.04520920240932494,-0.07045532381266606,0.06264070447019006,0.027285960052832004,-0.07626640183406151,0.019027655577243324,-0.06444460934487102,0.06769018637722823
B2M,0.06307905770160821,0.03598779514709718,0.16565798212624516,0.11388013211417856,-0.030105889030744272,-0.042600269846597365,0.129898696958305,0.14784676910100064,0.09487576911534105,-0.02608878331770357,0.06329326017490808,0.06221194505618627
OMG,-0.06142465730928368,-0.005081312588271211,-0.0817084746142364,-0.0151754492050509,-0.01340862454844319,-0.008162461626170297,-0.018581748571039967,0.01836282118401982,-0.05129147392377714,0.01762963256375596,0.11174263511724684,-0.018386007330097463
