,MGH258,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.02149433793450101,,
BMP1,0.0273323916662389,-0.006731926562548825,0.010475916056681705,0.023589978177512266,0.03960801637600945,-0.060004962287458344,-0.02304047322066058,-0.022708090761071848,-0.04642602631467428,0.047047123844625074,0.06598581305523207,0.010798977003556243,0.0015320626798017885,-0.015711322360920592
NDP,-0.037811347520266304,-0.00533389296134145,-0.034035492955259455,0.0065120120049501195,-0.014715585014520803,-0.0043048055993077745,0.04089818885479876,0.01558027269236753,-0.03217439219930826,0.08483170979563488,0.043955522796568613,0.08051605256136665,0.012985459161808165,-0.023648642688886598
TNFSF18,0.0637708576051048,-0.04659907440052038,,,-0.004737594794212097,-0.03731071804704739,,,,,,-0.022166731314506225,,0.0031773797459077086
IL36G,,,,,,,,,-0.013950284984774816,,,,,
RTN4,0.07581975659016792,0.004658591677695864,0.07252300476899062,0.03163007114661997,-0.05161362879190167,-0.004402801023151378,0.09019765866398409,0.15401175223184585,0.10167277403521156,0.0735761466985425,-0.07081683696825847,-0.00856586894884609,0.04320318535821431,0.08903584602682589
HEBP1,0.0299348505944322,0.049981004895225375,-0.0538409933340307,0.062052612692780576,0.03323329622308762,0.011636517017284343,-0.04926854391042159,-0.11149677759459543,0.02625988959116981,0.002244047072385275,-0.023058455043879544,0.0687153385064091,0.03631015303619175,0.008387979398734622
WNT7B,0.06097533488449372,0.044696154363484286,-0.033761415983722856,0.01396255970780496,0.014971437899827357,-0.028978467984871893,0.0040526938428176165,,-0.015332970848632384,-0.07629320868011429,0.027445534174377166,-0.01290285246689259,-0.031638404847691905,0.06221747414745292
PTMA,0.04426821960118867,-0.012526270166895342,-0.024344883013180666,-0.027784493588428168,0.06768459030449059,-0.037468826385070285,-0.08969634340577015,-0.17981144657283643,-0.08858507907233346,-0.08198859108348917,-0.11224193070521984,-0.003289032025592163,-0.039544632724633405,-0.034498294708210045
FASLG,0.018245020418532803,,,,,,,,,,,,,
CEACAM1,0.026266489877634774,-0.005638418908754705,-0.0009190120352591019,0.057852263399539396,,-0.0050029148273667765,,,,0.04386368759872358,0.12971918885120687,-0.0008327533810768979,0.03496087908103844,
PDAP1,-0.04946540732562887,-0.04054147610797725,-0.027440120280850598,-0.045560272653652714,0.06025304270954599,-0.030740334419312718,-0.04074255835048569,0.01718704422499093,-0.04752920030145181,0.023000380336325274,0.019899791377006808,0.0026463933932779037,-0.026388697627872833,0.04738526110062645
QDPR,0.04415568928452583,0.04882529647165334,0.03463970752186073,0.0528351720037837,0.0026548748005404163,0.09273104767874299,0.01556186379029854,-0.15886603427270635,0.038691747413132936,0.042357167839270474,-0.14796489673114052,-0.06053976384227113,0.07434807363704904,0.011406142712788371
POMC,0.04469405298655554,0.011829868233325127,0.021755046654339326,-0.006063253362384518,-0.03846929834304805,0.0247865807160265,-0.016226302656745895,-0.006416959665327996,-0.00704323426018389,-0.08086286788613972,-0.05366262850864164,-0.011021879171130065,0.011207156208914963,0.0016792029821713437
CCL18,,-0.030554707232252835,,,,,,-0.05694316902191118,,0.04859116885994263,-0.021922625483520388,,-0.05453924548067347,
CCL17,,,0.01644345740976261,,,-0.014855984669571862,0.00870393917501394,,-0.01274398138204823,,,0.0410918008714537,,
VEGFD,,0.006609529142115479,0.0608003989675565,0.006310020550659077,,0.05881827753869147,0.03408153680868348,-0.03675008969326429,-0.013658119570768103,-0.05549799046971295,,-0.02988894348151641,,
TNFSF13,,-0.027068022391621337,0.048268683614604714,,0.029481486853759675,,,,,,,-0.03038995866619048,-0.023580322980166955,-0.010874757688091995
