,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.09723070394243188,,,,,,,,,,0.03157382118506806,,-0.0218450533127461,
BMP1,0.05436282821640334,0.016354053776570888,-0.007311591125997452,-0.043026187832805304,0.02640748858257457,-0.031283512008511614,0.06212031324271241,0.0327147226815688,0.08536627300918588,0.042304843773004135,0.012039766228763555,-0.05538230581853092,0.08472990081158974,0.040314535878925646,0.03696922103746518,-0.010932454286472416,-0.037188811345306653,0.010732265604749276,0.057423406045567435,-0.0628638084508002,0.0695801230944154,0.007975423900064399
NDP,-0.05845175139661398,0.018003856865257458,-0.0008125922026607499,0.06374447027037439,0.10059946492930283,-0.06362929791981412,0.02486131053967306,0.043200340949644464,0.04388290398730046,0.08237971564321907,-0.0009119594632747164,-0.005718840606990732,0.04799709898484242,-0.012722031693556379,0.010409545372049208,0.0059647045570265615,0.007032822553912895,0.0022472156158908746,0.06218796139504022,0.03767646381747555,0.006940540759967483,-0.07040400485054847
TNFSF18,-0.019832190937573997,-0.012811641459518663,-0.03518852269167896,-0.035700161123185144,,,,-0.017907433848749422,0.09059540740725888,0.059269726108985524,,,,,-0.009840154209654717,,,,0.005016413758450367,,0.023143110556487184,0.006001638031581647
IL36G,,,,,,,,,,,,,,-0.021214448755106564,,,,,,,,
RTN4,-0.03665720380150269,0.020948794215605263,-0.021895322154115365,0.03732708616654382,-0.0062014712765067915,0.015664678753918797,-0.006200592311653069,-0.0829255748766081,-0.033352430814536364,-0.021030558515849396,0.028453518773303283,0.13543810022841277,-0.03578471373551384,0.006145559132603866,0.014617341886997813,-0.028210147936460213,0.059063889367947826,-0.015195438542375077,-0.013920070651241193,0.06064961282961435,0.017062959125113252,-0.04157910861452985
HEBP1,0.015252145673966025,-0.0036552741840690677,-0.025616999257321707,-0.025031259906556545,-0.011941731672019578,0.04648000236195283,0.017039245027134824,0.07299730083263176,0.04118416620921036,-0.0023139195353729758,-0.025011458011267997,0.013288960815266475,0.01718933239229101,-0.028554732036369455,0.05978833122698465,-0.029250524433897456,-0.013362922982094447,0.0304756386702192,0.03308851075053258,-0.002015743537817122,0.08032973479878526,-0.03701628112912705
WNT7B,-0.017471539054509308,0.030306984190445762,-0.021141017683437603,0.037442822233052425,0.09506013243613207,0.028025183130309828,-0.010808940164458825,0.027084660653650026,-0.023224995919846482,-0.04100454077945499,0.06299979562052511,,0.06247622839396587,-0.023317123964625958,,-0.03139837175171816,-0.022120698728956032,-0.009243894918934965,0.05023997016203395,0.032153226979796896,0.06544016447902216,0.011533252518857454
PTMA,-0.04278823733363977,0.028035116508156967,0.026106396763625854,0.014615595537221079,0.06497226672984749,0.037466293828750816,-0.01992193737317624,0.10939993553895783,-0.031643949413249405,-0.0891147585702274,-0.0017669653760863872,-0.1141967040655243,0.12189819277896943,0.017895476070956966,-0.012583834008076106,-0.05132208453949342,0.02904134889192201,-0.06192709545277536,-0.020265289891647213,0.006002040394454199,-0.010650966881447493,0.04424030726514837
FASLG,-0.017471543993668643,,,,,,,,,,,,,,,,,,,,-0.018946207285597066,
