,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.11944044718972699,,,,,,,,,,0.04483682482797524,
BMP1,-0.027200748030704987,0.006960812420835497,-0.02601448307006424,-0.030221397713744047,0.012556294309975126,-0.004843097680178019,0.06923774946408587,0.04399649328466483,0.04525315008002683,-0.05035863245992378,-0.013725758908295686,-0.025865779487191907,0.03875794517528946,-0.040657114545602245,-0.0060900704926594475,0.1081286387740858,0.07601982957353885,0.12041694818648534
NDP,-0.044346983064648196,-0.026307195290653115,-0.033594589814953356,-0.0460571473280032,0.0032699122375704263,-0.00568686418369548,-0.06976976892918788,-0.04572937486232403,0.058019232880812954,0.02096790008502506,0.007169729826004415,0.021572496583368867,-0.03593984594564126,0.045406911571956865,0.05680959865321708,0.0034689171012291685,0.012347197442710957,0.02205088942192911
TNFSF18,-0.02433850677417718,0.014021919222899836,0.02850612312951449,,,-0.013633039638421525,-0.009823530269670748,0.053033423907214855,,,,,,,,,0.0008393421245726906,0.09291287566156331
IL36G,,,,,,,,,,,-0.02373896069256253,,,,,,,
RTN4,0.013506095407276436,0.027725051519703316,-0.0026570979500529952,0.019432623339747317,0.06851787284871064,0.08716320887912815,-0.11572795882188769,-0.046748297589791335,-0.007247980146869369,0.042249148941967234,0.009340753549677778,-0.03851808118431921,-0.10453539168517972,-0.010566042256338552,-0.029375201672407855,-0.0655237709485024,-0.005468189285924673,-0.09868123904727143
HEBP1,-0.016065901497870926,0.008380551204484554,0.04611872283615007,-0.05491013223281603,-0.009165602186101653,0.018296473182948622,0.04657389654108612,-0.0291708578778356,0.037753088451645954,-0.04424665185229237,-0.014813448357330308,0.004609123227278884,0.008042469479050754,0.03681258630534964,0.02538166783661252,-0.05041315400852483,0.0068225856031684734,0.028930053074334123
WNT7B,0.02290953641645232,0.06983698862176664,-0.015248987270419758,0.04416625716682747,0.03914203212056613,0.023783277596545593,0.004234852034255582,0.030661774854102077,-0.013054820046603017,,0.0527423691890348,0.15497712635690378,0.14000195708620883,0.009867039300542613,-0.031807489032914256,-0.029617318282558126,0.033322629791158034,0.008102124920105418
PTMA,0.0970747184148495,-0.022893094139155645,-0.03471193560986176,0.02776513689718748,-0.1266411396530003,-0.06369631367789386,-0.020266202015077037,-0.07701624358862892,-0.01563617276739683,-0.028127206962282738,0.007375823688397665,0.051112071753003016,-0.03387478383301473,-0.020093884064556294,0.05170863420384847,0.04875995734630599,0.07020171573595595,0.00176037974855951
FASLG,,,,,,,,,,,,,,,,,-0.024422852485650577,
CEACAM1,,0.008132123591395172,-0.011702680565221724,-0.03306451268105584,-0.018590624931160607,,0.022947031914643548,-0.02563391337334443,,,,-0.047066905696704464,-0.02602542940039734,0.04029908034858793,0.0108787832662553,-0.019657444889538977,-0.03398081216967754,
PDAP1,-0.04613395468097397,-0.023824897082465442,-0.03132730618085295,0.04173324753228334,0.02777623666344576,-0.019914555199013428,0.054806144386565406,0.019925988597772382,-0.03661621026158765,0.03989116206696976,-0.010089724659822134,0.024375812480524967,-0.05916017093505799,-0.07947788746839161,-0.028583108600716695,0.021739051025352087,0.026605741025305524,0.06159334162316904
QDPR,0.008565278508890746,-0.05911821110593449,-0.009621784073928523,0.03055523347527856,0.003978807947951014,0.006592679247819834,-0.10610878556125689,-0.03746214574743247,0.022756196048614338,-0.12821637667021432,-0.02428150821622728,0.028403344634048148,-0.010410981107954229,0.013147879064869005,0.05749839453406965,-0.07778380880133415,0.022609824266286514,-0.04117523984589703
POMC,0.060017565166217826,0.00452197053729036,-0.020793796288343044,-0.03479962039212475,0.012375302280705639,-0.01325463808246952,-0.0009855279445522517,0.04125959405395245,0.03140140362746894,5.2361543290991204e-05,-0.0011723053044557137,0.05579666962823014,0.08738108349009745,0.11237816197415272,0.050865967623435954,-0.032156997526623605,0.03380220229727589,0.05391980767903982
CCL18,0.04165655571357383,-0.025759288648117953,,,,,,,,-0.02109457854191402,,-0.04035741098315198,-0.018452457343987785,-0.013921507079189729,0.024325637021342234,0.026805442343231047,,
CCL17,,,,0.008821868008475366,,,,-0.006855739162454635,-0.01615820758664871,,-0.021686214541521434,,,-0.01896579340081602,-0.03456284340406152,,-0.022136572612758074,
VEGFD,-0.0367756708700698,-0.01569665309413358,-0.01676174200829646,-0.015922570181085435,-0.017786457367184753,,0.017813580032307534,-0.021657344342778585,-0.011852240672887187,0.015885081401323796,-0.02324178781857457,-0.04546713467905092,,,0.06048890571705092,,,
TNFSF13,,-0.02659038721509555,,-0.020682571552292035,,-0.013221204436769525,,,,,,,,-0.03639250883029257,-0.026342173479676517,0.0463862120442903,0.010252644150121483,0.010403289035639493
WNT5A,-0.026244035722277854,-0.01067560614706435,0.05696148906753815,-0.0076529359937659224,-0.018115115382560734,-0.03918624084480129,0.0616249305484092,0.05528490502890827,0.005101812176908974,0.00871132259943868,0.03337598172997854,-0.04272445489283877,-0.00997199642968806,0.03580124017570306,-0.008667373887582435,0.07599727439885691,0.027466836293875925,0.03212607492956962
CXCL8,0.0727169788698129,0.004777694491332738,-0.01569470171643545,0.024828920357526804,0.035087516763007344,-0.018806305795148952,0.07668915599868416,0.00820248746631878,0.06451576607607933,-0.02684863936485655,0.04694227684086184,0.05515290140124037,-0.03248845636863566,-0.01639350339525577,-0.06205910583983283,-0.022446817997742008,0.0315086959834088,0.029152487297324312
GRN,-0.022062692453900246,0.03271742109454838,0.014927774669259602,-0.03950922508675476,0.0029978074474411344,-0.018411521592895896,0.07988341387847141,0.04161184550728555,-0.0004596533960497869,-0.019498928307678912,0.043002076699553256,-0.04798445190984981,0.06764779040497042,-0.019609432068316973,-0.04646813254930305,0.06356737388987832,0.029589380924419324,0.03876188089854289
MIA,0.0693568768541768,0.010295353247189826,-0.014906721146233828,0.02741036751013166,0.020235300405731856,-0.023906487479199205,-0.011326859569989453,0.027608991485901537,-0.013479427706764942,,0.09688679402459278,-0.0804295786315762,-0.043954727959019745,0.06113620729088119,0.15978688168243,0.08804418445912851,0.05903703339567547,0.07299230599439054
COL4A4,-0.03702113085624834,0.035371789177906794,-0.025068665052730952,-0.009125936153409226,-0.011609724419534357,-0.012579391903276069,-0.02184371697773287,0.057957402470347925,0.028660501618154175,,0.02519436649656949,,-0.02332967161346455,-0.040683469873572395,0.018361753461838236,0.13777196947365844,-0.01613104923344905,-0.027780642258552493
TAC1,0.09892239450763433,0.014976283568560744,0.015971925675030592,-0.0013601041667549068,0.0161742544037957,0.0886970928203645,-0.04684412380021032,-0.05359197164101808,-0.031042156687750972,-0.015580257078714174,-0.03489131390456398,,,,,0.013802311952295922,-0.0003509530427087205,-0.09953924464473418
RARRES2,-0.117449442541671,-0.0013732068687317884,0.002199671112354639,0.039772527936093524,-0.024502787216153114,-0.034878235919463096,0.05559692624859864,-0.052465743678746596,-0.03713278329675342,0.012848956310832086,-0.021226010697168163,0.01672988105263029,-0.012800361777542277,-0.043582350701505145,-0.017224126474268735,0.0036137810769824134,-0.035441462413945406,-0.0651674568085071
FGF7,0.027390522165382,,-0.018918725235416253,0.0010755021126549644,-0.0012222805709338031,-0.013879680665600679,0.05966298592922871,0.02895721957162906,-0.014747495042996455,-0.04275386637023711,-0.0172379605960843,-0.008257229243893688,-0.02558613952075891,0.026737356205065392,0.0407378238906987,0.007449341928408427,0.015205126968645068,-0.00037666572930514274
EFNA2,,,,,,,,,,,,,,,-0.02275596882361167,,,
HBEGF,0.059175934959659185,0.0024448499309205293,-0.03421052620922358,0.0448397453436032,0.022800027312732864,-0.05450801541846383,0.0482504320623982,-0.0029925851246948598,0.10623315864700014,0.03372333726951468,0.018032958965257043,-0.014982862033121151,0.008592121243173777,0.022076276956817485,0.027987270897703906,0.01913564487489776,0.046625021421769955,0.052122397392342916
CSF3,-0.005354364366156382,,,0.004860088382022582,0.021739220081358358,,-0.023110232123098533,,,,,,,-0.007350694775069108,-0.0643164643418499,-0.02818163242990078,-0.02330639599184402,-0.014487342905749595
PI3,-0.017288035761675268,-0.03706998409186339,,0.041100016557105094,0.10286894847130039,,-0.026022426392657214,,,,,-0.03058648948904981,,-0.0010526419186829392,-0.08153085104173853,0.01499737583813735,-0.006741510151247226,-0.009808493973934898
PCSK1N,-0.05520072524428065,0.023932648261650098,0.012906721218394231,-0.06393412662585002,0.03234080563869244,0.035758391115985645,0.020142100870540927,0.01688947348073193,-0.012914568174518363,0.06905379462638447,-0.02399665208927528,-0.011081118421080064,-0.07387655606620955,-0.01331459554494007,0.019791525989648798,-0.06320146209925984,-0.045262341941897204,-0.06309476023574231
NTS,,,,,-0.008935426379749398,-0.015356579373188423,-0.02840525524065094,-0.02424440958283885,-0.037097530126615146,-0.02338913379042487,,,,0.061605081423450885,-0.02772382976101433,-0.04756737360888219,0.01736681755903882,
