,MGH258,UKF248,UKF251,UKF259,UKF269,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,0.005306655564655782,,,,,,,,-0.017312743299618984,
BMP1,-0.04143973562166915,0.028034624333965467,0.031221791704085743,-0.03268346018007584,0.14453641530939035,0.03431456781907079,-0.010094950889122212,-0.027130389945219848,-0.025117109228795193,-0.026308969886912493,0.08453766528008412,0.035730333249233054,0.05666183308774611,0.0324936677771789
NDP,-0.062266133698050403,-0.005522122843567675,0.04546120967892949,-0.021545536411995962,0.10318054727947465,0.04094869720994997,-0.03598583982059228,-0.008109758309340643,-0.11150866398596644,0.009775075760508732,0.08306828999136083,0.06905377249873125,-0.026058832239423742,0.047201555377290094
TNFSF18,0.02018000137039406,0.03434598492186945,-0.013894044663752358,,0.017393266183662458,,,,0.1325603310610051,,,,-0.01785432657703216,
IL36G,,,,,,,-0.020126430150092946,,,,,,,
RTN4,-0.046058925709958905,0.018698794833114908,-0.04133322775738181,0.03077025176490353,-0.19159497534359549,-0.08339659491338379,0.052707865204217455,-0.012822143911538308,-0.051238400926782994,-0.09318793174414484,-0.027002966552583746,-0.07848018865495981,0.06351452053169657,0.04718223984174461
HEBP1,-0.004958128600918667,-0.005289299108417389,-0.008675645505717299,-0.03489676402890114,0.04164819146331697,-0.012269500999319118,0.011004325046376726,-0.056310946536241434,0.006087113804518787,0.06993965677982103,0.010286756020623754,0.034866572524853146,-0.04009787168012305,-0.05383167891738719
WNT7B,-0.025091281966686155,-0.06211439020276137,0.012070907954861041,0.014866469961436991,-0.0752400392512397,-0.01609916894415971,0.07122361861432733,0.0020659157067619686,,0.007387920806959071,-0.01773834523657672,0.0287620075759285,-0.03733484125001114,0.028828923149795092
PTMA,-0.0009111376361796532,-0.03658882271796277,0.08605475784308683,-0.010135222044957936,-0.037668617603080594,-0.004785635029401806,-0.022008284888287502,0.013698353572485389,0.05396701320966863,0.031781690575234514,-0.1055506056055674,0.00332997507230878,0.07316621555972888,-0.029777152416185323
FASLG,0.05053298205708875,,,,,,,,,,,,,
CEACAM1,0.018965903146268063,0.002627701308545032,-0.01896350231849597,-0.012361195617544498,0.05723162311788042,,,0.008776036207857742,0.006259825840904489,-0.030919733307185684,-0.021739040908645306,0.027415183923574362,0.015622805335828925,-0.018522085409984367
PDAP1,0.0048740715060465005,-0.011280416712379395,0.01886910976532436,-0.03790284022895678,0.12843032936014193,0.05140572537724624,-0.019740886368229384,-0.007945484051417888,-0.0637047293931873,0.04180743904286884,-0.026159619709066974,-0.00547844203810742,0.02209430554319375,0.008067587509254438
QDPR,-0.03744494260714568,0.008363440957450488,-0.030485204538108466,0.007081734280546734,-0.12570999651169093,-0.05383747517630727,-0.07228135414170561,0.10053860685059057,0.03715499887288861,0.02349302057099788,0.06710143546971106,0.043389775346071156,0.03997734796465686,0.02375635157399523
POMC,0.007294382764031819,0.084672694261698,0.03170724448128962,-0.010498395866868364,0.019682610142466007,0.04755581181472279,-0.04312109231433775,0.02788871316349988,0.060335339857953287,-0.0477014905764505,0.04013029841693224,0.023709683812678142,-0.045680474248740596,-0.005157081256306691
