,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.005666429057992127,,,,,,,,,,-0.025175755439570454
BMP1,0.0038924425178490604,0.051475479219761436,0.028047725169634687,0.0708197747469096,0.05937544959352368,0.0535478545329899,-0.019910609953356924,0.10275623816605069,-0.009041255428240181,-0.050358683804125844,-0.025218248027002694,0.07672704910205111,0.03792109079437097,0.02953554608301326,0.009991652988563714,-0.046289557569900656,-0.03287660871274657,0.03873772449506389
NDP,0.034502398793881325,0.1016117462534564,0.005523416031987769,0.013524103644296704,-0.06641037608889172,0.007984864373546969,0.051814252077640024,0.04974238768627873,-0.06067398798926342,0.030469441251542037,-0.0308628245500229,-0.010931622747746663,0.03837308527100205,0.00582013694972267,0.04155617052334357,0.17046266728286752,-0.05134350548309104,-0.006358786574117123
TNFSF18,0.032919249935397334,0.040991711596725634,-0.007107878608786363,-0.029677240685708026,,,-0.012399103332895775,-0.026297569891639675,0.02799421488245833,,,,,,,,,-0.042466998463496226
IL36G,,,,,,,,,,,,,-0.0040543690188269135,,,,,
RTN4,0.008255083597511,-0.0052578162363047035,-0.08924066390647892,0.013720779787761235,-0.06016618794506528,0.011959243240865043,-0.01221604869555061,-0.09670563489922797,0.03766050035840344,0.007688238292030976,0.12901492286644614,-0.002625977694734454,-0.021786110830457135,-0.17138323777985706,-0.040833292884224874,-0.05151495642888454,0.11480620922476363,-0.005089485898704692
HEBP1,-0.026838961312240117,0.09854218268991255,0.039907602070723434,0.02925088196119018,0.09021911518713568,-0.00507355946818939,-0.00585167250056512,0.029161611983530872,0.011092440953297587,-0.005450311637228784,-0.02590461839128097,0.01920529568486255,0.05005152789665278,-0.11792086520285504,0.010567775856329177,0.08284283863163316,-0.011886731914016362,-0.024899390949277764
WNT7B,-0.0162297551979315,-0.055410215707553945,-0.008529890886712702,0.015981300530745896,0.054996229241869185,-0.033038365461238006,0.035504913149675944,-0.026448823772916116,0.021992924795187135,-0.012031753341097592,,0.05730613139127662,-0.007282899469941083,0.046097144452570286,0.057677976945579044,0.07727626998758824,-0.05084893977430045,-0.01361969272762661
PTMA,0.028589240058206865,-0.04302414342893231,0.011358680241999916,-0.07141075271732333,-0.01850329255979337,-0.01549957260493625,0.015103666012636803,0.0011419415908955515,0.007277953529561784,-0.018684794459675597,-0.12637069892627015,0.03395432277126432,0.0033190316445327476,-0.028975901967077257,-0.07124610193561705,-0.016636789606243586,0.04734988415679557,0.014516515357987729
FASLG,-0.016229759786041718,,,,,,,,,,,,,,,,,-0.021834924103906382
CEACAM1,-0.0010639808565293851,,-0.026011923685361215,-0.014147432886096325,,0.011148251560219527,,0.00314047868569032,-0.026781996728764353,,,,,0.030427646131113716,0.031675569845608535,0.05392149637375062,-0.009905139191578444,-0.030380089923973633
PDAP1,-0.0002451184298627584,-0.06058944582755446,0.025729902724644396,-0.06230086657317942,0.011690157285213762,0.018845660938055793,0.015234247073338683,0.08391460750191748,0.02821455687967006,-0.004358960577988128,-0.032323033042261244,0.056765820416484314,0.04248132579800316,-0.09533079143231016,-0.0669954155420035,-0.005819975618989468,0.05560067136690792,-0.03309328608321994
QDPR,0.006753439789703336,0.09896573890143309,-0.00863836196495952,0.012187032971551912,-0.00316634237221975,-0.03260922685788945,-0.0006635709692419489,-0.07183723652031287,0.0671932034982098,0.01822067861935441,-0.09783478503715698,0.005286745871562555,-0.012548014398410913,0.04960264762855369,0.03037504812726652,0.06968242073310069,-0.003133418365738214,-0.008874543777995875
POMC,0.007208226386634958,0.03277968096352092,-0.02153429997699993,-0.025137731120401505,,-0.03552667902469738,0.023762877098296026,0.029044118877994563,-0.025705907739491992,0.012193636119050291,-0.03447204593845635,-0.038618965622540385,-0.028685701915534212,-0.03230398915407874,0.09037665709584339,0.04235362009215579,0.003080557534242296,0.09781442983155288
CCL18,,0.013357909270874506,-0.03246042304802661,,,,,,,,-0.03455248745716015,0.006090204684044805,,0.05076966273453149,-0.007105366098524078,-0.03897828828291606,-0.07668403850977118,
CCL17,,,,,,-0.02211211920646839,,,-0.017224848062595097,0.0041455010256857125,,,0.07190378268383697,,0.029453904156603,0.012346067870140394,,-0.019790906209836593
VEGFD,,0.036498007417140405,-0.03246043335573128,0.04587783241694179,,0.021900063946357105,,-0.02202240416523786,-0.02943798323186777,-0.010923416470425409,0.13377722197468755,-0.011152050905726577,0.08209464434503307,-0.01158071342875507,,0.034440917618540345,,
TNFSF13,,,-0.024495684659431086,,,-0.015252444944780915,0.018083710680747257,,,,,,,,0.02858679359311048,-0.031431636629971664,0.02576306168600824,0.01904678234159989
WNT5A,0.028547761232191844,0.07872770914739638,-0.0011484031133795417,-0.024082570201159764,0.039004764263909336,0.022293269152573517,0.021107377147148717,0.024644875143267252,0.007265656755175991,-0.008049893368588648,0.019737767349679466,0.03887020816206121,0.022057268701538246,-0.07831905507745258,0.058362893448758904,0.052496470811538694,0.010157681955789402,0.036081606462361374
CXCL8,,-0.05179509207309934,-0.05594455574118029,-0.0014336615286444513,0.044765587821231204,-0.04652862027930062,-0.017104133417680502,0.10275208931410747,0.03555717333359319,0.017516615937022823,-0.04002250741152662,-0.01529991753457244,-0.0020950068774763147,-0.033068952874954496,-0.04314581937303558,-0.174667352492385,-0.051470349762727796,0.009743609256961105
GRN,-0.10972279471887186,0.0751747391204061,0.039398224169111436,0.033617300312790734,-0.060421538362852696,-0.0355091473925958,0.00520670907723459,0.0912981683614995,0.02046425930531234,0.009733968038999327,-0.11206474032250108,0.01732069681490026,0.009517704329070889,-0.14332549906338296,0.03305809478186691,-0.021050051510693578,-0.039448569298690284,0.03714315236834305
MIA,-0.02124335570819832,0.04148283149491341,-0.0021371930748399753,-0.018020814615313765,0.012298920861445692,0.005683815480234899,0.06449253578355994,0.04293777730569976,0.04152659012066742,-0.012423085785020346,,0.0300835873702925,0.04731871304376608,-0.013302464840024081,0.16486392526722474,0.18411658119865987,0.02455245447325218,0.04443190700050439
COL4A4,0.15689297431474183,0.027785148620541135,0.069751530326428,-0.030305642745775487,0.07330356797444228,0.05845242263094405,-0.011440822018454245,-0.008083592843337265,0.05348003421148596,-0.020869796143595708,,,-0.026538353284496233,,0.010061571402086756,0.017305300224901957,0.0411540431411427,0.0538509765769924
TAC1,-0.01622975095609721,-0.04024321347690633,-0.013475765070436506,-0.0057468682366016025,-0.03210007587928655,-0.002829018340695203,0.02247340586235253,-0.0668734330593426,0.03391520694983026,-0.03338715161829278,0.13364935383471635,,-0.04703151602653393,,,,0.002343011612010318,0.08464342670722298
RARRES2,0.051848932954040354,-0.005039234880105431,-0.017239402709870472,-0.004548255298992694,0.07677082033670803,0.039321428371781174,0.0014292489128051832,0.08493362910583102,-0.00035810928904279264,0.07498979188875708,-0.014179690331788623,-0.0118841591920339,-0.0018588061847800341,0.07936053832376105,-0.01771135594518582,-0.07230287975009558,-0.03687964444879412,-0.001294043479294834
FGF7,0.010279226439427752,-0.00679752548439772,,-0.02287094773431315,-0.03809988608709391,-0.017256319107912567,0.03498424183907044,0.07041967055410946,0.0035640026309362027,-0.02050436827398678,0.11621373210378055,0.025705954807477782,0.017690196102059443,-0.007488494105582034,0.018001732571717884,0.015889454431899496,0.054637738318631494,0.00801837861948765
EFNA2,,,,,,,,,,,,,,,,0.05017290153351848,,
HBEGF,0.0653130642422153,0.07528317720809147,0.023713162516063938,-0.024019554896219417,0.06450001511421218,-0.01813789622383127,0.031407560751726696,0.08209290085353999,0.037236091660191435,-0.028052380861703873,-0.015646689131560268,0.08552499629403769,-0.03041627860414214,0.02336031202705866,0.0521718958546669,0.03593166848893806,0.01205739133770189,0.027621341579438775
