,UKF243,UKF248,UKF251,UKF269,UKF275,UKF304,UKF313,UKF334,ZH8811Abulk,ZH916T1
IGFL3,,,,-0.015367749264559749,,,,,,0.0868941795628256
BMP1,0.03200262798808382,0.0075145297427538895,-0.009456149001174119,-0.0637698382944006,0.00782370985649759,0.12004727897207783,0.0976042159449353,-0.013826468091079517,-0.02368857426713825,-0.010946870081273012
NDP,0.021024218290970408,-0.03834999182714737,0.016671943689998765,-0.005770683150092213,-0.022068692772983144,0.1001520627562891,0.08457477968481555,0.03798444972908011,0.07433405598599682,0.07322611937243649
TNFSF18,0.061951294297789866,-0.005694976963547658,-0.006303384299197508,-0.02282064630539585,-0.021032729655639452,,,,,-0.027310486181777935
IL36G,,,,,,,,0.014941841300732528,,
RTN4,-0.027659195418320286,0.030697557200788574,-0.01884903563083556,0.08633333595855332,-0.016940025640187997,-0.06531773761893449,-0.03447432853062892,0.00948526648024932,-0.03227633866607173,0.04495640464433603
HEBP1,0.023325146276501705,0.049555115003180106,-0.06280510084882295,-0.031056290240081268,-0.026940130850657204,0.08574917819491429,0.0014609995880858653,-0.0018857739699809429,0.03377510260592794,0.046445302796440595
WNT7B,-0.02242302253390333,0.048541677083092,0.039942551162767764,0.13562371589485248,0.08204770267509458,,0.058129803114165365,-0.004920418414779123,0.048047049968558526,-0.03455726665392825
PTMA,0.0074454529078758925,-0.020493852340628223,0.04783406010317569,0.04070392273409778,0.04998550014323837,0.20049648713337223,0.01020326409923105,0.032741398669691654,-0.04160734868822918,-0.04847919515886674
FASLG,,,,,,,,,,0.015528887167129494
CEACAM1,,-0.019128109658089188,-0.01663663328640458,-0.030030670771074457,0.0010916122047005337,,,,-0.021321065272757254,0.10816693985156949
PDAP1,-0.014057636335448738,0.0227749430353794,0.04312838044290945,-0.0347620028650421,-0.027450854774267786,0.025308463913248223,0.026184376037575684,-0.017054937680550032,-0.018801486066067023,-0.03027831697176432
QDPR,0.057157093267766426,-0.009314070050688468,-0.025412293369450768,0.0060275786269112595,-0.09998296391355575,0.23936345564535283,0.07917497033119568,-0.009720850660282748,0.003156298022962881,0.020097047769134097
POMC,-0.050739627854839604,-0.04533575653330746,-0.018575738670215114,0.004805208964292478,0.021660566168456866,0.03598189787411454,-0.005839414278635928,0.016212800244050106,0.04253330008955897,0.0054511505597041885
CCL18,0.011301111177146557,0.020718156683995664,,,,0.15414930827038228,-0.04745840149590391,,-0.03901728791229119,
CCL17,,,,,-0.026231908827265813,,,-0.017739407700949852,-0.015126263842454168,-0.012727512895294628
VEGFD,0.0037847910946187616,0.04940269612642273,0.04436753884235373,0.033992283002656346,-0.007101173968906765,-0.040687654359484085,-0.015492196373984673,-0.0008490851038874243,,
TNFSF13,,0.020195450537791874,,,,,,,-0.014185385428309183,0.01921392162474822
WNT5A,0.02589686849169798,0.03413590685554871,0.05517785246463843,-0.012899563537002567,-0.03703864407010308,0.0009217436710478202,-0.040902523080509665,0.006826016201100683,0.005342329803802116,-0.007543838613630902
CXCL8,-0.021208231855094205,0.03157249850797205,-0.007940953821692773,-0.051191184658027945,0.10454639904930399,0.16377223987777534,0.00659601238936244,0.010833276711673641,0.07042825515255353,0.020862346698503422
GRN,0.023405203551143935,-0.014410169135500398,-0.0347970858641816,-0.07057043716640125,-0.05598653073250756,0.18023101022384075,-0.04404175010930945,0.024194676568693656,0.044530307357043705,-0.03859466251762776
MIA,0.02454451512597431,0.04861084427705443,0.07268219533683397,-0.033855369410058234,0.01690855585561814,,-0.02101020150142786,-0.026037630905406492,0.07380940123773524,0.021790780695715654
COL4A4,0.015622801585660248,0.008444036648746253,0.1252417135548574,0.009753369262624852,0.01399680782540074,,,0.0009649873614724488,0.029439408336174786,-0.037376704311095216
TAC1,-0.0005946931406796711,0.048276554056138545,-0.010258071202638781,0.10051715435900256,-0.07402765982518442,-0.01855136042218598,,-0.029702120520075054,,-0.01673160988884846
RARRES2,-0.04370500313455346,-0.02337547266637305,0.028451139526481203,-0.048621903274207186,-0.04068174779725345,-0.004382078244177723,-0.03173235262251294,0.027272700646058926,0.061019624955064536,0.05240043762722846
