,MGH258,UKF269,UKF334,ZH8812bulk
IGFL3,,-0.013794947567913897,,-0.038795493403890616
BMP1,0.00518694769304703,0.0230777804423664,0.04769248979472583,0.04586093814715227
NDP,0.02677113710627611,-0.026896484991604415,0.009259335846875345,-0.0615757248211237
TNFSF18,0.16150463961212516,-0.020485083002677578,,-0.013654905044904046
IL36G,,,0.027894633917600158,
RTN4,0.007167795846391314,0.0366577803080897,0.00720274553781679,0.08553285516664626
HEBP1,-0.007621938011146922,0.01929106958703176,0.030908903965551633,-0.0021849769509607927
WNT7B,0.24633729553431474,-0.025119052110922413,0.05145906049133089,0.07226051865633693
PTMA,0.059432687007314036,0.0985417287015367,-0.0450434854617601,0.06510532375594431
FASLG,-0.015707262056153595,,,
CEACAM1,-0.021809670830013672,-0.02695720248843639,,0.008490204454168237
PDAP1,0.05077079218737173,0.017600987389627537,0.040373290217556215,0.027832437356249504
QDPR,0.0953835021936669,0.0871378330659764,0.0009331855545675979,0.09683722264490895
POMC,-0.024425272878993567,-0.034749328508010414,-0.013235716799639247,0.008975151821460303
CCL17,,,-0.01913587650087013,0.12051924348076991
VEGFD,,-0.023110237584924646,-0.020508511547929584,-0.013148377725870167
TNFSF13,,,,0.003450212258029215
WNT5A,-0.02024450360560236,0.008156898648968536,0.029676723600453543,0.036150285416818397
CXCL8,,-0.04595205817975221,0.07846462500756672,0.06066943233248127
GRN,0.015705537649871565,0.03342063678199538,0.06360375066806832,0.000957614262753359
MIA,0.06807980985229353,0.011592008767533857,-0.0029688607825391713,-0.006693960814357077
COL4A4,0.1651502699805129,-0.013593896895890353,-0.02724576804256889,-0.00486818200116589
TAC1,-0.015707253510478605,-0.011782162515540592,-0.048285203027194135,
RARRES2,-0.05149370777278811,-0.0072488215417790235,-8.031727966286086e-05,0.03323394959730122
FGF7,0.07791904193850728,-0.03874053636949742,0.00277573383897879,-0.032217663674473915
HBEGF,-0.030336200800517087,-0.018972367742740026,-0.009347090049165984,-0.04245853513105496
CSF3,,-0.014382081265827714,,
PI3,,0.07772447110346885,,0.05317936772398187
PCSK1N,-0.0026411795354072095,-0.05826744122532429,0.00045663736396461764,0.06767642153965091
NTS,,0.07121403353736404,,
SFRP1,0.038139324329850274,-0.01487763889662037,-0.014236099462531845,0.011183945582408839
MICA,0.03373257862932516,-0.0024108782502873685,0.04240166612982791,0.10331178583790061
TG,0.08222747610149723,0.027286495367348396,0.017025892740006168,
ADA,0.036263689189794876,-0.012288066643422416,0.0010800409243959472,0.04842399939154575
LAMC3,-0.003279461004323772,-0.0778648543230934,0.03179820768161988,-0.022584621545527723
HMGB1,0.02608574477643951,-0.010219708440939215,0.04510994296297178,0.032505191062382914
ITGB3BP,-0.02191058540830226,-0.026761243696890723,-0.02143458982219467,-0.05310049802414504
AANAT,,0.10516478430352834,0.015583336714771811,-0.0472083311522235
RELN,0.13566542366103973,0.0025536252658971016,-0.02841774096899826,-0.02855535934738219
IL15,-0.029817167438537864,-0.033838939588123965,0.005229463488965987,0.047741242211584656
UTS2,,0.01050200074872045,,
BSG,-0.05610352298527264,-0.10522844068624049,-0.059128464103730086,-0.04813545184927264
ADAMTS3,-0.05535186159465812,-0.051567894442037,0.006003881395339475,-0.05235907719466362
