,MGH258,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
DCN,-0.07640718073722046,-0.022082341415866426,-0.01443474975930658,-0.04024717551670013,-0.02365024805644074,-0.01730163512001642,-0.017603513163548877,-0.019777696652682326,-0.009083870309597007,0.05303458628446053,0.06108030104350648,0.06629373091549627,-0.1272795455431467,0.03187697407132687,-0.003136248808159312,0.00317060465161426,-0.005988994327433769
RARRES2,-0.20384535829115571,-0.02229367791276441,0.02990054515205081,0.08890824028633874,0.035967450600405404,0.05100374591638188,-0.02105525762179956,0.023872538205552588,0.06433021497782611,-0.10818291566322268,-0.05148508539863117,-0.007926599718269133,-0.005534182731763047,6.114821205087484e-05,-0.028899479270715716,0.006318582092259259,0.02332710859311451
SEMA4A,-0.0046186074056936725,0.017135091938572593,0.06714658177756105,-0.057764323001286366,-0.062048511773069887,0.009133140632912144,-0.010251672623374413,-0.105574844859974,-0.03696639082170581,-0.027073906676307394,-0.0550614151243902,0.026421268370772816,-0.026267426866901325,-0.051900280320747894,0.03676148952564139,0.022711040422243773,-0.04384189661810554
GDF11,-0.04699476914448439,0.030483568366541626,-0.020437053096751114,0.09859156140212619,-0.009075221734515967,-0.005836129193678901,0.00964312392978563,-0.055256816241262864,0.1221816167644465,0.006991992440167712,-0.04238872764019505,-0.02825380020582752,-0.07881250827248248,-0.05784810233630663,0.07516453723713544,0.041641561851824396,0.10164890220809537
GPC3,-0.04291145324676845,-0.0243757469454821,-0.01426622754533862,0.14294009404344876,-0.027182710880429523,-0.00024595283752767175,0.00457203208179609,-0.011150292688650363,,-0.013662272503613659,-0.05841509802043628,0.08084859719781398,-0.0883603261400208,-0.024684511025479274,,0.024455578260824475,
OSTN,,,0.047280497479043386,,-0.0018254016468913573,-0.026177893133906373,-0.022162058449667992,,,,,,-0.029028659200789522,,,,
GRN,0.08149921730206593,-0.01056504025860864,0.015978924815908475,0.057496342733580376,-0.018209123179238874,-0.0031457411752878607,0.005320731308764815,0.13245597300342277,0.028221255866514566,-0.0034875041304244436,0.04991574161755212,0.01649800346536241,-0.05068047076752501,-0.04557795179267921,0.08582010031768979,-0.013680839096326057,0.08858897991238042
CALM1,0.05498569392982898,0.005399822118896791,-0.03506904527703733,-0.12736093080666372,0.0018414889764678955,-0.0332559363494583,-0.012802517499960345,-0.18448833220534466,-0.06221070914681306,-0.05081988847038729,0.04782379613345436,-0.00832840947786257,0.07276030477728743,0.013403184702170903,-0.04833313364765974,0.060637906130784194,-0.018045662931192336
ANGPTL4,0.03955256605042246,-0.004029272369825116,0.035364821650432136,0.022216265118117497,0.08854206593244936,0.009149038853333681,0.055311331104582515,0.10929514919450956,-0.0142433156210977,-0.0046023733374899334,-0.08215774219537782,-0.030713595972579433,-0.045100610442845315,0.04317674885953924,-0.08807483820966724,0.01951255294147383,0.19468742318930857
BMP8B,0.031393753500334846,0.024364942635415193,-0.01408930234813402,0.0487703592137113,0.038689738080353565,0.10279161276128548,-0.011953083297025475,0.13510934184932233,0.030111180740286222,-0.04287002750090152,0.05855575786928987,0.04170976035397925,-0.018936124614126876,0.0001183008088593299,0.090475601977654,0.09077171009088537,0.006838318525149391
TNFSF4,-0.04468526409927588,-0.02497205197719705,-0.009016413008213242,0.021754022611832395,0.016461837649468344,0.10183981829410026,-0.016178211711943804,0.03533639840058267,0.047139319053596695,-0.017620241269244153,-0.03385554662203466,0.0038004717490176558,-0.03971010538895323,0.00956331709853812,,0.07089128083778508,0.013550364914495181
RBP4,,0.08634005979844453,-0.018187868923736583,-0.042155563648009375,-0.00940434897820684,0.018981947050568555,0.019221921110220194,-0.14681540560900236,-0.0966659117709834,-0.030839538115118335,0.04803848227580473,0.04202734897173063,0.027817507580297097,0.03418502655063387,0.0512053613723039,-0.028057457494080063,0.014680668135171316
DKK3,0.03314083719118985,-0.030720095734411864,0.016779669831397327,-0.10734473095150818,-0.06505536063050701,0.004928586045222441,-0.07495360411614273,-0.19692371750430746,-0.06723491098914497,-0.014478086685027227,-0.006612350999222161,0.020815886317129544,-0.11055863035255035,0.02672676131267311,0.08376742356335805,0.0571207989360143,-0.05849117846131676
COL11A1,0.05134851528412034,-0.032420162951733146,-0.03656940540045882,0.121730134750619,-0.014024714636303774,-0.015912503283214273,-0.014988095402593639,-0.08170184040813473,0.022514973958544352,0.09109761940802544,-0.020978324392250485,0.017293121093444584,0.04229164319455823,-0.060662174973676555,,-0.02501974859245054,0.03485773165493785
COL5A1,-0.05493374380026786,-0.03719991323881141,0.0179270179915667,0.04713378891314033,-0.046038684490089125,-0.038714657734097595,-0.025814055095312385,0.009953619137295016,0.01743119018910679,-0.0429255547016483,0.06636279174713254,0.0006264338879627941,-0.08965517563137387,0.037508955574732356,0.016369636932594144,0.016673752554200248,0.03708067247400151
KISS1,,-0.03936555542826469,-0.014353948267360247,,,,,,-0.00609971376400844,,,0.044506270838296745,,0.054302304180129886,,,
