,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.025112030730160603,,,,,,,,,-0.01865693437214229,,-0.028104142559899205,,
BMP1,0.022467069559763263,0.0484233297746835,-0.08040025992329636,0.047450795726187815,-0.13705140383670972,-0.023068571341704456,-0.035011233062289454,-0.08402889383636042,-0.15394613727115328,-0.012574450020726921,0.1665024631761539,-0.0002494305512205108,-0.02066942316034945,0.16100942793591858,-0.03186014223151018,0.02676557639958957,0.018353866825714323,-0.08266906425096114
NDP,-0.007913396300172645,0.02674028369129483,0.014812566592511825,0.05079960987112022,-0.034626196602148364,0.07068122364743393,0.021406606722292186,-0.07556711193094116,-0.02407718958027294,0.047857836671678596,0.06614358597584659,-0.02989838988774759,0.05591344835712492,0.0518665452521405,0.013684338220023346,-0.006961513539377427,0.049298661610139585,0.007212955603110954
TNFSF18,-0.02481607449475678,0.007724387927073989,,-0.024472597991414803,0.004918442866936583,-0.013383383002165081,,,,-0.027050322836349377,,,,-0.019240567103759678,,0.011418186001982685,-0.03667363858875889,
IL36G,,,,,,,,,-0.01777127235570414,,,,,,,,,
RTN4,0.21499471817652263,0.05634470573084338,0.07144969012580216,0.05677804649890655,0.19523916669566305,0.027842536228432205,0.06658677054936658,0.21241032958767933,0.15513167758012947,-0.03923663750401389,-0.061670279178267534,0.09597895532031149,-0.01713565698234221,-0.15328723803755445,0.0894888557026555,0.009231130585918968,-0.00502980631367777,0.03908801347004739
HEBP1,-0.0495686268183919,0.05485724830761891,-0.0015163936312881997,-0.017735257768177297,-0.026409829951853703,-0.0013427627497238437,-0.024731569984769938,-0.11372525461375592,0.010322301886849074,-0.049773855023093234,0.07972169644072934,0.05733296746739674,0.07964080071155277,0.04991613515082672,0.05879243814515388,0.03507238401787726,0.07650279650520368,-0.13399880502074857
WNT7B,0.3220060080741412,0.0077393650411755974,0.06751307466080161,0.004322519244091873,0.0879048353509991,-0.009023846006268836,-0.021073661553292575,,0.05073679755296708,-0.029779765184973276,-0.023211276773074305,0.008141564327065134,-0.007925020447758068,-0.027736028219918656,0.021241293074347006,0.08861321415429022,0.010841040665271355,0.10399796599154408
PTMA,-0.04319488943514447,-0.024923733591588598,-0.07693204615186332,-0.03938552289198799,-0.07654751075577278,0.04835783816898289,-0.007054739152438847,-0.24204178032840262,-0.20782474556598782,0.044227961783402214,-0.0859007474956399,-0.01466239139564551,0.0071037908719049836,-0.14627030773880578,-0.03866590257288042,-0.0044256886273136625,-0.05606643781898516,-0.26692293717000415
FASLG,,,,,,,,,,,,,,,,0.02812155665971007,,
CEACAM1,,-0.020858162882556076,0.0007493884978387609,,-0.04907232114918044,-0.021048873085038736,,,,,0.03522573803498788,-0.024485768433981737,0.08641492218036652,-0.0276466861857088,-0.03774610586970091,-0.019260732826839985,,
PDAP1,-0.09444990344855243,0.02460541087165668,-0.041117960394261265,-0.06940487371690997,-0.12037794933853735,0.04474021927459409,0.0012123577331422336,-0.014442494563575669,-0.15040454585199192,0.01405394398167853,-0.02422104704015108,-0.01938429281754171,-0.02769627512727634,0.07961731953021878,0.026199082760733343,-0.05093667927716375,-0.05210240399923311,-0.07447710291195081
QDPR,0.1055009356010852,0.01296322090725933,0.047638083682048825,0.023065027332943515,0.08525007802246672,-0.012771029594275013,0.02664455063104064,-0.18637993009912968,0.031392839707257925,0.11747867202707536,0.03834140622368697,-0.016190734037988055,0.05170818891584236,-0.12644991588372562,-0.019906502573017168,0.0579874778381758,0.05543872802944869,-0.13717745273097848
POMC,0.14224680625931263,0.04136284665635617,0.0028569616969723395,0.04435044348300294,0.048291422456424614,-0.015529019302714312,0.05079895255920899,-0.054225716146040784,-0.0001097893845883124,0.046958370783633095,0.0012779339467599035,0.02317500191828638,0.026261547700741718,0.06195287339897543,-0.04136270696587573,0.028124015549534406,-0.028972266801828864,-0.02044071951709248
CCL18,-0.03328039638000061,-0.03984089253071619,,,,,,-0.0792724724316344,,,-0.08241893878137951,0.010807934539374378,0.01601430050590508,,0.010876683868932794,,,
CCL17,,,,,,-0.016691684268334686,-0.00357711047364387,,-0.01623456182318685,,,-0.017371467559404268,-0.03280247881043841,-0.024598090251499255,,-0.030778939365006024,,
VEGFD,0.043175842358495975,0.0947483700515816,0.06403601046661225,,-0.04206938761868025,-0.017783577785831152,-0.019132405325922943,0.08794548865910397,-0.017399082744459855,,-0.03098827692540161,,-0.022723278320671458,0.05096833742815067,,,,
TNFSF13,,-0.030065225537534615,,-0.0237333147797429,,,,,,,,0.030552384384502248,-0.02399952717450098,0.09031897095319351,0.0035526452519437164,-0.013709620597294867,0.058824504417401495,
WNT5A,-0.09659427143460657,0.04754259174298099,-0.04288101639603115,0.04639149777422959,-0.13385048185739523,-0.01562660116546387,-0.0047378513491615854,-0.0035827569490590743,-0.01102741936310513,-0.042268619995894784,0.010959715868867506,0.0454891840424081,0.011590185016282638,0.046983366460582335,-0.01350884273525126,0.06782312747052138,-0.030391263070658994,-0.006646601289451379
CXCL8,-0.09459028516551422,-0.024896865016352052,-0.013082419418047024,-0.02303815917540018,-0.07326422409637684,-0.05447271458022765,-0.017816927744139916,-0.06519763231985527,-0.025482162956726697,,-0.11921914630788316,0.013254459866120753,-0.09832833976163978,0.05221429052610432,-0.08820460181419308,-0.03258251600881501,-0.04262750348664733,0.05141488272990401
