,UKF248,UKF251,UKF259,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,0.00809180292834113,,,,,,,,,0.0687833657195692
BMP1,0.03084513147142023,0.013498009463159436,0.021435510726910127,0.18210958273644126,0.13994350848066409,-0.013596914276384917,0.011494467346507478,0.042402212884284494,0.07958679276750573,0.07913643824708479,0.027231231090867405,-0.009024229257400262,0.01783080087444573,0.07101270291842127
NDP,-0.017268506961640683,-0.05835502003492085,0.04018122073614424,0.012548640392924328,0.012921371139820273,-0.006364597911750997,0.012004703441786922,0.09459957780414463,-0.007358969752952353,0.04151351706525252,0.0723517510680593,0.09074288373195065,0.0025607089184460255,-0.028348720411233028
TNFSF18,-0.03583387980605606,0.03590513865656418,,0.03413284686811933,0.01782578239430644,,,,0.055050848544342945,,,,,-0.032066784047451675
IL36G,,,,,,,,0.08883819624572009,,,,,,
RTN4,0.037002314655230996,-0.05374555544202879,0.010156435887028756,-0.18028178374946965,-0.18479855594023353,-0.04914817607793029,-0.009528469204417965,-0.08821758461064,-0.14304322114773027,0.023002716988474666,-0.0499930323990628,0.0073911100962670215,-0.07104416952524681,0.017198144152196924
HEBP1,-0.00848310386661615,-0.048873476556344456,0.007182612140208693,0.07744478682117106,0.05771287846064816,0.004559238181598831,-0.047305042484550336,-0.010189620841844074,-0.033211325363660456,0.013771797312791085,0.05619980019063902,0.03521125668551188,-0.05538577679834101,0.005655615284578067
WNT7B,0.0782955487082352,-0.011751367258967391,0.04989331646625629,0.046127678331369215,-0.03669825660886934,0.04292308472600283,0.01113729812336839,-0.02389485208873573,,0.0314475608918908,-0.07179051489679063,0.027480384532686992,-0.025188249975680435,0.10149649176398816
PTMA,0.056756978276535176,0.011489349207667095,-0.011837050506951649,0.27417921785076566,-0.11761938930321376,-0.004213116180958557,0.06535170505058253,0.05456097747466474,0.059191491236746684,-0.1747622591490613,-0.11212473396044724,-0.01317145352029922,-0.021843801512084905,0.026977812241361112
FASLG,,,,,,,,,,,,,,-0.01648752728626018
