,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.19695615849400128,,,,,,,,,,-0.03235446998630648,,-0.01880732050241448
BMP1,-0.041551864041401,-0.014553798534370294,-0.00985189492231552,0.018414495199673916,0.012541551219226838,-0.016639841711997016,-0.007058115960617329,0.07603195286243793,0.016155537074436167,-0.038532447214715236,0.041159073636643735,0.0028247466421759456,0.10435320686947275,-0.02788623422462607,0.035284151676840854,-0.03008856963816705,-0.021905654156719183,0.015703718822354072,-0.03417716702329597,-0.04215682206244338
NDP,0.01741779046814865,0.14460901291455935,-0.03344020490289567,0.003023770007663883,0.04808392892146095,0.033447481736859894,0.007693320832277838,-0.0016278732263880812,0.07203149459163784,0.020152698852766604,0.024015429822744908,0.032253903499366764,0.1054711971409462,0.06601101894434826,0.050206539533001734,0.038123421797307204,0.06138370583354714,0.09556680686584623,0.0221962894352849,0.014486510913337827
TNFSF18,0.011743247392885684,-0.0021292360174334068,0.017408837003960707,-0.03324317635561398,,,0.048498415435502165,0.017681233239524197,0.043376982079886384,,,,-0.006791261137000744,,0.09497492466216816,,,-0.03336659380694533,,-0.031724587283810377
IL36G,,,,,,,,,,,,-0.02174007632398959,,,,,,,,
RTN4,-0.011965992256394917,-0.052772980719991286,-0.03226720613124578,-0.0021606016016775444,-0.03703862266514549,0.02192506932310734,-0.050650003019237284,-0.06545206232475106,-0.04033850479894619,-0.03889447017342904,0.002661893319625518,0.07347723081069384,-0.02136586531192846,-0.14183685092951814,-0.0027434175195999656,0.028159005222348012,-0.08447784728880964,-0.04634143584668333,-0.02699755666482168,0.01643040943696326
HEBP1,0.062166056658890495,0.0009158788743616247,0.057301175334804756,-0.05389739977681203,-0.02801771842947738,0.0018906543779402176,0.009631865283500551,0.023174067459856642,0.103393875860139,0.022081695989791112,-0.010254868939529482,0.052946670833591794,0.060340567246260454,-0.01183312812598635,0.0107519175794785,0.09192042633986498,0.015916906546218926,0.054949005136910346,0.011734214023370569,-0.024772140574490592
WNT7B,0.11704101472465785,-0.042478536394433206,0.03582930519502456,-0.02064963065497846,0.002724527824740373,0.003599690368165289,0.01893556270344248,-0.00840098263270593,0.024928716147917297,-0.021789203057411423,,0.10583973429314593,0.07417419472843238,-0.11271290039626439,,0.05839428645034909,0.011467714673097568,0.054231522771143584,0.002706822921946861,-0.01852014734431125
PTMA,-0.08358463455172321,-0.13872120169535823,-0.05521717477773811,-0.0019661899795115428,0.03233696150868188,0.015794942039263488,0.04572095903132613,-0.08724578645125652,-0.018592028881009137,3.342901779325959e-06,0.03690500555788866,-0.05440948628721736,0.01658246820974526,-0.07793176842343616,-0.06340608612040947,0.005711340072816781,-0.004324448921854999,-0.06535129526381965,0.010943779701137968,-0.009745099742187211
FASLG,-0.03290485516177472,,,,,,,,,,,,,,,,,,,-0.016311582655533972
