,UKF248,UKF259,UKF266,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.007869231448224556,
BMP1,0.1424744504158221,0.0276409242828372,0.12472615362812264,0.10304168678804258,0.06812537787399478,-0.029278790511227473,0.05541180384916506,0.08302670604271649,0.009473228122774943,0.047950234164958416,0.3414725373722123,0.10389458610243957
NDP,0.04198562123524252,0.004693228864598673,-0.005663601173615543,0.10362460788639156,0.06711621673434719,0.06961227080578317,-0.0034698597127099263,0.06636734284931363,0.009726755387619081,-0.08367098182819502,-0.040227084800378426,-0.008204696561260926
TNFSF18,0.008213956607111633,,0.032370476830332826,,-0.04057902964271786,,-0.04478961549323674,,,,0.12580722606553119,0.07496467489934461
RTN4,-0.042870611397075195,-0.020979218996314972,-0.12193509712815413,-0.08842697947903397,-0.0006710710818469698,-0.0071673134473193385,-0.03523063859467083,-0.014240449089461683,-0.014426699063635515,0.008282245075005492,-0.06265215852352736,-0.017294225305953634
HEBP1,0.04153717291138811,-0.010383874735447336,0.027034879502736912,-0.008051598336408101,0.003949382964043337,0.043474665822207145,0.024257357817263143,-0.03406611395450602,0.03117169539348162,0.047424073232824056,0.03653771981477258,0.0040510980683373336
WNT7B,-0.014229747109989524,-0.020455758992381372,0.018560686272063018,0.01779109213234121,0.0051961338756609625,-0.05731185259347347,,-0.03804959698521466,-0.017721852448248938,-0.02877348825181555,0.09310862014414711,-0.05060836068984902
PTMA,0.05521652004290926,-0.0036969428439777604,0.08840613450242162,0.13618121129866928,0.07017326150174476,-0.00456346539700547,0.04025911672041018,-0.05611585833009778,-0.02229706252509182,-0.008749378293247042,0.28191140150364447,0.0269933470647572
FASLG,,,,,,,,,,,0.025280903304722515,
CEACAM1,-0.00011286288206805558,-0.02125210735384646,,,,-0.04315726220321358,-0.031494701133218735,-0.021321065867972597,-0.01901833900738222,-0.019097382625723934,0.021398924116742917,
PDAP1,0.02513777867523133,-0.0266973453150308,0.05098579004545839,0.11799742897848983,0.11388636557739501,-0.033686695778575804,-0.10176101015677272,-0.02766791968654756,-0.0321511705901083,-0.0029985107216677696,-0.0804005079126553,0.030429010073391355
QDPR,-0.04692954353726519,0.012054945356841977,-0.05824769710184182,0.061409877715685214,-0.08359031496581149,-0.08707856126641096,-0.017986485762582112,-0.04824739860991757,0.049025593996599434,-0.07652726290209463,-0.025990451166565988,-0.06769929324269126
