,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.015031582367484145,,,,,,,0.03427418472807952
BMP1,-0.03214703635566827,0.021535419491341707,0.04171797274367531,0.022526894298507193,0.00905790959802675,-0.07180404002573629,0.07588414112146402,-0.012095600346097492,0.03833661644074825,0.025056551803211535,-0.01250386809803506,-0.010271641089386267,0.003230804913836029,0.022630118779221577,0.02648828395793743
NDP,0.01247236296703332,0.00863148837070071,-0.03507199813881184,0.04042687652457424,0.020080458791318426,0.011855047694816597,0.030425609404864107,-0.0027541803430872337,0.016629874662354705,0.006319054257139755,0.012937186896628686,0.09440821389597659,0.06325706718507819,-0.009841123084914066,0.07491738899384635
TNFSF18,-0.023867504341675675,0.02326892487933501,-0.0170705351101827,,,,-0.017375638243082064,0.011380870221543432,0.04601282880325706,,0.10295999800910119,,,,0.07931152004708691
IL36G,,,,,,,,,,-0.017297021365767207,,,,,
RTN4,0.05174781957704397,0.005958861261336524,-0.015036423471490071,0.01541615660344132,-0.007855937761145454,0.02760786394230123,-0.0678539230874855,-0.04171371982202013,-0.0016631316950098355,0.00019464598530580485,-0.07093271476817548,0.09565351619834148,-0.016247591421954838,0.037060907292112484,0.032386077757642164
HEBP1,-0.013416406315013618,0.08275675718218292,-0.006485503271987411,0.05362266891501662,0.012216904617838961,-0.01410382204728532,0.022868681638096494,0.02380103511090787,0.023880132544153602,0.023341968081246105,0.008030788743640572,-0.059976798203746844,0.013048526214434326,0.008022889790064904,0.027893347888174498
WNT7B,0.06955025225675222,-0.03264392280299258,-0.017840743836635906,0.013046966257863878,-0.01319015202813384,-0.003921530982573926,0.045502429634786436,0.002272439569810622,0.014982258603214602,-0.019011419813927278,-0.026559185355320498,0.03347172821012628,0.0038955422419728073,-0.031499899595331116,0.05716252995882595
PTMA,-0.02134075463265275,0.04941531378154642,0.02468739659934769,-0.027498233054785867,0.03412097498013645,-0.07742972625751822,0.12598559688411734,-0.0036550514730536903,-0.01794902819955844,0.0778806271864689,-0.0024961678092367294,-0.07329140975780049,0.019911543805512372,0.07155662008156732,-0.03687712228433548
FASLG,,,,,,,,,,,,,,,-0.02341708572181174
CEACAM1,,-0.031926215866180725,-0.013691697846131856,,0.034296316313464636,-0.025139419782497983,,0.09288038944108604,-0.037818252843340464,,,-0.010048915459899716,0.003211999257903714,-0.01917215515775526,-0.007319115617923864
