,UKF248,UKF259,UKF260,UKF269,UKF334,ZH8811Abulk,ZH916T1
IGFL3,,,,0.04406071141093563,,,-0.017104438946371647
BMP1,-0.0060045985554738526,-0.017445133365380155,0.033380549761863235,0.10122508446815212,0.04102399823857142,-0.011105939543074527,0.05094047393347408
NDP,-0.03090757654432621,-0.02690890382559675,-0.02542827977891013,0.025690710512945584,-0.04333618805495389,-0.013349201763003006,-0.04435080995272339
TNFSF18,-0.02723212852829474,,,-0.019648798060084707,,,-0.01457575223830101
IL36G,,,,,-0.015082912217786662,,
RTN4,0.03939490314746885,-0.01692387796985198,-0.060841802625227655,-0.04702555694455887,-0.019968389613475006,-0.00146775585040846,0.047365703032361095
HEBP1,0.010630556051474957,0.0717848734270466,0.014608779435911143,0.04607256500509997,0.07789733412699205,0.07056525734254925,-0.004970929677712532
WNT7B,0.08709975314185574,-0.012683156739847946,-0.03898876154652222,-0.054765934303476815,-0.016577858703259833,0.015149744746932862,0.06134878071948868
PTMA,-0.04356846206365893,0.02034884790839978,0.08884055342504783,0.001055992714186451,0.07799481759728354,-0.02055549201161414,0.01152180367120082
FASLG,,,,,,,0.09454438861129925
CEACAM1,0.022323524948031196,-0.028461485971597412,-0.01716092543866021,0.17742583937935902,,0.06761769403913422,-0.020640270141532382
PDAP1,-0.05418597528814032,-0.028355238155499285,0.07449681472786822,-0.02657560258238994,0.046091256109742636,-0.020795411176165922,-0.037276701275264904
QDPR,-0.020478812414518457,-0.004400152046922505,-0.07572697565795851,-0.03840192183833548,0.03983088262194832,0.028100975293740952,-0.009517730494673636
POMC,-0.0026809383746475173,0.01857665666451592,0.031470523419023254,0.024904161399126195,-0.032315301087273436,-0.04821464017383022,0.01766057430109104
CCL18,-0.021629326714277378,,,,,-0.01207286114407342,
CCL17,,0.01883017692447991,,,0.08435086882335041,-0.014246138401908335,0.04705143416353652
VEGFD,-0.021629333582601665,0.04343078388950112,-0.016418601839712905,-0.004466721997733726,-0.01476702581852342,,
TNFSF13,-0.016322189202674527,-0.011379005680701644,,,,-0.010563278871688462,-0.02190907900328654
WNT5A,0.02115826388682936,0.019905308652257137,-0.008265935355948174,0.07253000991184166,0.02164102616979446,0.06054104898689999,0.024435377625274066
CXCL8,-0.017722276064123025,0.05418738352361723,0.0569083228125092,-0.018062228229245213,0.00331996584293647,0.012795658404503375,-0.011712155797646758
GRN,0.002557691952598689,-0.018006248711094536,-0.003964883781605357,0.08521957770136362,0.022476945889311966,-0.04980464941941513,-0.017333975340637537
MIA,0.0014486364737793214,0.02334243111397235,0.016021683248926923,0.023966762041683184,-0.02022411859523326,-0.016703939884365113,0.00835339245824709
COL4A4,-0.01262912252675702,0.009902990353650765,0.09486226066148495,-0.013038938378821755,0.05009983473767777,0.03631327596609192,0.04607610482558421
TAC1,0.04642804966205977,-0.017463686823797737,-0.06809622744268154,-0.07117643931835708,-0.034767459261430614,,-0.01767608930467575
RARRES2,0.04178487828219058,-0.02155584010066877,0.07258228775924289,0.06377844310549036,0.08372307903597719,0.029674156717969087,0.02333720780922019
FGF7,,-0.0193958179241081,-0.03143684753435585,0.02672604907311526,-0.0054461240990873365,0.009223596426247095,0.020366609274843808
HBEGF,0.03133622350979772,0.05308300645516689,-0.0009135283027750995,0.09509864003456864,-0.009195323286237199,0.025240745195095088,0.07133914954056643
CSF3,,-0.019662543725792805,-0.01532282499870175,-0.013794945836394177,,0.0761507819782921,-0.014156527716145902
PI3,-0.022754963633776288,0.10350606819270478,-0.011926794728940909,0.08257740973149579,,0.003184179963174455,0.07708713072010615
PCSK1N,0.022860779230336494,-0.04807140955695522,-0.001159557799335985,0.002913408208713714,-0.026493742380323895,0.03351501043435123,-0.001299120594284045
NTS,,,-0.05500031214706933,-0.01695564784579039,,0.07591403120491018,-0.02096388714625733
SFRP1,0.00036768888498121805,-0.014393946711913325,-0.01873078137772686,0.024916783254982068,0.057067770082068044,0.052960309918957116,-0.02047673951976793
CXCL13,,,-0.018562443548332464,,,0.02691255324680131,
MICA,0.015053425650191707,0.06251914768634023,-0.0012428632407957784,0.04245706341247066,0.015179038596894824,-0.016698459173809542,0.0331711979913834
TG,-0.03406094229847668,0.07562641211206987,0.001429797320169994,0.02863343829382732,0.060272551264736,-0.018929556197405963,0.004102842617697182
ADA,0.012220116981519992,0.04944763577082663,0.020654201777073777,0.04300553448662126,0.08016785870168273,-0.004384896574525918,0.06398579616549055
LAMC3,0.036939239137462186,-0.0022520081522741215,-0.031778872994084204,0.09875630815923304,-0.04408382977301968,0.00626211804368027,-0.0019084505964398848
