,MGH258,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.0031254835789098793,
BMP1,-0.0409595409262229,0.012623224444213842,0.02968806656089933,-0.027546098380284163,0.007512766383097994,-0.07224974848575869,0.08491029343358572
NDP,-0.023083006172951382,0.018053525925902068,0.06491327597213073,0.07745776876848257,-0.0012170658951894766,0.10449496500575597,-0.027876102521558883
TNFSF18,-0.02166145474613874,0.03748382846812606,,,,0.021504599030490776,0.14640587797996846
RTN4,-0.025615326273828558,0.012544536098857383,-0.04462246908004874,-0.1355449350578734,0.009268548887182723,0.01592869529160307,-0.19174820514099597
HEBP1,-0.017405696880703394,-0.043844167913621085,-0.014694194639961399,0.0668759710907381,0.043816545913683405,0.08179838071692734,0.0595885055530567
WNT7B,-0.019083063175719134,-0.0227770319400584,0.06556139287193465,0.003602843946497329,-0.022338906611117818,0.019512167954701846,0.0005449787212538862
PTMA,0.00776658630105109,-0.016412289092018754,0.009461093852895562,0.04355552402637036,-0.05586778550482103,-0.04247209616681952,-0.05349494587953381
FASLG,-0.019083068570452208,,,,,-0.018946213599075733,
CEACAM1,-0.026497007719119982,0.04477088947323561,-0.023400512020460087,0.10572393606636356,0.009858433338949748,-0.026360873530847637,
PDAP1,-0.015884405070636622,0.020130535782950678,0.005073110788053279,-0.053241084157093166,0.05507034745488626,0.03145160661456195,-0.03140198245013662
QDPR,0.034559261079749916,0.0005571515707991023,0.03992017001084839,-0.013760343539727656,-0.04381650585442702,0.07381419629319665,-0.05647774264883088
POMC,-0.0078074381536696845,-0.013048431848189483,-0.03241342097572311,0.04864452219301337,-0.009010621847539162,-0.018864092939723597,0.09518648364189594
CCL18,,,0.05311006930750494,0.022642763184460117,-0.014158001737341783,,
CCL17,,0.06433634031435075,-0.016601530661897592,-0.03686295094297832,,0.006525135831471625,
VEGFD,,-0.014942849785423006,,-0.025536091306977645,,,
TNFSF13,,,0.0649419159170461,-0.02947126633141415,-0.016649342324613854,-0.027981342144396366,0.15616242496263924
WNT5A,0.04223574554780721,-0.002968924544169209,0.019360383040987892,0.03147047135680466,-0.01000161545640542,-0.028853734066792792,0.10971239103398764
CXCL8,,0.0035396417802271937,-0.010118416603274453,-0.05489250578740825,0.03320065363699468,0.05455531188135276,0.10215447816448663
GRN,0.05061980036536568,0.04348218699018522,-0.0018038223776570108,-0.0561621783067628,-0.012438341203561356,-0.02725692334955553,0.0457589063720126
MIA,-0.02497809080296476,0.017016542104995626,0.09450616621581952,0.17394210329692872,0.014127126281921781,0.07512979142797169,0.17988785925783096
COL4A4,-0.022100518664103185,0.05948060561592437,0.019247412971473685,0.03857340749089298,-0.01764310098349674,-0.018330105329599267,0.08268155598990129
TAC1,-0.019083058188139792,-0.043541312101866715,,,-0.025580207539143602,-0.02257514807148412,-0.08713177639300483
RARRES2,-0.010362873508420042,0.020271035960290562,0.05027288772978472,-0.05144371139574147,0.004485676266908398,0.016781192405494322,-0.021560623658647787
FGF7,-0.06298456187862497,-0.015925912471852054,-0.011092766333472724,0.12350713818256404,0.014650655780245528,0.08663283735184257,0.04120624238980731
EFNA2,,,,-0.024270345833472907,,,
HBEGF,0.039211210355226914,0.05686984139581208,-0.03173040731392027,-0.034624748157428206,0.0516968111264104,-0.07172859355122758,0.14936070878007632
CSF3,,,0.03674832462030966,-0.05269842823850049,-0.021256038409498672,-0.018080113981180475,0.055781967614100474
