,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.08357275330594431,,,,,,,,,,-0.029840196655194225,,,,
BMP1,0.10985472213178939,0.02318851821617348,-0.03317080217241627,-0.05283429082070374,0.021298420987881334,-0.01742273430376985,-0.06514561010624498,-0.1916893752629637,-0.41888178084640226,-0.15215536185180287,-0.01329775267048708,-0.24061415885061596,0.0675475913146358,-0.34656132371692794,0.05901441191426031,0.004099672371896793,-0.03361260770312034,-0.04472365591989991,0.03008730007463943,-0.08745190102544176,-0.09766558489307603,-0.14319126401346693,-0.013149768989694275
NDP,-0.04282638254635419,0.023506081272070028,0.08374851881122186,0.045207422584434304,0.018336074626671243,-0.019844679938276828,0.16384661897951022,0.0796251365319564,-0.14444489872163735,0.07102609051220472,0.020868782829745358,-0.1380125050429215,-0.03406165057081746,-0.051305825181182305,0.04189875404014041,0.02652003496543411,0.07625590748725769,0.08677030472568886,0.024612363718771266,0.049552354515726385,-0.013244150011470774,0.10916140623215034,-0.052537895635590054
TNFSF18,-0.031125629190162398,-0.04929528758318319,0.009622478082533272,-0.024835442580489402,,,,-0.021210149672418785,-0.07750725273235214,-0.04037130236253597,,,,,0.022094357165803512,,,,0.03560287160507124,,-0.03658610313560817,-0.08496780823271155,
IL36G,,,,,,,,,,,,,,-0.06160188330254189,,,,,,,,,
RTN4,-0.062486839472823866,0.36756701801934333,0.07916364828678094,0.13513649397476793,0.032082014946526495,0.0987082409673911,0.23309924299345416,0.4436386166278351,0.5549310412001014,0.2277004482951622,0.20786416050097306,0.5837244479435387,-0.03797305723521602,0.5476917100979157,-0.02263000004152017,-0.09198542730076316,0.0728681878535285,-0.07013494873879365,0.0038981717396648404,0.09686215444105248,0.039118177325991994,0.5116977492172246,-0.04299814499149676
HEBP1,0.003542015817627883,-0.062437970858692494,-0.015025888124779027,0.013746111816099651,-0.008831552294070883,-0.026990429798495454,-0.05961502482168568,-0.1717112903639635,-0.20859419275579838,0.018998304474995856,-0.01887576451701384,-0.272718298436427,0.03505562461037549,-0.047637967389266934,0.03649200264132656,-0.0007773115743099185,0.05265819229824566,0.0833107566134699,-0.004758115058633122,-0.0030904691826393236,-0.07600622880454609,0.006643047315751873,-0.13614715283029216
WNT7B,-0.027420704434717388,0.39382214769356405,0.06047303287592398,0.021408703185357238,0.011050211128911865,0.05504864406804893,0.11219084282771868,0.10828053622545629,0.3100226817586249,-0.039638029152396725,0.006744626914597561,,0.03396175171411027,0.1761466314580374,,0.015567575175427194,-0.019580872027629703,0.047007552584355475,0.02046251319308856,-0.0015115759773261885,0.11037512599557084,0.035428285686787506,0.10668314872773388
PTMA,-0.0333825019331057,-0.020610880297542634,0.07313940573803707,-0.09915859611238537,0.13740124849240937,-0.027462886848778664,-0.2068493049478025,-0.46286357638728187,0.08118300322464155,0.1332020674018127,-0.1741241366512967,-0.7078008975378047,0.0867059885802114,-0.5300231694731558,-0.02830282295333659,-0.16917542381477058,-0.10836118092411416,0.002693828643283276,-0.0845608043096826,-0.01888620865211419,-0.06793655915977426,-0.32489675393512435,-0.2964364376541434
FASLG,-0.027420712186480286,,,,,,,,,,,,,,,,,,,,,,
