,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF275,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,,0.09587153492034
BMP1,0.006605373339943747,-0.03479355960616774,0.031176173264107116,-0.010041647721484366,0.006883617007443583,0.11422509549118641,-0.049662518387014756,0.0638339285223184,0.03331425588804173,0.007554223220520939,-0.01226976920001608,0.020323451076161472,0.03408837647934797
NDP,-0.05239074513272257,0.038860981123929834,-0.023109347737148067,-0.012996037219935183,-0.01465907199652313,0.014143625005173258,0.007142622539980426,0.04370481006612963,0.11652394123255175,0.054230292588216836,-0.005908767280829507,-0.0013914811976595313,0.09039905955445841
TNFSF18,-0.026032261078425475,0.03145966932126143,-0.03165597734850561,,,0.0670133627918628,-0.011674763729586283,,-0.03040360491057303,,,,-0.0248295544172963
RTN4,0.0029196258017307043,-0.007007358025171903,0.013321303557153295,-0.0022185959708128735,-0.01709446296535098,-0.08961013251570119,0.023487147145687618,-0.033196437310534024,0.03309822849839808,-0.10603015177875713,-0.039937632004215795,0.03830679110769982,-0.07784196664208293
HEBP1,-0.016360286566888732,0.0062495773119744125,0.061973002122293085,0.0025892277577727295,0.05928230025551198,0.043790014763290655,0.07135678674434028,0.009910698724393818,-0.04037771900460407,0.02376856066495211,0.021169723053835018,4.2329850630310805e-05,0.03542432255700392
WNT7B,-0.02293360665700258,-0.0030735424124229394,-0.03772419207455475,-0.022753995280856167,0.10499669183827999,0.018987323385100546,-0.016319009925771937,0.04349978754784314,,0.010996380872041484,0.021972046409692348,-0.000868107013146616,0.06302735488309871
PTMA,0.00866768650766268,-0.058810837044617675,0.01688733183880448,0.0007174740514300287,-0.064569555833933,0.1588102346769641,0.04318005087853275,0.10777780408505346,-0.04577443514894451,-0.06644451473238752,-0.03731764042015466,0.0016985049435673985,-0.029254156937701926
FASLG,-0.022933613140274433,,,,,,,,,,,,-0.012766417591332726
CEACAM1,-0.031843522553079796,-0.027282561434093532,-0.005396027000316526,-0.015251141952309427,0.0026204039770172352,,0.04055259510316064,,-0.0352614916660277,-0.021078387596937944,-0.01956087553684799,-0.01881173079959351,-0.017762595032895012
PDAP1,0.05563277604574358,0.03141979280100518,0.03345681423091319,-0.037042072924962956,0.0068466588209188575,0.06860507266853927,0.01484182012403501,0.04549914386894542,-0.08087977770456203,-0.04451853005439814,0.021300953790426985,0.020593229691344733,0.030858998650392485
QDPR,0.03943449746612544,0.06471429316604359,-0.03259709743526341,0.012578274004514046,-0.006102243754370658,-0.010095704379091307,0.09377817189910846,0.03287724357026275,-0.08881675051579363,-0.03991575781985008,0.03902998033025642,-0.043569936042337505,-0.009043834461478993
POMC,0.03009690258126743,0.00750005548551886,-0.0035026071979540082,-0.012179338940662917,-0.031974587127017715,-0.0031864260128237286,0.06880565526234418,-0.03167059433973843,-0.0013443983364592683,0.07469703738724444,0.009339316482572782,0.029950615326690695,-0.02423180267271806
CCL18,,0.019395124069608572,,,,,,0.056968250809321636,,0.055084932210352815,0.02034658776298198,0.0040379854214659715,
CCL17,,,,-0.015228933061595151,,,0.004034803671792081,,,-0.014954095777390045,-0.01339168318326095,,-0.011571323627384259
VEGFD,,-0.013625633649248918,0.06537535367854802,-0.01696671315743807,0.03558865464117598,,0.0026394167364127362,-0.02139793377070914,-0.047937225205707826,,0.0013468215972863562,,
TNFSF13,,-0.0256922567386746,,-0.01050457719230214,,-0.016981010330753128,,,,-0.028694663657165664,0.05200375001458891,0.11777100309873173,0.13494842071788501
WNT5A,-0.057015641801779586,0.019535702358060195,0.006690312273521176,0.024508495789376923,0.07284387055918869,0.12349688714799723,-0.00461562138161084,-0.03912380336963094,-0.03516459303672108,0.037592757630664365,0.009883231719395183,-0.0009807793075527875,-0.06638362812487261
CXCL8,,-0.04292369822027764,0.0068581806158998174,0.021072056535519936,-0.027597842881174797,-0.024154385821505146,-0.017176691766578055,0.02469937839754466,-0.09089536338628318,-0.02321136838163658,-0.01939359593416601,0.015508193984484685,-0.05014064577101417
GRN,0.0013694535051587253,-0.04839150915864568,-0.01671582148135229,0.04475080972627293,-0.014192357510852648,0.0691229699350007,-0.000436322361504485,-0.011694141576546281,-0.08518602970141952,0.002312093572762414,-0.04622627792061603,-0.008514067736187991,-0.013989641407914226
MIA,0.07903816121597777,-0.03471663600905185,0.06180223236501436,-0.03206702394285473,-0.0473596419997049,0.057009468100975055,-0.028619255096081805,-0.016064049432677682,-0.0693707717687452,0.08375087550578143,-0.0009577054008897038,0.022206311427567908,0.07444580579947083
COL4A4,-0.026559918462313977,0.003761347457191609,0.0008722398235088367,-0.03670378531127175,0.05545165234706942,-0.016156681101613533,-0.015201824814901932,,0.011733138151069375,0.09791895685192326,-0.00573622206350791,0.013789894172170759,-0.020670825084108127
TAC1,-0.022933600663039153,0.01722668804569414,-0.031502620159673686,-0.0011204109747761984,0.016204866814007124,-0.07816475004285574,0.02333090752895498,,,,,0.015440826583793033,-0.015211681529907147
RARRES2,0.03940010915150352,-0.007090830832694567,-0.02966151119974551,0.01879525991650196,-0.043870291631830274,0.05148993144438449,0.10762277661094383,-0.06701046323796064,0.16970107315040356,0.01802417431747196,0.01842244370149817,0.02376590557840166,0.04440937339388734
FGF7,-0.0694675005490003,,-0.012642572557799091,-0.026994696835559745,0.0337639018963987,-0.020917688334998602,0.05997162511089722,-0.020876916423267687,0.010266071212659019,0.03497815335308804,0.024403713833785437,-0.016539842009591167,0.03944759076942889
EFNA2,,,,,,,,,,,-0.018591303123790807,,
HBEGF,-0.012526503571971173,-0.015573458221922604,0.006336801686917393,0.012002880046460874,-0.03760752983860296,0.07680718908657079,-0.04594555028449876,0.11053831610066216,0.04926046633019898,0.020369591565732,-0.0250311866668805,0.0029324842478053023,-0.043128570217146896
CSF3,,,,-0.002169998568455826,0.0017601378888231411,,,-0.0321466773693925,,0.01645771029562591,-0.06955851758208388,-0.026969185758547547,-0.012182818692274396
PI3,,0.003514323432981188,,-0.031324113041794874,0.0032088956057850135,,,,,-0.02069847400506044,-0.028505591004692018,0.018605825276583138,-0.026469217673579796
PCSK1N,0.056060102880194064,-0.004625329409388125,-0.01908021662778901,0.034831013088777195,0.00219742609434755,-0.06267809461221943,0.022319180388111072,-0.005581547359634891,0.15984209833727153,-0.023522524338844303,-0.05197482497810303,0.03924335796192837,0.018467110579442787
NTS,,,,,-0.04152077513579031,-0.019723636694998395,-0.017366317752097658,,,-0.034886348784650106,-0.02264997490700491,-0.04873048652170873,0.004644104123178987
SFRP1,0.07323095571817768,0.0014712896596650068,-0.015299757677778941,-0.013287832749183917,0.062344173089427274,0.06949864490262746,-0.032245608733957494,-0.01916960259077844,-0.04411618313075716,0.006554615645594023,-0.018010170577175685,0.07257981636298057,0.005415492801199886
CXCL13,,,0.04688198618061567,,0.0507358439323565,,,0.1377411256589816,,0.01804904571094507,-0.03928198439880429,-0.043992354148348164,
MICA,-0.02146604947320238,-0.011541721430692256,0.0008121821511046357,-0.02188677843255838,0.010773038381432683,0.0193177039907072,0.07264115378194103,0.018609867771226724,0.026074838171923673,0.0026370294564322513,-0.007956582103705739,0.018598059396907,0.0673493216670653
TG,-0.026559912476934087,-0.0178533946650836,0.0013996128327080203,-0.01433967678409954,0.012141484887076358,-0.02276627615848977,-0.014669357624924266,0.021114371011181403,-0.014012124229690018,-0.01987025454993312,0.030937531076396865,0.012443474107563872,0.011244120836205343
ADA,0.013285071737492996,-0.0023378948548643756,0.012719867141576417,0.0407342656526045,-0.03280607609559773,0.04461367707750038,-0.04750059183335963,0.000624877973087218,-0.06345041680473833,0.02571346141840423,-0.010709175687092948,-0.014344896011267972,0.0013276592442558036
LAMC3,0.019373932862590863,-0.054402323921375846,-0.026017181631130613,0.08405505480238368,0.03847842312594113,0.08782669963345262,0.03424776012448224,0.05953306919251957,-0.024375168465580972,-0.02094047004177334,-0.0077876051334273945,-0.028020021514996194,-0.016312268210255772
CCL7,,0.010085715607535052,,-0.01036756340398213,-0.038077688952094096,,,,,-0.022412742641931615,,,-0.012766413051747012
NGF,,-0.018190342643890117,,-0.02375473575854388,-0.03085001106246678,-0.02172513375803237,,0.05246131850515081,0.004051828357582555,-0.02588492347571842,-0.018341404732068585,-0.01300365649254643,-0.003966489274158915
TNFSF15,,,,-0.011544788921364697,-0.028192591686440626,-0.026379075249751596,,-0.020471636012522096,-0.019325973057469453,-0.021849907341945855,,-0.016747401352266517,-0.006828981448641145
HMGB1,0.041500967508323855,-0.0194289099111353,-0.021343155635858462,0.04774565327532801,-0.019006106491157027,0.06354480608129583,0.0198423723948763,0.06481873532209441,-0.1289326298852348,-0.040763355219925246,-0.041298671546388464,0.039134365369631836,0.037290836375840374
ITGB3BP,0.013910014640219608,0.038581554905191065,0.0017122468659484826,-0.03676877150890597,0.03052801716259284,0.08831375718651881,0.021810360612550928,-0.03008270922259298,0.024997372777415924,0.028021703082426908,-0.030947055413116892,-0.03692210334108529,0.04089035564725309
AANAT,,0.013832399813895899,,-0.010504578313435669,-0.025403211188725953,,-0.013192239040087192,,,-0.01966229938687069,0.038933619404935234,,0.017232060449132024
RELN,-0.022018871603823528,0.003200647881786372,-0.037605232487384704,-0.0182335955038965,0.05508253296251863,-0.02411495150474236,0.04170542909499568,,-0.05563934827948342,,,-0.020229045878666047,
IL15,0.0007120354136359656,0.06436672342489337,-0.0013837244204798905,0.0206116651951104,0.029850016076955484,-0.018770280258100985,0.014237890688813258,0.05298610526737411,-0.05475685963640074,0.164335316450618,-0.03649256755122712,-0.02135836197847811,0.007370007438213978
UTS2,,,,,,,,,,0.16760092374191113,,,
BSG,-0.00655577886202537,0.0011930765834041277,0.015174476709978044,0.0035545677993085176,0.01647489652348323,0.029944536470981987,-0.040393449530189716,-0.07015815478421855,0.0808027633243338,0.02703354726405311,-0.02898931336401399,0.006486856483994656,0.021893709789952455
ADAMTS3,-0.03702303459224567,-0.01041418481743396,0.01843974660572394,-0.021399885155183148,-0.004252478694395388,-0.017961633763863664,0.0292316164717353,-0.010439546483959247,,0.06320579498881668,0.007032576941521034,-0.03161597332932369,0.0708404957919524
CD34,-0.016485901762971347,-0.005885410857280993,0.00598176523386832,-0.010250436395867946,-0.03434323473230184,0.03296952788582151,0.05556815212114915,0.06330784452834143,-0.0006747785944260885,0.04592489640713206,-0.0017982143384482824,-0.00029292353117152864,-0.0029557964570799647
PLAT,0.0689971367324222,-0.01622898502120761,0.016079781253533487,0.03388108863156476,0.028733696117539138,0.13826565475021577,-0.08198718694103294,0.06290901695520935,-0.030250932859619266,-0.07195479260336124,0.014591264485131329,0.04108716279451806,-0.0011813864814621071
NTF3,,,,,,,,0.06519529453370582,,0.014921299114499575,0.07877441843535718,0.06823635300940775,
LTA,,,-0.003949478839528739,-0.013287832127558213,,,0.03062556123077978,,,,,,-0.018178921281347085
