,MGH258,UKF243,UKF255,UKF259,UKF266,UKF275,UKF313,ZH1007inf,ZH1007nec
DCN,0.011067696372793567,0.21737513954413584,0.002185276392871185,-0.02811140789987946,0.021845431886782857,0.07877378993906953,-0.11606783285905917,0.11972696371422473,0.11757896496761977
RARRES2,0.006958877272808686,0.055158084798541514,-0.06930502002636672,0.03631073554234871,-0.09089056921914943,-0.10400485808230273,0.09315316549868292,-0.15096800211090108,0.07163950536249067
SEMA4A,0.06343936579838405,0.011465188696279,0.011807659868524526,0.05667846007255631,0.03802109106054035,-0.06150504425848173,0.0920162281963668,0.024863171425517645,-0.12731719750782317
GDF11,0.03745510694635716,0.10615807383154025,0.03480330940536662,-0.021793525200569503,0.052279248251755735,0.07576359733666421,0.07609630727668164,-0.0014648491719759448,0.03076591843072072
GPC3,0.0004070501472819567,0.04673064647224206,-0.0748783449384445,0.009795225587300286,0.005655670404066088,0.004174503494053529,0.009188374561792669,0.07337000906608698,
OSTN,,,-0.005206573996613669,0.0066374098569653255,,0.02894879532956072,,,
GRN,-0.041638070927115,0.04801047045648568,0.06030364277449001,0.07339766106776506,-0.10479886839789145,0.07135187415160447,0.04395686241505394,0.014880844359211245,0.1183603013996395
CALM1,0.00292267018019688,0.20177678176296443,-0.2073844508203673,0.08392124603817849,-0.006188807193698999,0.06016148809017193,0.08633661356782298,0.0040353820922759565,0.0265880468835013
ANGPTL4,0.029693949281980363,-0.14129910204774263,0.04308301617946807,-0.10538576847608298,0.05476940364208719,-0.014080937299665022,-0.19291186921202885,-0.11376609120769837,0.043772518651017014
BMP8B,0.05294655578473529,0.009575052744570005,0.0621926292885082,-0.025376322518306956,0.012779788076726788,-0.0011483942891950716,0.015838923495821132,-0.056525064955779455,-0.030784096360045688
TNFSF4,0.056782040971004664,0.03814401542590662,0.014912171932510014,-0.006544610063334498,0.0691697267956644,-0.04437522346227231,0.10073269514463586,0.03945752471158513,-0.016488617555393346
RBP4,,-0.050729246447784454,-0.08978832340348196,-0.02517610881287378,0.10452687043264906,-0.14015330692003108,-0.01811909414368884,-0.06685473471832735,-0.02366126932941902
DKK3,-0.0810031447542417,0.22642737648267716,0.03548219486573626,0.0339026748507217,-0.004659701426666703,-0.08828245827676302,0.12848252371341656,0.05494273238450537,0.10647188857635906
COL11A1,0.02258828283200509,,0.12096444356563212,0.02475346374591648,0.009374451314456784,0.049399408693847124,-0.007255408946355352,-0.09736320553559927,0.07832857872265371
COL5A1,-0.01217200117355636,0.002933282004822348,0.04402739267646375,-0.11057061784976678,0.04346566659977164,0.1534770643475257,-0.1646441189633459,0.09472019076268154,0.0530124939010436
KISS1,,,,-0.05800436065580736,,,,,-0.010322195939321908
MEGF10,0.03494546934984327,0.15513205151943235,-0.004151402724195272,0.031207591078697812,-0.020666764007598884,-0.010319502293801273,-0.026948948865301327,0.09814161291638177,-0.04520709979746591
CEACAM1,0.06123724329562142,,,-0.01770300895166815,,-0.022589671432565277,,,0.07315059092282315
EFEMP2,-0.014872687481529777,0.007928485162377088,-0.05538956971621897,0.042090508120322695,0.012604008905647744,0.14791979674760947,0.04431061440405318,-0.0263435898245376,-0.00070286277175728
IGF1,0.015167626150659329,0.07105367806209696,0.010326025379405508,-0.0009774224279906663,-0.03319173047662692,0.010757766585546837,0.05218746713505111,0.08996594665926362,0.12820165369888073
COL6A3,0.020099932944345276,0.10697928604761589,-0.030573525636686034,-0.0971167775032266,0.02287162134280948,0.026982955289188912,-0.0907894349915601,-0.004548376378277056,0.05577960008414024
RLN2,,,0.0034300101332189747,-0.04515055359470397,-0.01888721131457563,0.028898741656138333,,,0.025819969094380245
WIF1,,0.1231351019965007,-0.08311500606440679,,0.08548704019339946,-0.04672224934106242,,,
IL13,,,,,,,,,-0.015839842252973736
PLAU,0.04881592529357224,-0.020037622500777893,-0.03465356189227866,0.005473976324987103,0.020457845472804496,0.1566813629976624,0.1218411534073658,-0.0040481892761236645,0.08196089079912303
CXCL12,-0.08982072540259341,0.04904360130030127,0.04599344576216161,-0.009935008296816546,0.03639731292995401,-0.00889241037247205,0.10458454624236642,0.08972292798317305,-0.11653483849572915
MMP9,0.00884652600063361,-0.08779990538449557,-0.08843876787190891,-0.06969938882542873,0.08284826714934562,0.057526537174888155,0.2192194130138023,0.16441841894835402,0.02374285741767931
TNFSF14,0.0009288705574211826,0.0065782840051041465,-0.037016575349255225,0.05196294334259415,,0.04690318729175602,,0.06698013480448377,-0.02473590561067229
HBEGF,-0.016351203465409,0.0337362750798143,0.03199695750650537,0.027441767342770505,0.046838033671813196,0.23891308880331674,0.1345876071994768,-0.005856213310953244,-0.11168286202912002
NUCB2,-0.022954173206941573,-0.021891122447146968,-0.054696604333680406,-0.06286131006286101,0.07309917153085922,0.013224154663657709,-0.020627263740332687,-0.0006356852583871738,-0.11834479931594594
VCAN,0.025828094756255675,0.05050381305015506,0.12386513855069774,0.06601529555537933,0.03574278296178316,0.08882285730285476,0.1567595770171311,0.2565626925256638,0.09606773080273298
VEGFC,0.07206752133306482,0.07240360791467709,-0.02676702076489665,-0.01101026455979958,0.03289752238758773,-0.025381697106878,-0.01422685086434642,-0.014189084183462021,-0.044321902139469106
LMAN1,0.05385396219802848,-0.1210907852239273,0.016677976378964232,-0.027706025792024795,-0.01700027885540528,0.08539634561093118,-0.049059161459133124,0.05462626462142688,0.024232822557903006
IRAK4,0.033654334003374524,-0.037687021245695985,0.022898127190707496,0.0394776238583339,0.015725531042253455,0.047224133986767156,0.10124430604938081,-0.009865228960749864,0.10386608989752102
MICB,0.004744882186196276,0.012421126872682856,0.0545450775259286,-0.05650359442490679,0.03291460732034637,0.034332731035066115,0.03884034307164895,-0.11766023728144039,-0.09483728057046321
COL1A2,-0.022796399956826446,0.17628606363822164,0.04553645236334251,-0.08927032672642503,0.026179388888603376,0.116185499586125,-0.17205212665332578,0.1989702993045046,0.06869683223585628
ICOSLG,-0.005465031323049358,-0.02637855380986516,-0.03425679909009779,0.021199787298423225,0.03156735638960022,-0.00428602147568983,0.029433277618722248,0.04818719236054757,-0.0075261805985976605
GNAS,0.07016609892553073,0.11354369154296072,-0.11625531706034474,0.13261137728319936,0.02572545826471687,0.045850603695486845,-0.17784094341522463,0.07349204560734433,-0.048518499358756254
