,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8812bulk
IGFL3,,,-0.013038937373396647,,,,,,0.013993768630629231
BMP1,0.004165556764327151,-0.004401565231182049,0.005684166323542152,-0.02761250577929568,-0.010566751071077535,-0.007340586262373599,-0.06988864401854514,-0.11308319915932005,-0.0023499501966156096
NDP,0.024405283093833822,0.016871592315529038,-0.027644142635868035,-0.004954875748742909,0.001252059534190855,-0.018501296047117692,-0.04699957195000276,0.04388063607472134,-0.015672536021122827
TNFSF18,,-0.011239799549511657,-0.01936243055986744,0.04034991331200084,,,,-0.04782909249876249,-0.01712245116002973
IL36G,,,,,,,0.09689448307287832,,
RTN4,0.0241573484455994,-0.015659025873199575,0.012015701092101594,0.0174772100654845,0.005673111390172438,0.10035531079946962,0.09334332518873886,-0.060050877689770986,0.038603718885792164
HEBP1,0.025840956522060563,-0.03385137087312226,0.033466325876102515,0.016850623134701804,0.001575907000969215,-0.10026693713112192,-0.07493684293692233,0.04129306510237102,0.06982988836982702
WNT7B,-0.019277130166157338,0.03562602877253976,0.046013081732733864,-0.0009756674230215111,-0.019863266274457524,,-0.013504643366406341,,-0.03580443054587841
PTMA,0.008040999785597497,0.011164893721900774,0.0020266097513919083,-0.02942194901449189,-0.03636083378811546,-0.15207492868844766,-0.09937130105343882,0.03387738315655576,-0.01727627530270914
CEACAM1,-0.025884427690143992,,-0.009824808074313239,0.05092173508888141,,,,-0.03363196931103506,-0.0038105987425310368
PDAP1,0.010165907339463523,-0.022494503458393166,-0.009155357183908721,-0.015843741015552464,-0.04873538932835156,0.002315555742796706,0.017241862377364567,-0.06992825187551442,0.0027515562774028538
QDPR,0.0014183302686529356,0.014050956303486004,-0.034702941099401384,-0.03429832617841246,-0.03227541613859906,-0.1399582424223759,0.0350886744356569,0.06440047029662359,0.02111766050559625
POMC,-0.031875609159199854,0.07607975260388888,0.05541313281325586,-0.012354528249030876,-0.006072802309222781,-0.019852760868739456,0.027149567381897523,-0.00806366981423985,-0.00908799025852579
CCL18,,,,,,-0.05689325499551299,,,
CCL17,-0.0047347343162007826,,,0.07014483393631353,-0.024585155418904325,,-0.011224369062700862,,0.024432435395700267
VEGFD,0.11038350311984553,,-0.0040952301075876715,0.0055520753269663325,0.04549580278110763,-0.01856410713425664,-0.012029503980659415,0.20112211045427583,0.06701797372822153
TNFSF13,-0.013684954156398,-0.010900260808572653,,,,,,,-0.023474393929999227
WNT5A,-0.002198133014194083,0.003093715480590048,-0.006580506257148607,0.0025573581197918323,0.012025013535550811,-0.006221454648604533,-0.011258351371447744,0.024737031867235627,-0.02387676602172917
CXCL8,0.02217248741429943,0.0784007958146819,-0.0010187315250686807,-0.019790817188405113,-0.016793587534830977,-0.04230139287347037,-0.03616811554812583,-0.09975555560534421,-0.03107929286213419
GRN,-0.02113223515005212,-0.013944561187358347,-0.03155895313694775,0.057176963536026686,-0.01959417126476752,-0.08506480032528418,0.03310830333839551,-0.11244670113626089,0.03588236350192796
MIA,-0.01354666240003799,-0.019709773779416715,-0.013452210373477252,-0.026101067462027047,-0.020509318459463733,,-0.01647495698433154,0.02841913404386879,0.06210632807358109
COL4A4,0.11909506115356026,0.12992342644791827,0.04720645413774654,-0.013864227203243833,0.04866730476465165,,-0.015981319480852012,-0.03580116794706776,-0.033720062544794364
TAC1,0.020557606097511533,-0.017278865367954633,0.05504897846714711,0.006456242369037778,-0.0059976940953666204,0.15093261843830805,0.08477045042829402,,
RARRES2,0.04949179968240268,0.023741224738392998,0.004469773273253801,0.05036617186050425,-0.06756046999271487,0.04001141969074051,-0.0328142145201195,0.0708962988554689,-0.0058063161531356905
FGF7,0.0815008757790786,0.035137192558761854,-0.024738334221178496,0.03643204500926929,-0.039969630245267715,-0.0029149615210496815,0.005619833435914642,-0.04321429595141045,-0.0046707176598265515
HBEGF,0.011251536467808144,-0.01654756531095826,-0.02736602459992534,0.008011291616029814,0.09230434095299303,-0.06166674214786321,-0.036089194340512956,-0.027752983011214323,-0.051339390603877634
CSF3,0.013609160682659938,,-0.013593894141388679,,,,,,
PI3,0.048742691055576645,,-0.015306904223185796,,,,,,-0.018599283494527618
