,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,0.08456941147020398,,,,,,,,,0.05251879990890578
BMP1,0.040490445078295315,0.014120508151083616,-0.0024436753220725433,0.03233371771491302,-0.0020429653904578647,0.022852544079219862,0.10814882763534273,0.14925377126950254,0.0031577422822504134,0.054851387832901964,0.11279757489477754,-0.018417044227449095,0.07056670482468586,0.0012948749157592498,-0.02268089892156752,-0.03373187104357968,-0.01887599971817034
NDP,0.10502926238089856,0.0008117665172006279,0.0005515896349510441,0.04838184268559107,0.047483103626292315,0.04692301353512527,-0.0014134187359500072,-0.02800953075364882,0.04466812059254523,0.032436409941680046,0.10429311211594952,0.05829219072547305,0.10126378775750976,0.10221377455303758,0.1440404807311431,-0.013733255687598213,0.09091067911279233
TNFSF18,0.0925081747301298,-0.020525866012040064,0.032046056937594165,,,,-0.013117670484606115,-0.02401948400257298,-0.030594568142127517,,,-0.03380390331934539,,,,,0.05236493091455137
IL36G,,,,,,,,,,,-0.0024064885299119056,,,,,,
RTN4,-0.05357702104387153,0.04151345768253965,0.024002221028764842,-0.04642422695409035,0.04502222153223754,0.012418069340321001,-0.13231643482582414,-0.18030830036036907,-0.024768760275129195,-0.03221630380226281,-0.029266435800474704,-0.00790171386065882,-0.09304878692173245,0.06664940288333482,-0.0056818910786917845,0.1938532208304196,-0.01753221244101647
HEBP1,0.07001994621432053,-0.01352172737263169,0.06886683346842862,-0.007231776182586324,0.04219326881705232,-0.022678070824050597,0.07995211317819542,0.08588874854012549,0.032336318301333905,0.015020532844961318,0.05565600118788625,0.041991444141544834,-0.012472643643459295,0.07575799737505994,0.02804802238862818,0.00193467998788958,0.09178989394014457
WNT7B,0.031167161855508226,-0.013823936743895088,-0.05200156405009498,0.05674347857432869,0.001453632310102658,0.09334577201784414,0.015472046404717188,-0.037797416595863026,-0.021874699994801374,-0.0039004276279810696,-0.024930126810877994,,-0.051615232873135,0.03859524163110117,0.029842593896897245,0.017594155503891512,0.012654042719389585
PTMA,-0.1151920496397597,-0.058805842763777975,0.04783981887175924,0.11152504271153357,0.03125358826988289,-0.054743108773093116,0.15657480663198736,-0.06024198791124239,0.0009287220622565774,0.014450032164939787,0.16088959948047113,-0.047868050878213116,-0.21488646301836578,-0.07203486238704207,-0.04959763189606428,0.08897185145182507,-0.08197058057599586
FASLG,,,,,,,,,,,,,,,,,-0.019852002073741843
CEACAM1,,0.0830570284897023,-0.022860016743114206,,0.027034512992751735,0.05042442272186575,,0.034271679400317896,-0.016446420702630003,,,-0.019471236500029604,0.035133216235188336,-0.01987122919768396,0.017136181749249524,-0.00417362669494329,0.03502472416046318
PDAP1,0.05907467350456265,0.0006187959056485945,0.04044861512156146,0.09938320234797994,-0.006453197015825292,-0.016301720280007176,0.10214285271845484,0.15947235036226665,-0.030331247963058142,0.05545473037126071,0.09481439425861464,-0.02378718035856865,0.05261623319563942,-0.03244628944347889,0.021806802237996626,0.05553574019031581,0.010326515605396302
QDPR,0.013534833360197908,-0.02534624047730658,-0.03310500005915639,-0.020876699755559756,-0.0012114385395930675,-0.021403133227481226,-0.06773488849178186,-0.1375926297628149,-0.043601787114398674,0.016794154531724406,0.001114116788030502,0.021940264613430006,-0.12077386360086,0.05442579017576856,0.13500655426866204,-0.044480213236542346,0.05741117182375611
POMC,-0.025309738571122616,-0.047545739775757836,0.019282198130196607,,-0.02944240695202543,-0.019924315124164736,-0.013185742660798834,0.03894742207575332,0.06931176468459824,-0.023584485684156737,-0.034224330108701274,0.0814624768347535,-0.027982530057285158,0.13076154427085396,0.07930606170354262,-0.019889794099511974,0.05609442550538309
CCL18,-0.026915636760267876,0.02938884427981429,,,,,,,,0.02012236284128056,,,-0.08088144473687828,0.03335756125474868,-0.03652555426012281,-0.06027823275189008,
CCL17,,,,,0.028402901252787095,,,,0.01758304360186774,,-0.003594272996560378,,,-0.004738469054635115,-0.0513634772261294,,-0.017993610110539224
VEGFD,-0.01698797109316189,0.016944613821184992,0.04353498504983648,,0.014455062374124571,-0.02367198529064229,,0.004825387007044874,-0.0191806451814887,0.008290268494829242,0.0250732775514496,0.028027245287192033,,,0.03093565884955784,,
TNFSF13,,-0.0009513008639127943,,,0.03897804522072389,,0.01571655369143076,,,,,,,0.005226651915386319,0.03843380674165609,0.035155945790063835,-0.02931908580951159
WNT5A,0.05261558910010565,0.03526819243060795,0.06256478888079316,0.10170951777308976,0.026538690935292795,0.009892637948902895,0.15046639650845345,0.08245767177858279,0.04646800156912924,-0.0053965714225630715,0.04186573575818811,0.02324032864434552,0.11365433007571477,0.037889051986287545,0.015719638676537473,0.034327395315724075,-0.01592829014602395
CXCL8,-0.10323565199498781,0.04275931869088661,0.01988916388941298,-0.08342606208154489,0.04501810309207642,0.013889494366898864,0.06201227112205478,0.036905058955636484,0.030440397668510318,-0.06196231627993439,0.055144602545308036,0.08441510612417447,-0.01637493904648196,-0.11933780121381833,-0.30691460253570635,-0.09751091615002984,-0.022030420504797997
GRN,0.045525723794424995,-0.019122392621318852,0.01426582265481407,0.00896014454797121,-0.028183030728644944,0.08293469719758145,0.09465601959148491,0.06191924834824094,0.047012795351342895,0.005509050525634909,0.025694153586131616,-0.06305939437730936,0.04265563722977239,-0.02338389401422095,-0.017469261912999794,-0.18549547824274099,-0.05910994155967633
MIA,-0.01852427810707206,0.044867955851122875,0.09921726492856306,0.019103493972276984,0.06471878613936456,0.005859081194908078,0.05703071655773758,0.029993441669707993,-0.004343384879230729,0.0322795433359517,-0.0335440624990244,-0.008296602094932458,0.07488723331670603,0.2466592149999819,0.3094346367218703,-0.07623846920286484,0.02765159403725555
COL4A4,0.041644219011068795,-0.018424880723404386,-0.004508138549237974,-0.0024711252001064893,0.061183553836175734,0.0346468289597309,0.19871050057556014,0.002603560668492291,0.0036707072664975836,,0.03731536879071198,-0.009605370253713294,0.038117385115911895,0.06970716313655986,0.050598728289508337,0.07502022080777511,-0.044931611273034695
TAC1,0.001435614079021039,0.03538597871140986,-0.04365253722699165,-0.015614698212204068,-0.01326437861962794,-0.016654862265108535,-0.08559381024791383,-0.10541571678830476,-0.038167217395629734,,-0.09119307072679868,,,,,-0.02683824471115514,-0.023654430157590698
RARRES2,-0.026308779050167312,0.027622867073658183,0.02317969275161308,-0.056814674453080506,-0.004525701928191088,0.04319088749449674,0.09991481927226481,0.18983189530205086,0.06372340522855031,-0.05725514178657578,0.08736777314927181,0.06315987851400508,0.11525907363597991,0.019166024115326266,-0.10170005919125001,-0.0813703729074647,-0.02567574393734856
FGF7,-0.0037630564683472627,,0.017514698876397443,0.031149845300847117,0.0037560582241996784,0.033059126923573115,0.17739129565429135,0.012777850070338064,-0.024792507070145263,0.012037351905707216,0.05446228480588821,0.06709690370372581,0.1328005268411039,0.037812513397752205,0.04306999586820238,0.04166779791118283,0.09975632790239809
EFNA2,,,,,,,,,,,,,,,-0.009085978604566246,,
HBEGF,0.09801348658463911,0.05564646508884169,0.0500154515889628,-0.03857087136532376,0.0007802110858444968,0.012949331539349487,0.07885908022723905,0.11081591226133267,0.07577834940909238,0.014984595640248965,0.05480357259664509,-0.03029620579220825,0.03605856622176999,0.06792223382341425,0.1062221476699282,-0.05838542383668908,-0.0954883322649343
CSF3,-0.021576910432814175,,,0.01917675184618949,-0.011398942499725461,0.023481513374963243,,-0.029492003084197596,,-0.023939015607937104,,,,-0.011744344484984183,-0.15614303783124991,-0.026782931228832702,-0.018944495604408976
PI3,0.011606901002861313,-0.02633647484841547,,-0.027396212637253014,0.064140328992394,0.023279822137626575,,-0.020842927007870188,,,,,,-0.12781219501807659,-0.29130876168766484,-0.056297265295882255,-0.04116009525671292
PCSK1N,0.07452476096217689,-0.005176372442633929,-0.07435993631349495,0.07965271386104224,-0.07752332617218466,-0.03919740184380262,-0.052774994809190144,-0.04643561507118953,0.01898223636433489,0.05980591807121844,-0.1029563865670041,0.06055285610195124,0.13123518789667865,0.09289876627599482,0.12133584079864594,0.22335202808400065,0.09263763793910287
NTS,,,,,,0.042892737335355105,0.03424341401553116,-0.003067002081548132,0.04557403064781646,,,,,-0.08714301124953029,0.04863567871313743,0.09356717381887225,0.18510133579983573
SFRP1,0.08476689781974579,0.010595274967740188,0.02356770356045434,,-0.03507128140054936,-0.0005810522444955684,0.14956824285451759,0.012289831915619312,0.004544842604493304,-0.005056254891810815,0.04904391120127274,-0.0415807335318732,0.019169296477184274,0.14994423906741428,0.11745387173917787,0.060254637740668214,-0.02740230581984
CXCL13,,,-0.04562085392471908,0.0780170287823028,,-0.02676292993302696,,,,-0.026646483731699463,,,,0.007183235358466744,-0.03028548093363102,0.0064660166066737934,
