,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,ZH1007nec,ZH916bulk
IGFL3,,,,,-0.019781355878802226,,,,,
BMP1,-0.06366836315283878,0.062718729941865,0.017656588805823773,-0.026314936353756167,-0.16010979633424377,-0.0712156931884986,-0.04195214893597851,0.009136646573284234,-0.04137104286048955,-0.02341968867950144
NDP,0.04572323602733409,-0.04538980080395732,0.04299375922847319,0.030368085584115474,-0.056927198135024525,-0.038232145288512605,-0.07475603696810043,0.06665865721006252,0.025378264321017453,0.05098914068608397
TNFSF18,0.0914981079332316,,,-0.0200256292606505,-0.02937471962744446,-0.011674763952453069,,,,0.061605453487516074
RTN4,0.031081531846172298,-0.03378094782328694,-0.0022779013228862556,0.10044702046341224,0.19808106258534494,-0.00038423646056996686,0.16154013101894946,0.0021169293070721833,-0.05080867478452361,0.07648404315779196
HEBP1,0.010672142008028207,-0.048817324537603804,-0.03158252879174115,-0.027813890445901806,-0.04885250215957815,-0.008214420527038994,0.036000573196991896,-0.014158489830610646,0.010931643728645147,-0.0423118166175223
WNT7B,-0.029447023941938717,-0.022753995280856167,-0.019575421083298277,0.025111042756444723,0.17297063551226594,0.008765252708301597,,0.04560981526460112,-0.03460781468494627,-0.006669515884243989
PTMA,0.0024314247624615364,0.0651449657681347,-0.042386980219019654,-0.09277459630272072,0.11125900351077027,0.03851999303179165,-0.15283516476270848,0.0021702704087257453,0.08917619604751113,-0.02349996461050576
CEACAM1,0.0651427888241545,-0.026274341079143768,-0.016785831687894284,,-0.03865545797078607,-0.01836162237105636,,,-0.042475735654321806,
PDAP1,0.04708896434673579,-0.029721061359579595,0.01590073362175148,-0.07354477920982103,-0.0939772468792807,-0.00262772958827862,0.10607805273812693,0.06436205627090973,0.0659646043908229,0.0082839759259301
QDPR,0.02741192036311399,0.040501345857317794,0.008361207853735522,0.0043625877378346,0.05848821244224167,-0.006184831183975672,-0.10502613241643347,-0.02524527400582452,0.002996922167149567,0.06602306335335727
POMC,-0.02141750635030122,-0.024467732455495543,0.02006746862119861,-0.044519985479493256,0.03680314551745572,-0.013546472871840229,-0.06949003616291329,0.06545408678844977,-0.05978534361986124,-0.02883918899479971
CCL18,-0.021101041580358443,,,,,,0.02141990854528226,0.04255967276901836,0.027356702522563,
CCL17,,-0.015228933061595151,,,,-0.014560703655432758,,,,
VEGFD,-0.004234122633161873,-0.01696671315743807,-0.016059733376097517,,-0.03313907732236468,-0.0155131981836042,0.009975348090204655,-0.00036499586892687567,-0.04103201527696853,
TNFSF13,0.07080118285896592,-0.01050457719230214,,-0.01942068280090977,,,,,,0.03993576094978161
WNT5A,0.0417815088953918,-0.0037848588532849994,0.021340127275192355,-0.06893265065579945,-0.13573144847702126,-0.05240554334212824,0.049184768585819674,0.0513834608303232,-0.11880494406429487,-0.005637736167666882
CXCL8,-0.03719336109974985,-0.05317391515276414,0.04529764081938796,-0.027624661675206625,-0.036519455371740873,0.02213857579086766,-0.03942787996726338,-0.012507681858711196,-0.14583236365029195,-0.05452247272550606
GRN,-0.09697363095904815,0.02021336987176067,0.0036932736446709615,-0.04896468094620346,-0.11091068014009477,-0.0003609307610914933,-0.11502925567760816,0.01156711436363423,-0.07746573133566266,0.08981367382870438
MIA,0.018268461877940016,-0.03206702394285473,-0.04873078017443944,-0.03511634000047965,-0.056507268755343266,-0.009115502742511519,,0.0049836599394226175,-0.07258402629562546,0.024823247949828493
COL4A4,-0.025342179496985175,0.009437161746911806,-0.025744285018588633,-0.018477921671223297,0.10189503562911197,-0.015201825105098968,,,,-0.03359501049893512
TAC1,-0.028837049262283324,-0.03459398470961039,0.008841295006834482,0.11300619385614884,0.19262127609419202,0.030873779749117692,0.09530309564428294,,,0.015330335257181684
RARRES2,0.04557368824793297,-0.009956222412416602,-0.032704361248020127,-0.05542940241320174,-0.18189863361121447,0.06750390474084975,-0.09898585601370868,0.031248840249033762,-0.10770215748743198,-0.08325410026257621
FGF7,,-0.026994696835559745,0.04170811931686102,-0.05296083094519946,-0.055552247160631785,-0.03465450394784006,-0.02162655419807606,0.009276435597034918,0.19441561325303333,0.01887157787612653
HBEGF,-0.057350563746136216,-0.06057464409937092,-0.0029992871509844986,-0.0393060312888666,-0.08537338480539776,-0.016603156796756786,0.007606506498494556,-0.003233450397394671,0.03925653056182582,0.003902177964688384
CSF3,,-0.01815156035249213,0.012166363546820344,,-0.0206232801100972,,,0.08289349129759375,,0.09246749591790253
PI3,-0.022199185399465603,0.027665636565185534,0.10696238698953049,,-0.023222085601804048,,,,-0.05830005580854668,-0.06363841858337987
PCSK1N,0.013792421110314741,-0.024198206715254068,0.028054934581022185,0.09815171626126998,0.12000005794654418,-0.028045285783332548,0.13613225724680175,0.02927235309424305,-0.009502947637749478,0.08357343845569944
NTS,,,-0.0018391924873341434,-0.02255734402565195,-0.02534849205782047,-0.017366318083614038,-0.026050528170225937,,,
SFRP1,-0.020048717547177585,-0.013287832749183917,0.06406138198371834,0.02872180090913189,0.01761270984752072,0.041929761387943326,-0.05695293461705871,-0.026985772391799237,-0.04060539006608412,0.06241656131673506
CXCL13,,,-0.01815671621160975,,,,,0.012501102499431656,,0.057924183575944053
MICA,-0.05579515683029966,-0.020098912921047565,0.02769634374430602,0.052180278646544724,-0.08681341532385808,-0.032961128188974495,-0.023817281160103423,0.019320423778340402,-0.05619128655366332,-0.05633342508869799
TG,0.04298522063668069,-0.01433967678409954,0.030349268497706215,-0.026037121420933448,0.038541084380741684,0.022186029816813398,,-0.04713674790032737,-0.013865037040387319,-0.03158788213505641
ADA,-0.017678046659156416,0.022457983183891094,-0.001259211007490746,-0.035193764981533635,-0.11718288593483793,-0.010858387195989963,-0.038327746142464536,0.07085424655158978,0.05393515728914468,0.0305352851208935
LAMC3,-0.08258086260753496,0.01729534214153992,0.05044703334334577,-0.06193882042952721,-0.09949125722943473,-0.043369664630065426,0.004168222362500134,0.057885173789883504,0.08272140858996675,-0.014087610447733063
CCL7,-0.013422045013944579,-0.01036756340398213,-0.024072453474605335,,,,,,,0.015674748375110674
NGF,-0.02304498476245206,-0.02375473575854388,-0.02569483859124941,-0.024846397434785086,,,0.05482420634028077,0.03860468161485187,,-0.026055574241143017
TNFSF15,,-0.011544788921364697,0.06668252465064983,-0.03016897363750878,,,,0.001405920963257684,,-0.026359492742966964
HMGB1,0.04974496569116871,0.031857671653130526,-0.04323426214653577,-0.03795130967973591,-0.1081464265708176,0.015214076416078677,-0.06547481433192434,0.05071091669491968,0.18049207396955763,0.04065921383664325
ITGB3BP,-0.02525818165600506,0.016962210577247307,-0.005370237217450711,-0.11035027496877281,-0.09087552680194656,-0.016411196141126162,-0.013267860686500155,0.03594129187597509,0.09133268814455693,0.019621017746214404
AANAT,-0.01947334529365422,-0.010504578313435669,-0.01605973566871496,,0.023174965630517394,-0.013192239291922002,-0.024491343758022647,,-0.0250071721583156,-0.021577404757834442
RELN,-0.015259995439489981,0.01421844046842363,0.02670522368863518,0.005680365871165189,0.08931133218970248,0.030342544264749798,0.022377634493700876,,,-0.058685780051600064
IL15,-0.023726697412801187,-0.03646107877651634,-0.04658726506710257,0.08443365931318494,-0.011869545883066195,-0.004016788412826788,0.015269679678305883,-0.0013581941977061245,-0.01469695617816315,0.00850662810292682
UTS2,,,,,-0.06136387728686307,,,,-0.023920975281189714,
BSG,0.020441069483314356,-0.05685622797044643,0.09147052323226841,0.0047333655952961585,0.06381787917474546,-0.045168203429758844,0.1068804393737078,-0.07724564509724406,-0.15988151353369884,0.010926823141690373
ADAMTS3,0.02064478601018109,0.013645857664866439,-0.0420647571991271,0.03134117813879823,-0.11511282135891443,0.011445713021406565,-0.011357000500403731,0.01072678731351467,0.15174091018066718,0.07231126534156271
CD34,-0.036990750888467906,-0.020112278410226923,0.02328553349241562,-0.036559228937980505,-0.028749094365983146,-0.019972872328892454,-0.07226988102679825,0.011864804557698096,-0.021598478470553868,0.028893498881269745
CCL23,,,,,-0.021166984205155732,,,,,
PLAT,-0.0029713493707850596,0.0642934279633263,-0.03672356540585083,-0.07466637203612499,-0.1671095759983179,-0.04356179061852884,0.0398464125968929,-0.022167522341927266,0.13075365625936095,0.019401291564088034
NTF3,,,,,,,,0.011090322377995883,,
LTA,,0.07427376755012294,,,,-0.012705501284470143,,,,
CKLF,0.05298639492442717,0.04046316235287183,-0.055106581394545925,-0.07773484054414329,-0.13507104151351812,-0.021272119819912998,-0.08386656471263733,0.05592220726649031,0.08575699024735793,-0.012480021733527243
APELA,,,,,,,,-0.009308245130766644,,
CD24,-0.003137353597855171,0.0198260884370498,-0.010430889560871527,0.031795447219001585,-0.022582136858141172,0.05313447565537213,-0.08287449982457734,0.03479958328580367,0.050941963618790616,-0.013067518896078314
HSP90AA1,-0.027363222523897907,-0.006743679992565022,-0.019450366893897605,0.06016083474022471,0.20398493792732386,0.02484019459885429,0.1264718254794337,-0.07325681958854711,0.0034056864869736877,0.016016913576499387
BMP4,-0.046706093764641875,-0.031002107491932933,-0.031166511329841683,-0.025209554336679492,0.09610183065133734,0.02542088429906651,0.04696418211923712,-0.0051955788296015335,-0.03748670214830882,0.04176096716345982
SCGB3A1,-0.013422043671758012,,-0.01912516261345721,0.029599624780146026,,,-0.043111618867678794,0.029907182131458737,-0.0410319753901465,0.029331062136898248
IGFBP4,-0.06865296123130436,0.05225388300425896,-0.03783315769518735,-0.06995609974497627,-0.0737840635206091,-0.05849049347781722,-0.04910858302118561,-0.0021745751273452327,0.10363660275372165,0.05421049963929144
RSPO4,,0.06838857443970871,-0.022073546549855168,,,-0.014777271485068922,,,,0.00975096598779409
